76D5BB2B	Information not present<---Application of Code Combining to a Selective-Repeat ARQ Link
7D118C36	Global Communications Conference<---Graceful adaptation of guaranteed performance service connections
046102A7	Information not present<---Analysis of routing protocols for ad hoc networks of mobile comuters
7AF12FE2	IEEE Personal Communications<---UMTS: fixed network issues and design options
00CD30FF	International Conference on Computer Communications<---Mobility modeling and management in cellular networks
08737AB1	Information not present<---Principles of modulation and channel coding for digital broadcasting for mobile receivers
806372D7	IEEE Transactions on Communications<---A queuing model for meteor burst packet communication systems
7FAB548C	IEEE Transactions on Computers<---Packet Broadcast Networks&#8212;A Performance Analysis of the R-ALOHA Protocol
812FAD49	Computer Communication Review<---A distributed routing scheme with mobility handling in stationless multi-hop packet radio networks
7656A1E8	IEEE Transactions on Information Theory<---Tracking mobile users in wireless communications networks
7F3E6314	International Conference on Computer Communications<---Transport optimization in broadband networks
7EEA4E43	IEEE Transactions on Communications<---Coded Binary Decision-Feedback Communication Systems
7D44C74F	Wireless Networks<---Improving reliable transport and handoff performance in cellular wireless networks
80FBC6FB	Information not present<---Random access techniques for data transmission over packet switched radio networks.
7F2E08B7	IEEE Journal on Selected Areas in Communications<---Distributed, scalable routing based on vectors of link states
80096728	Information not present<---MACA : A New Channel Access Method for Packet Radio
7FC37812	International Conference on Communications<---A connection management scheme for a mobile radio LAN
80931733	Information not present<---Packet switching with satellites
7A328004	Modeling Analysis and Simulation of Wireless and Mobile Systems<---Smooth is better than sharp: a random mobility model for simulation of wireless networks
80C81641	Personal, Indoor and Mobile Radio Communications<---Error control in ATM-based indoor radio LANs
5F9ACA1A	Information not present<---A Non-Iterative Algorithm for Estimating the Impulse Response of ISI Channels
7B2FED19	Wireless Networks<---Competitive multicast routing
7F2AD06C	IEEE Transactions on Vehicular Technology<---Channel occupancy time distribution in a cellular radio system
079A0CD0	Information not present<---Influence of the moving of the mobile stations on the performance of a radio mobile cellular network
765FC6ED	IEEE Transactions on Communications<---A Responsive Distributed Routing Algorithm for Computer Networks
0965A332	Information not present<---An ATM based protocol for Wireless LANs
7EEDDBCC	IEEE Journal on Selected Areas in Communications<---Mobile access to an ATM network using a CDMA air interface
75DD565D	Wireless Networks<---A distributed routing algorithm for mobile wireless networks
0BCFCA7D	Information not present<---Mobile Computing Environment Based on Internet Packet Forwarding
59460D02	International Conference on Communications<---An analysis of the optimum node density for ad hoc mobile networks
7C07C869	IEEE Communications Magazine<---Microcell design principles
7DD403EE	Electronics & Communication Engineering Journal<---QAM: the modulation scheme for future mobile radio communications?
7DF21857	IEEE Network<---Congestion control and prevention in ATM networks
7543F525	IEEE Transactions on Communications<---Packet Switching in a Multiaccess Broadcast Channel: Performance Evaluation
800DB063	Vehicular Technology Conference<---Modulation techniques for digital cellular systems
7564107A	IEEE Transactions on Vehicular Technology<---On the capacity of a cellular CDMA system
588EB518	Information not present<---Handoff and Systems Support for Indirect TCP/IP
7E1C0F86	IEEE Transactions on Vehicular Technology<---Mobility and traffic analyses in three-dimensional PCS environments
7E7EF98B	IEEE Journal on Selected Areas in Communications<---An architecture and methodology for mobile-executed handoff in cellular ATM networks
7D80EEFB	Vehicular Technology Conference<---Distributed and mobility-adaptive clustering for multimedia support in multi-hop wireless networks
7E9C2C61	Computer Communication Review<---Congestion avoidance and control
7E05B485	IEEE Transactions on Communications<---A New Error Control Scheme for Hybrid ARQ Systems
06BEB8CC	Information not present<---Optimal routing for mobile hosts using IP''s loose source route option
5E7E440D	Vehicular Technology Conference<---Dynamic location area management and performance analysis
7E73DC67	IEEE Journal on Selected Areas in Communications<---A mobile host protocol supporting route optimization and authentication
7E993C6D	Computer Communication Review<---The performance of query control schemes for the zone routing protocol
642C4AEE	International Conference on Distributed Computing Systems<---The effects of mobility on reliable transport protocols
75C1E3AF	IEEE Transactions on Communications<---High-Rate Punctured Convolutional Codes for Soft Decision Viterbi Decoding
0018357A	Information not present<---A Mechanism for Dynamic Re-routing of Real-time Channels
7F751C1A	Information not present<---The BSD packet filter: a new architecture for user-level packet capture
5D40DA1E	Information not present<---EIGRP--A Fast Routing Protocol based on Distance Vectors
10A4C821	Global Communications Conference<---Optimal design parameters in a multihop packet radio network using random access techniques
803C99CF	IEEE Personal Communications<---Control and quality-of-service provisioning in high-speed microcellular networks
6424FCED	IEEE Spectrum<---Satellites - Not just a big cable in the sky
7F65E553	IEEE Transactions on Communications<---Cellular packet communications
7E315F64	International Conference on Computer Communications<---A loop-free path-finding algorithm: specification, verification and complexity
8009F0E7	Wireless Communications and Mobile Computing<---A survey of mobility models for ad hoc network research
7D7502F9	Computer Communication Review<---Supporting real-time applications in an Integrated Services Packet Network: architecture and mechanism
7AD2C342	ACM Sigda Newsletter<---The equivalence of theorem proving and the interconnection problem
7FF4CE22	Information not present<---Kerberos: An authentication service for open network systems
7F0099ED	Vehicular Technology Conference<---Location registration and paging for in-building personal multi-media communication systems
78A66337	ACM/IEEE International Conference on Mobile Computing and Networking<---TCP extensions for space communications
766A9B0A	IEEE Transactions on Communications<---On the Capacity of Slotted ALOHA Networks and Some Design Problems
7E51E7AC	IEEE\/ACM Transactions on Networking<---Efficient routing of information between interconnected cellular mobile switching centers
7EE76927	IEEE Transactions on Communications<---An Efficient Selective-Repeat ARQ Scheme for Satellite Channels and Its Throughput Analysis
7F074F13	Mobility Management and Wireless Access<---A structured group mobility model for the simulation of mobile ad hoc networks
7F24481B	IEEE Transactions on Communications<---The Throughput of Packet Broadcasting Channels
7CDE672F	IEEE Transactions on Information Theory<---New short constraint length convolutional code constructions for selected rational rates (Corresp.)
76AFC594	IEEE Communications Magazine<---Network control for wireless communications
7DD0D194	Local Computer Networks<---Measured performance of a wireless LAN
