7E3B4287	Information not present<---Pattern Recognition and Neural Networks
7BEFFDBD	IEEE Transactions on Systems, Man, and Cybernetics<---Fuzzy identification of systems and its applications to modeling and control
7C29A9A7	Artificial Intelligence<---On the complexity of admissible search algorithms
79EA559D	Fuzzy Sets and Systems<---On the optimization of fuzzy decision trees
7FF98835	Communications of The ACM<---An optimal evaluation of Boolean expressions in an online query system
76DC36DC	IEEE Transactions on Computers<---Binary Decision Diagrams
58803894	International Conference on Machine Learning<---Induction of decision trees from inconclusive data
7D74F703	Information not present<---Decision Tree Pruning as a Search in the State Space
79F2179B	Cognitive Science<---Feature discovery by competitive learning
7AE9ABC8	Physical Review D<---A Comparison of the Use of Binary Decision Trees and Neural Networks in Top Quark Detection
8161508D	IEEE Transactions on Pattern Analysis and Machine Intelligence<---Building a sonar map in a specular environment using a single mobile sensor
5DEF8F25	Information not present<---Transient stability of power systems : theory and practice
012B659C	Information not present<---Improving the convergence of back propagation learning with second-order methods
5DC19B3D	Emerging Technologies and Factory Automation<---Fuzzy Robot Navigation In Unknown Environments
5E35BB9A	International Joint Conference on Artificial Intelligence<---Robust execution of robot plans using fuzzy logic
7BF70E1F	Artificial Intelligence<---Noise modelling and evaluating learning from examples
7F1B934B	Information not present<---A theory and methodology of inductive learning
5A498A16	Information not present<---A Genetic Algorithm Approach to Multiple-Fault Diagnosis
5E4707F6	International Joint Conference on Artificial Intelligence<---From dynamic programming to search algorithms with functional costs
00694636	Information not present<---Continuous-Valued Attributes in Fuzzy Decision Trees
7CEA5F57	IEEE Transactions on Information Theory<---Minimum complexity density estimation
7A7993A7	Neural Networks<---Learning fuzzy decision trees
76140B08	Neural Computation<---Regularization theory and neural networks architectures
7B1113C8	Knowledge Based Systems<---Initialization of neural networks by means of decision trees
7D32D921	IEEE Transactions on Robotics and Automation<---An ultrasonic visual sensor for three-dimensional object recognition using neural networks
78A152A7	Pattern Recognition<---A comparison of neural net classifiers and linear tree classifiers: Their similarities and differences
7ED7366D	Neural Computation<---The upstart algorithm: a method for constructing and training feedforward neural networks
81343169	International Conference on Data Mining<---CMAR: accurate and efficient classification based on multiple class-association rules
77E0EFA3	Journal of Statistical Planning and Inference<---Selection criteria for the construction of efficient diagnostic keys
80C2BBF2	International Conference on Machine Learning<---An Improved Algorithm for Incremental Induction of Decision Trees
7AB6D526	Annals of Statistics<---Projection-Based Approximation and a Duality with Kernel Methods
7FBE3ABA	International Conference on Acoustics, Speech, and Signal Processing<---Embedded coding of speech: A vector quantization approach
7F3F48CC	Information not present<---Uncertain reasoning in an ID3 machine learning framework
7A385978	Information Sciences<---A genetic algorithm method for optimizing fuzzy decision trees
75A8EB02	Applied Intelligence<---Using Single-Layered Neural Networks for the Extraction of Conjunctive Rules and Hierarchical Classifications
08B552C9	International Joint Conference on Artificial Intelligence<---Concept learning and the problem of small disjuncts
802CC66A	IEEE Transactions on Acoustics, Speech, and Signal Processing<---An 800 bit/s vector quantization LPC vocoder
5FA02166	Machine Learning<---An Empirical Comparison of Pruning Methods for Decision Tree Induction
7D4D0AF1	Annals of Statistics<---Multivariate Adaptive Regression Splines
74C4EFBC	Information not present<---Continuous ID3 algorithm with fuzzy entropy measures
716D74BC	Information not present<---Generating fuzzy rules from data
7968C947	Sigplan Notices<---Some aspects of decision table conversion techniques
0021EA14	SIAM International Conference on Data Mining<---Expanding the Training Data Space Using Emerging Patterns and Genetic Methods
7726E79E	Machine Learning<---Incremental Learning from Noisy Data
7B3DB8BB	IEEE Transactions on Pattern Analysis and Machine Intelligence<---Pattern Recognition as Rule-Guided Inductive Inference
0491CCC1	International Joint Conference on Artificial Intelligence<---Concept Formation From Very Large Training Sets
803420B4	International Conference on Robotics and Automation<---Noise rejection for ultrasonic sensors in mobile robot applications
5D2A966F	Information not present<---On the induction of decision trees for multiple concept learning
78EDF66D	Machine Learning<---Efficient incremental induction of decision trees
7F062F5A	IEEE Transactions on Computers<---Growing and pruning neural tree networks
7FE5EEA1	IEEE Power & Energy Magazine<---An Artificial Intelligence Framework for On-Line Transient Stability Assessment of Power Systems
5CE6E41F	International Symposium on Physical Design<---Feature construction: An analytic framework and an application to decision trees
795EF3C6	Symposium on the Theory of Computing<---The complexity of theorem-proving procedures
754330FE	Proceedings of the National Academy of Sciences of the United States of America<---Learning algorithms and probability distributions in feed-forward and feed-back networks.
77FA77AD	Journal of Complexity<---On the capabilities of multilayer perceptrons
7DD3C0A0	International Conference on Robotics and Automation<---A reinforcement-learning approach to reactive control policy design for autonomous robots
7C76F60B	IEEE Transactions on Computers<---A Branch and Bound Algorithm for Computing k-Nearest Neighbors
760E5DF7	Information Processing Letters<---Finding nearest neighbours
5B79C7AF	International Conference on Machine Learning<---Unknown attribute values in induction
73B5B5FF	Journal of Intelligent and Robotic Systems<---Multi-Layer Hierarchical Rule Learning in Reactive Robot Control Using Incremental Decision Trees
