81208DC2	National Conference on Artificial Intelligence<---Equations for part-of-speech tagging
7F4E6307	World Wide Web<---Probabilistic query expansion using query logs
7781C560	Journal of Molecular Biology<---Hidden Markov Models in Computational Biology
7AEC248B	Bioinformatics<---Removing near-neighbour redundancy from large protein sequence collections.
7FDE4CC5	Bioinformatics<---What are the baselines for protein fold recognition?
762C0B4E	Nucleic Acids Research<---The SWISS-PROT protein sequence data bank and its new supplement TREMBL.
794AF97E	Current Opinion in Structural Biology<---Hidden Markov models
80F14242	IEEE Transactions on Information Theory<---The context-tree weighting method: basic properties
7621E605	International Conference on Computational Linguistics<---Finite-state parsing and disambiguation
80D5027D	World Wide Web<---A web-based kernel function for measuring the similarity of short text snippets
7D27EBB9	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Information re-retrieval: repeat queries in Yahoo's logs
0BBA6F5A	European Conference on Principles of Data Mining and Knowledge Discovery<---Towards Behaviometric Security Systems: Learning to Identify a Typist
58B61BBC	Information not present<---Protein Data Bank
7C4AD0AF	Journal of Molecular Biology<---SCOP: a structural classification of proteins database for the investigation of sequences and structures.
7C614CF5	Conference on Information and Knowledge Management<---Concept-based interactive query expansion
797C2C5A	Designs, Codes and Cryptography<---Protein is incompressible
7AAFB9B6	Journal of Molecular Biology<---Sequence comparisons using multiple sequences detect three times as many remote homologues as pairwise methods
7AD6A975	Proceedings of the National Academy of Sciences of the United States of America<---Proposed acquisition of an animal protein domain by bacteria.
7B561CAF	Science<---Always Good Turing: Asymptotically Optimal Probability Estimation
7548879F	Annals of Statistics<---Mixtures of Dirichlet Processes with Applications to Bayesian Nonparametric Problems
7D9479E6	Nucleic Acids Research<---CLUSTAL W: improving the sensitivity of progressive multiple sequence alignment through sequence weighting, position-specific gap penalties and weight matrix choice
7FEAF559	Foundations of Computer Science<---Optimal prefetching via data compression
7D80D2E2	IEEE Assp Magazine<---An introduction to hidden Markov models
80935941	Neural Information Processing Systems<---The Power of Amnesia
76321FE1	Proceedings of the National Academy of Sciences of the United States of America<---Automatic generation of primary sequence patterns from sets of related protein sequences
774125E9	Proceedings of the National Academy of Sciences of the United States of America<---Detection of conserved segments in proteins: iterative scanning of sequence databases with alignment blocks
5CE0AC2B	Information not present<---Frequ�|ncy analysis of english usage
7804A76C	Proceedings of the National Academy of Sciences of the United States of America<---Hidden Markov models of biological primary sequence information.
7EF3BA22	IEEE Transactions on Information Theory<---The context-tree weighting method: extensions
03ED0E8C	Information not present<---Universal lossless data compression algorithms
7965150E	Journal of Molecular Biology<---Detecting patterns in protein sequences.
7BFF6B81	Journal of Molecular Biology<---Intermediate sequences increase the detection of homology between sequences
781EEC21	Proceedings of the National Academy of Sciences of the United States of America<---Improved tools for biological sequence comparison
7E80CAC3	Intelligent Systems in Molecular Biology<---Multiple alignment using hidden Markov models.
8162E4AF	World Wide Web<---Generating query substitutions
6CCA2F36	Designs, Codes and Cryptography<---A context-tree weighting method for text generating sources
76E81268	Machine Learning<---The power of amnesia: learning probabilistic automata with variable memory length
7CF19608	Journal of the Association for Information Science and Technology<---Defining a session on Web search engines
7DD4BDF6	Meeting of the Association for Computational Linguistics<---Part-of-speech tagging using a Variable Memory Markov model
68F54F1E	Web Information Systems Engineering<---WhatNext: a prediction system for Web requests using n-gram sequence models
78848FF3	Nucleic Acids Research<---The FSSP database: fold classification based on structure-structure alignment of proteins.
80150691	IEEE Transactions on Information Theory<---A strong version of the redundancy-capacity theorem of universal coding
7CEE121E	World Wide Web<---Adaptive web search based on user profile constructed without any effort from users
75A6D5C4	World Wide Web<---Clustering user queries of a search engine
809B9325	IEEE Transactions on Information Theory<---On loss functions which minimize to conditional expected values and posterior probabilities
0B6E7E46	Information not present<---Maximum likelihood from incom-plete data via the EM algorithm
761E7AAF	Science<---The Nematode Caenorhabditis elegans and Its Genome
797A0E6B	Information Processing and Management<---Automatic new topic identification using multiple linear regression
7D20B166	IEEE Transactions on Information Theory<---Relations between entropy and error probability
7F9A0FAC	Foundations of Computer Science<---Conductance and convergence of Markov chains-a combinatorial treatment of expanders
80A015FA	Proceedings of the National Academy of Sciences of the United States of America<---Assessing sequence comparison methods with reliable structurally identified distant evolutionary relationships
7ED25EEA	Protein Science<---Recognition of related proteins by iterative template refinement (ITR).
7C887C34	The Computer Journal<---Unbounded Length Contexts for PPM
755D5776	Proceedings of the National Academy of Sciences of the United States of America<---Profile analysis: detection of distantly related proteins
778E00D1	Current Opinion in Structural Biology<---How far divergent evolution goes in proteins
7D613389	International ACM SIGIR Conference on Research and Development in Information Retrieval<---An effective approach to document retrieval via utilizing WordNet and recognizing phrases
79FC87C3	International Conference on Computational Linguistics<---Constraint grammar as a framework for parsing running text
767DADBF	Designs, Codes and Cryptography<---Text mining: a new frontier for lossless compression
7E9C1674	Intelligent Systems in Molecular Biology<---Using the Fisher Kernel Method to Detect Remote Protein Homologies
