58A54C44	Information not present<---Extracting Semistructured Information from the Web.
7ED93FB4	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Learning collection fusion strategies
78B0AE7E	Information not present<---A system for automatic personalized tracking of scientific literature on the Web
7A444D56	Computer Networks and Isdn Systems<---Learning personal preferences on online newspaper articles from user behaviors
7F2D27F3	Information not present<---Agents for Expertise Location
7DD8B350	National Conference on Artificial Intelligence<---BIG: a resource-bounded information gathering agent
72B86E51	Information not present<---Naive (Bayes) at Forty: The Independence Assumption in Information Retrieval
80029C96	Machine Learning<---Learning and Revising User Profiles: The Identification ofInteresting Web Sites
7A011154	Communications of The ACM<---Consistent, yet anonymous, Web access with LPWA
755718F4	Computer Networks<---Surfing the Web backwards
08B61B5A	Information not present<---Introduction to Modern Information Retrieval McGraw-Hill
80DEAE60	International Joint Conference on Artificial Intelligence<---Letizia: an agent that assists web browsing
846A3833	Sigmod Record<---Probe, count, and classify: categorizing hidden web databases
749EBC54	Information not present<---Introduction to Modern Information Retrieval
6CA1FCB3	Computer Networks and Isdn Systems<---The Fishwrap personalized news system
7CC73FDD	International ACM SIGIR Conference on Research and Development in Information Retrieval<---Information retrieval using a singular value decomposition model of latent semantic structure
04DB889D	Information not present<---Profusion*: intelligent fusion from multiple
7C1EE24B	Information not present<---Identifying aggregates in hypertext structures
58B06B0D	Information not present<---Characterizing World Wide Web Queries
7A6F5F82	Computer Networks and Isdn Systems<---The quest for correct information on the Web: hyper search engines
78614804	International ACM SIGIR Conference on Research and Development in Information Retrieval<---A probabilistic solution to the selection and fusion problem in distributed information retrieval
7D0036FB	Adaptive Agents and Multi-Agents Systems<---CiteSeer: an autonomous Web agent for automatic retrieval and identification of interesting publications
77518A39	Computer Networks and Isdn Systems<---The shark-search algorithm. An application: tailored Web site mapping
7EFDB0CC	International Database Engineering and Applications Symposium<---Evolvable intelligent user interface for WWW knowledge-based systems
767B12CC	Computer Networks<---Finding related pages in the World Wide Web
796F09ED	International ACM SIGIR Conference on Research and Development in Information Retrieval<---The impact of database selection on distributed searching
6E136811	Sigir Forum<---Analysis of a Very Large AltaVista Query Log
75CBB3BF	Human Factors in Computing Systems<---Do-I-Care: a collaborative Web agent
7EC1D0EB	The Vldb Journal<---Scalable feature selection, classification and signature generation for organizing large text databases into hierarchical topic taxonomies
7F86B273	Communications of The ACM<---Scalable Internet resource discovery: research problems and approaches
5C78B1CB	Information not present<---Bayesian learning of probabilistic language models
80FAC64B	Information not present<---Nymble: a high-performance learning name-finder
7DBA9CD5	Information not present<---Learning Information Retrieval Agents: Experiments with Automated Web Browsing
79751852	Communications of The ACM<---Intelligent information-sharing systems
7A83C51A	Information not present<---On the Use of Clustered File Organization in Information Search and Retrieval
60925BB1	International Conference on Machine Learning<---Hierarchically Classifying Documents Using Very Few Words
7A8C8726	Communications of The ACM<---Personalized information delivery: an analysis of information filtering methods
75EBE974	Information Processing and Management<---Term-weighting approaches in automatic text retrieval
7BCE4708	International Journal on Digital Libraries<---The Stanford Digital Library Metadata Architecture
77F64663	Adaptive Agents and Multi-Agents Systems<---A Web-based information system that reasons with structured collections of text
78B1EB45	Conference on Information and Knowledge Management<---An adaptive algorithm for learning changes in user interests
5C6EE6A5	World Wide Web<---Multi-service search and comparison using the MetaCrawler
7E5A7BD2	Human Factors in Computing Systems<---Autonomous interface agents
7ECA8D7D	IEEE Transactions on Applications and Industry<---Ontology based personalized search
75EAE858	Conference on Information and Knowledge Management<---Yahoo! as an ontology: using Yahoo! categories to describe documents
80365698	Intelligent Agents<---Agents in Delivering Personalized Content Based on Semantic Metadata
7A4C81F5	World Wide Web<---Rank aggregation methods for the Web
5DDBC51C	Communications of The ACM<---A Public Digital Library based on Full-text Retrieval: Collections and Experiance
7BEE865E	Conference on Information and Knowledge Management<---Efficient and effective metasearch for a large number of text databases
7B9C7D06	Sigir Forum<---Real life information retrieval: a study of user queries on the Web
7D7BB348	IEEE Transactions on Knowledge and Data Engineering<---A statistical method for estimating the usefulness of text databases
7ECA06C1	Human Factors in Computing Systems<---Finding and visualizing inter-site clan graphs
