7538AFB4	Signal Processing-image Communication<---A region-based subband coding scheme
06F0B7DE	Advances in Multimedia<---Spatio-temporal visual distortion and rate optimization for video coding
7E628B8E	International Conference on Image Processing<---Opening the Laplacian pyramid for video coding
82CFB602	Information not present<---H.264 的適應性區塊編碼模式選擇策略
7CAB313E	Visual Communications and Image Processing<---Rate-distortion optimization between the hierarchical variable block size motion estimation and motion sequence coding
5F9749FB	International Conference on Image Processing<---Sliding-window packetization for unequal loss protection based multiple description coding
80C8AAB1	International Conference on Acoustics, Speech, and Signal Processing<---An improved algorithm for rate distortion optimization in JPEG2000 and its integrated circuit implementation
7FB0133B	Designs, Codes and Cryptography<---Conditional entropy coding of VQ indexes for image compression
7615669B	Visual Communications and Image Processing<---Recent progress on perceptual video coding
5C75979A	International Conference on Image Processing<---Low-complexity macroblock mode selection for H.264-AVC encoders
7546BFD7	Information not present<---Fast intra mode decision for HEVC intra coding
7E57A3A9	Information not present<---Encoding DCT coefficients in H.263 based on rate-distortion measurement
60A0B200	Clinical Orthopaedics and Related Research<---Enhanced Mode Selection Algorithm for H.264 encoder for Application in Low Computational power devices
7E9CFFF8	International Symposium on Circuits and Systems<---High performance wavelet-based stereo image coding
7D79DC40	Ieice Transactions<---Image Authentication and Recovery through Optimal Selection of Block Types
7D21550F	IEEE Transactions on Multimedia<---Rate-distortion-complexity modeling for network and receiver aware adaptation
8070E2E9	International Symposium on Information Theory<---A novel coding scheme for symmetric multiple description coding
08E9BB5E	Information not present<---Using Structure and Texture Filling-in of Missing H.264 Image Blocks in Fading Channel Transmission
7DDDDB0A	IEEE Signal Processing Letters<---Adaptive Nonseparable Interpolation for Image Compression With Directional Wavelet Transform
7845CF6E	Optical Engineering<---Rate-distortion optimized adaptive transform coding
593CDBD5	Information not present<---Research on the computation model of macro block coding based on the rate-distortion optimization
7E6B729C	Information not present<---A new joint Rate-distortion Optimization model based on texture and mean-error factors
81029CB8	IEEE Transactions on Circuits and Systems for Video Technology<---Forward Error Correction-Based 2-D Layered Multiple Description Coding for Error-Resilient H.264 SVC Video Transmission
0319D9B8	Information not present<---Rate-Distortion optimized video coding with frameskip
80AD8E7E	International Conference on Image Processing<---Joint rate-distortion optimization of transform coefficients for spatial Scalable Video Coding using SVC
778E5D5B	IEEE Transactions on Image Processing<---Joint Source and Channel Coding for 3-D Scene Databases Using Vector Quantization and Embedded Parity Objects
83B17DA3	Information not present<---부호화 효율을 고려한 고속 인터/인트라 모드 결정 알고리즘
79C7414D	Information not present<---Gradient based fast mode decision algorithm for intra prediction in HEVC
0A5B5B84	Information not present<---Rate-distortion optimized low--latency video streaming using channel-adaptive bitstream assembly
5992357C	Pacific Rim Conference on Multimedia<---Hybrid Multiple Description Video Coding Using SD/MD Switching
7FA15632	Information not present<---Property vector based distortion estimation
7955BA8A	Information not present<---Rate-distortion development for optimal truncation in JPEG2000 imagery
8032377E	International Conference on Image Processing<---Motion estimation with entropy coding considerations in H.264/AVC
810326BA	IEEE Transactions on Circuits and Systems for Video Technology<---Efficient background video coding with static sprite generation and arbitrary-shape spatial prediction techniques
79FBF34A	International Conference on Model Transformation<---Research on scalable coding technology application in video compression based on H.264 standard
78ED3A51	International Conference on Acoustics, Speech, and Signal Processing<---A fast CABAC rate estimator for H.264/AVC mode decision
76D4E46A	Information not present<---Block based Rate-Distortion analysis for quality improvement of synthesized views
7FF8841C	International Conference on Acoustics, Speech, and Signal Processing<---Rate-distortion optimal motion estimation algorithm for video coding
80DF8F19	IEEE Transactions on Circuits and Systems for Video Technology<---Transform-Domain Fast Sum of the Squared Difference Computation for H.264/AVC Rate-Distortion Optimization
7A1AC0B1	Designs, Codes and Cryptography<---A video codec based on R/D-optimized adaptive vector quantization
710CE7D2	Information not present<---New results on rate control in JPEG2000
7D3F56B3	Information not present<---Channel Aware Joint Optimization of Latency and Distortion for Image Communications
73C5C5D6	International Symposium on Circuits and Systems<---An efficient SNR scalability coding framework hybrid open-close loop FGS coding
7A7CA94F	Information not present<---Network Distributed Quantization
5D025EA9	International Conference on Image Processing<---Video streaming over wireless LAN with efficient scalable coding and prioritized adaptive transmission
13659315	Journal of Systems Engineering and Electronics<---Improved algorithm for RDO in JPEG2000 encoder and its IC design 1 1 This project was supported by the National “863” High Technology Program of China (2002AA1Z1420).
812615CC	Advances in Multimedia<---Fast Mode Decision Algorithm Using Efficient Block Skip Techniques for H.264 P Slices
78CFB32A	Advances in Multimedia<---Rate-distortion optimized frame dropping for multiuser streaming and conversational videos
75FCF958	International Conference on Image Processing<---Adaptive Multi-Resolution Coding for 3D Scenes using Vector Quantization
7E4A5F1C	IEEE Transactions on Circuits and Systems for Video Technology<---Complexity Modeling of Spatial and Temporal Compensations in H.264/AVC Decoding
79E79742	Information not present<---Computational complexity reduction algorithm for inter mode prediction in video coding
7FF6149F	International Conference on Image and Graphics<---Fast Intra Mode Decision Algorithm Based on Texture Feature for H.264/AVC
7D434E0D	International Conference on Multimedia and Expo<---Fast mode selection scheme for H.264/AVC inter prediction based on statistical learning method
7F8CD59F	IEEE Transactions on Circuits and Systems for Video Technology<---Multiple Description Wavelet Video Coding Employing a New Tree Structure
754B8BA5	International Conference on Image Processing<---Transcoding from H.264/AVC to SVC with CGS Layers
79141236	International Symposium on Visual Computing<---A macroblock-based perceptually adaptive bit allocation for H264 rate control
7D963663	Information not present<---Novel Fast Mode Decision Algorithm for P-Slices in H.264/AVC
804B91FF	International Conference on Multimedia and Expo<---Fast motion estimation within the H.264 codec
7F8137C8	International Conference on the Digital Society<---Research and Realization of Improved Algorithm for H.264/AVC Oriented to Video Conference under the RTI Framework
7F862E3E	Information not present<---Rate-distortion optimized tree based coding algorithms
79BE3140	International Conference on Image Processing<---A multi-level dynamic complexity reduction scheme for multiview video coding
7B39143F	Conference on Information Sciences and Systems<---Quality versus intelligibility: Evaluating the coding trade-offs for American Sign Language video
7DBFD023	IEEE Transactions on Image Processing<---Cross-Layer Optimization for Video Transmission Over Multirate GMC-CDMA Wireless Links
801A7486	EURASIP Journal on Advances in Signal Processing<---End-to-end rate-distortion optimized MD mode selection for multiple description video coding
803D357B	Designs, Codes and Cryptography<---An Estimation-Theoretic Interpretation of Video Rate Distortion Optimization with Lagrangian Formulation
7D40A57A	IEEE Transactions on Circuits and Systems for Video Technology<---Remote Interactive Browsing of Video Surveillance Content Based on JPEG 2000
7FCB5132	International Conference on Acoustics, Speech, and Signal Processing<---A New Rotation Search for Dependent Rate-Distortion Optimization in Video Coding
7E770161	IEEE Transactions on Image Processing<---Rate-distortion optimal fast thresholding with complete JPEG/MPEG decoder compatibility
7F706720	Optical Engineering<---Loss-aware rate-distortion optimization for redundant picture allocation in H.264/AVC
80BD8838	International Conference on Image Processing<---Reduced-complexity rate-distortion optimization of multiresolution motion field and prediction residual
792CF47B	Image and Vision Computing<---Encoding of multispectral and hyperspectral image data using wavelet transform and gain shape vector quantization
80F936C3	Pacific Rim Conference on Multimedia<---Improving Computation of Zero-Blocks for Zero-Block Mode Decision Using Prediction Motion Vector
7AF985B8	Information not present<---VLSI Architecture of 1.264 Block Size Decision based on Rate-Distortion Optimization
7E7294BC	IEEE Transactions on Image Processing<---Optimized Atom Position and Coefficient Coding for Matching Pursuit-Based Image Compression
799A038F	Information not present<---Adaptive P2P video streaming via packet labeling
8053E486	IEEE Transactions on Consumer Electronics<---A region and data hiding based error concealment scheme for images
7F721715	International Conference on Multimedia and Expo<---SATD-based intramode decision for H.264/AVC video coding
79E1FCFA	Information not present<---Perceptually Adaptive Lagrange Multiplier for Rate-Distortion Optimization in H.264
7E0721E4	IEEE Transactions on Circuits and Systems for Video Technology<---Video Coding With Rate-Distortion Optimized Transform
680AB084	Information not present<---Rate-Distortion Optimization For Image Compression Using Warped
759F3545	Information not present<---A simple direction detection algorithm for Fast H.264 intra prediction
7D2DB78D	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-distortion optimal motion estimation algorithms for motion-compensated transform video coding
79E3DF67	Information not present<---Efficient rate-distortion optimized mode selection of H.264/AVC intra coding
7D5349FB	Information not present<---Fast spatial Direct mode decision for B slice based on temporal information in H.264 standard
79E3A229	International Conference on Image Processing<---Visual perception based Lagrangian rate distortion optimization for video coding
8104C12F	International Conference on Image Processing<---Mode Selection and Optimal Rate Control for Video Coding using an and-or Tree Representation
80F8FCEE	International Symposium on Circuits and Systems<---Adaptive Lagrange Multiplier Selection for Intra-Frame Video Coding
7FE46870	IEEE Transactions on Circuits and Systems for Video Technology<---Network-adaptive low-latency video communication over best-effort networks
7E781190	Multimedia Signal Processing<---Coding structure optimization for interactive multiview streaming in virtual world observation
5ACFBCDA	Information not present<---Research on The Application of Wireless Video Information Mining for the Multi- encoding Mode and Trans-coding Optimization Algorithm
7FC2548B	IEEE Transactions on Multimedia<---An Efficient Progressive Bitstream Transmission System for Hybrid Channels With Memory
787F27B2	Journal of Computer Applications<---Region-of-interest coding based on rate-distortion optimization: Region-of-interest coding based on rate-distortion optimization
7D4D6C64	International Symposium on Circuits and Systems<---Perceptual image compression via adaptive block- based super-resolution directed down-sampling
77B69C3E	International Conference on Multimedia and Expo<---Bit Rate Estimation for Cost Function of 4×4 Intra Mode Decision of H.264/AVC
76017F3E	International Conference on Innovative Computing, Information and Control<---A Fast Mode Decision Algorithm for Inter-Frame in H.264/AVC
7F7525EC	International Conference on Acoustics, Speech, and Signal Processing<---Optimal resource allocation for video transmission over DS-CDMA channels with multirate detection
7DF60B1C	Information not present<---An Improved ROI-Based Rate Control Algorithm for H.264/AVC
7F13641D	Information Systems Management<---Efficient Block Size Decision Algorithm for Intra Mode Decision in H.264/AVC Encoder
7A7264D5	IEEE Transactions on Image Processing<---Rate-Distortion Optimal Video Transport Over IP Allowing Packets With Bit Errors
7DE54C8A	Workshop on Applications of Signal Processing to Audio and Acoustics<---Rate-distortion optimized hybrid sound coding
810A7876	Multimedia Signal Processing<---Rate-Distortion Optimized I-Slice Selection for Low Delay Video Transmission
77E4EBEC	International Conference on Multimedia and Expo<---Motion Estimation by Quadtree Pruning and Merging
7D3D1B32	International Conference on Image Processing<---Dynamic programming algorithm for rate-distortion optimized media streaming
75E09117	International Conference on Intelligent Computing<---Fast mode selection for H.264/AVC based on MB motion characteristics
7F2023FD	International Conference on Acoustics, Speech, and Signal Processing<---Lagrangian multiplier optimization using correlations in residues
7D0CCA34	International Conference on Acoustics, Speech, and Signal Processing<---Balanced multiple description video coding using optimal partitioning of the DCT coefficients
7D137B40	IEEE Transactions on Image Processing<---Distortion Estimators for Bitplane Image Coding
7B89273C	International Conference on Image Processing<---Improving hybrid coding via control of quantization errors in the spatial and frequency domains
7C9D5272	Information not present<---Rate-distortion based mode selection for video coding over wireless networkswith burst losses
7D2971F7	Information not present<---Rate-Distortion Optimized Progressive Geometry Compression
7FF8FC42	IEEE Transactions on Broadcasting<---Error-Resilient Scheme for Wavelet Video Codec Using Automatic ROI Detection and Wyner-Ziv Coding Over Packet Erasure Channel
8002A927	IEEE Transactions on Consumer Electronics<---Harwdware assisted rate distortion optimization with embedded CABAC accelerator for the H.264 advanced video codec
7DD768C8	International Conference on Acoustics, Speech, and Signal Processing<---Simultaneous RD-optimized rate control and video de-noising
801B59F1	International Conference on Image Processing<---Distributed Rate-Distortion Optimization for Rateless Coded Scalable Video in Mobile Ad Hoc Networks
