7632557C	Information not present<---Quality of service provision under channel fading
812468B5	Information not present<---Array-transmission based physical-layer security techniques for wireless sensor networks
7EB532DA	IEEE Transactions on Wireless Communications<---On bandwidth request mechanism with piggyback in fixed IEEE 802.16 networks
80C621E2	International Conference on Wireless Information Networks and Systems<---Robust multimedia transmission over wireless and mobile networks
0304E788	Information not present<---A Framework for Activity Recognition and Detection of Unusual Activities
7F64F876	International Conference on Communications<---Multicast Transmission over IEEE 802.11n WLAN
816AA0C2	Information not present<---Internetworking ATM with DAMA-controlled satcom
5EC39206	Information not present<---Wireless LANs; Protocols, Security and Deployment
5E6647C8	Next Generation Teletraffic and Wired/Wireless Advanced Networking<---Effect of realistic physical layer on energy efficient broadcast protocols for wireless ad hoc networks
81719D53	Information not present<---An Improved Key Management of ZigBee Protocol
7C911B5E	International Symposium on Information Theory<---Delay minimization in multiple access channels
80D44004	Information not present<---Analysis of a physical layer wireless communication system implementation on an SDR baseband processor
126E19EB	Information not present<---Saluting Innovation @ Sproutling - Viewpoints on Innovation
7611E4BD	Information not present<---Cognitive approaches in Wireless Sensor Networks: A survey
7CD2777B	Information not present<---Hybrid noncoherent network coding
80744BF2	Focus on Surfactants<---First MCM-D modules for the b-physics layer of the ATLAS pixel detector
800886C3	International Conference on Computer Communications<---A generic cognitive radio based on commodity hardware
7FBC6CF6	Personal, Indoor and Mobile Radio Communications<---The AT&T GIS WaveLAN air interface and protocol stack
09B7C585	Information not present<---CMS ECAL Off-detector Electronics
8175E81D	Information not present<---TETRA radio terminal design: technical challenges of the physical layer
593BB9F9	Information not present<---Apple tree system research
813D352B	International Conference on Computer Communications<---Experimental evaluation of optimal CSMA
7DBD2238	International Conference on Communications<---DMT performance improvement based on clustering modulation, applications to ADSL
812A3F11	Consumer Communications and Networking Conference<---Adaptive ACK schemes of the IEEE 802.15.3 MAC for the ultra-wideband system
7FA172F5	Wireless Communications and Networking Conference<---Link-oriented power allocation in multicast systems with physical layer network coding
7CE4722B	Personal, Indoor and Mobile Radio Communications<---Architectures for heterogeneous wireless sensor networks
5EB9E2C6	Information not present<---INTERFERENCIA DE CAMPO MAGNÉTICO Y PLANTEAMIENTO DE LA SOLUCIÓN EN UNA INSTALACIÓN COMERCIAL
7F41582C	International Conference on Communications<---Routing and Power Allocation for MIMO-Based Ad Hoc Networks with Dirty Paper Coding
7D33D324	World of Wireless, Mobile and Multimedia Networks<---Development of a simulation Environment for Vehicular communications, implementation of FEC coding chain in Xilinx FPGA based on IEEE 802.11p standard
7D26D61C	International Conference on Computer Communications<---TWINE: A Hybrid Emulation Testbed for Wireless Networks and Applications
74D83FFD	System Analysis and Modeling<---Joint transmit antenna selection and adaptive modulation in cross-layer oriented designs for HSDPA systems
7C37BC28	Journal of Network and Computer Applications<---Intelligent rate control for supporting real-time traffic in WLAN mesh networks
7B58CD5E	ACM Transactions on Sensor Networks<---Optimizing physical-layer parameters for wireless sensor networks
811FCF98	IEEE\/OSA Journal of Optical Communications and Networking<---A fully distributed 10G-EPON-based converged fixed-mobile networking transport infrastructure for next generation broadband access
7F6954DE	World of Wireless, Mobile and Multimedia Networks<---Habit: Leveraging human mobility and social network for efficient content dissemination in Delay Tolerant Networks
8061A65D	Information not present<---Application of RFID and Internet of Things in Monitoring and Anti-counterfeiting for Products
71FACB5D	Information not present<---에어쿠션의 압력변화를 이용한 심폐활동 모니터링 시스템 개발
7F2D64FE	Information not present<---Confidential messages to a cooperative relay
7AEE7126	Information not present<---A study on MAC sublayer of OBU in ETC system
813CAB73	International Conference on Networking<---The Novel Cross-Layer Design for Channel Access in Ad Hoc Cognitive Radio Network
80216439	IEEE Transactions on Consumer Electronics<---Interoperability Of Consumer Control And Monitoring Networks Over The AC Powerline
