Paper ID,Title,Journal,Sim1,Sim2
7EE98F0E,-Optimizing web search using web click-through data,Conference on Information and Knowledge Management,0.6619047619,1
7D0E5B94,-Review on web search personalization through semantic data,Information not present,0.5285714286,1
7BD0634B,-Sampling high-quality clicks from noisy click data,World Wide Web,0.5285714286,1
7E932837,-Usefulness of click-through data in expert search,International ACM SIGIR Conference on Research and Development in Information Retrieval,0.5285714286,1
7F61F76F,-Personalized search using identity-based hashing,Digital Identity Management,0.4841269841,1
76D98D23,-Who uses web search for what: and how,Web Search and Data Mining,0.4841269841,1
7FCF36E0,-Personalization in professional academic search,Information not present,0.3507936508,1
58912026,-The State-of-the-arts in Focused Search,IEEE Journal of Quantum Electronics,0.3507936508,1
77B7328F,-An intelligent agent-based meta search,Information not present,0.3507936508,1
5F98208B,-MINERVA: collaborative P2P search,The Vldb Journal,0.3507936508,1
777B398F,-Subwebs for specialized search,International ACM SIGIR Conference on Research and Development in Information Retrieval,0.3507936508,1
809760C7,-Towards an Effective XML Keyword Search,IEEE Transactions on Knowledge and Data Engineering,0.3507936508,1
5A58C9EC,-Experiments in Parallel Constraint-Based Local Search,Information not present,0.3507936508,1
790B5A53,-Efficient two-sided error-tolerant search,International Conference on Management of Data,0.3507936508,1
7E168703,-Efficient fuzzy type-ahead search in TASTIER,International Conference on Data Engineering,0.3507936508,1
5D259979,-Agent-based semantic search at motoso.de,Multiagent System Technologies,0.3507936508,1
7928820F,-Circular Reranking for Visual Search,IEEE Transactions on Image Processing,0.3507936508,1
80ED8842,-What's Next in Web Search?,IEEE Distributed Systems Online,0.3507936508,1
7B3F76AA,-Sponsored Search as a Strategic E-Service,International Journal of E-services and Mobile Applications,0.3507936508,1
59CE7EA6,-Towards Semantic Search,Applications of Natural Language to Data Bases,0.3507936508,1
819BF817,-Auctioning Keywords in Online Search,Information not present,0.3507936508,1
7EE419B7,-Using BM25F for semantic search,Information not present,0.3507936508,1
7E46D837,"-Bubblestorm: resilient, probabilistic, and exhaustive peer-to-peer search",Computer Communication Review,0.3507936508,1
7713A5ED,-Self-supervised web search for any-k complete tuples,Information not present,0.3507936508,1
7DF05E13,-Multimedia search: ready or not?,IEEE Distributed Systems Online,0.3507936508,1
0BA5855E,"-Explaining BubbleStorm: Resilient, Probabilistic, and Exhaustive Peer�to�Peer Search",Information not present,0.3507936508,1
6A957BD4,-Web search personalization via social bookmarking and tagging,International Semantic Web Conference,0.3507936508,1
7DACD52D,-Architecture of an Object-Level Vertical Search,Web Information Systems Modeling,0.3507936508,1
780324C6,-wikiSearch: enabling interactivity in search,International ACM SIGIR Conference on Research and Development in Information Retrieval,0.3507936508,1
75F6E6A4,"-After a search so painful, and so long",Microelectronics International,0.3507936508,1
76EDEF02,-Beyond basic faceted search,Web Search and Data Mining,0.3507936508,1
7EA84A9A,-Typicality-Based Visual Search Reranking,IEEE Transactions on Circuits and Systems for Video Technology,0.3507936508,1
7340259A,-Anonymizing Unstructured Data,Clinical Orthopaedics and Related Research,0.3444444444,1
815D5340,-It's All About the Data,Proceedings of the IEEE,0.293015873,1
650F62C3,-MENGHITUNG WEBOMETRICS BERDASAR DATA 21 NOV 2012,Information not present,0.293015873,1
5C63B6D9,-Sifting the Data.,Information not present,0.293015873,1
77AFFE93,-Tutorial on sponsored search,Evolutionary Computation,0.2896825397,1
7B8C18DB,-Frontiers of search,IEEE Computer,0.2896825397,1
63913EDD,-Synonym search in Wikipedia: Synarcher,Clinical Orthopaedics and Related Research,0.2896825397,1
79A89D40,-Community-based snippet-indexes for pseudo-anonymous personalization in web search,International ACM SIGIR Conference on Research and Development in Information Retrieval,0.2896825397,1
72315DD4,-Concordance-based entity-oriented search,Web Intelligence and Agent Systems: An International Journal,0.2896825397,1
77E9A73C,-Web search clickstreams,Internet Measurement Conference,0.2896825397,1
062D5835,-Faceted Wikipedia Search,Business Information Systems,0.2896825397,1
5BBEFA9F,-Caching for realtime search,European Conference on Information Retrieval,0.2896825397,1
7E34B27E,-Exploratory Search in Wikipedia,Information not present,0.2896825397,1
72030340,-One-Stop Search,Behavioral & Social Sciences Librarian,0.2896825397,1
77C4F21A,-Nonparametric Label-to-Region by search,Computer Vision and Pattern Recognition,0.2896825397,1
026364DE,-Semantic Search with GoPubMed,Information not present,0.2896825397,1
5DF61D56,-Output-Sensitive autocompletion search,String Processing and Information Retrieval,0.2896825397,1
7BBB6AEB,-Multitasking Web search on Vivisimo.com,Information not present,0.2896825397,1
0F390BC8,-Context in Web Search,IEEE Data(base) Engineering Bulletin,0.2896825397,1
7645C42C,"-AquaBrowser Library: Search, Discover, Refine",Library Hi Tech News,0.2896825397,1
7E54615B,-Knowledge Search and Trust-Oriented Search,Information not present,0.2896825397,1
807777B3,-Concordance-Based Entity-Oriented Search,Wirtschaftsinformatik \/ Angewandte Informatik,0.2896825397,1
751A9ADF,-Auctioning Keywords in Oline Search,Journal of Marketing,0.2896825397,1
7D65F3AD,-Finding OERs with Social-Semantic search,Information not present,0.2896825397,1
6B9F14D1,-Object-oriented XML keyword search,Information not present,0.2896825397,1
7AE337F9,-Output-sensitive autocompletion search,Information Retrieval,0.2896825397,1
7C5999CB,-Fusing Data and Optimizing Queries for Intelligent Search,Database and Expert Systems Applications,0.6952380952,0.7857142857
7F6A57A0,-Learning to re-rank: query-dependent image re-ranking using click data,World Wide Web,0.6619047619,0.7777777778
801E4CE1,-Contextual Ranking of Keywords Using Click Data,International Conference on Data Engineering,0.6619047619,0.7777777778
7C13EC54,-Improving the search process through ontology‐based adaptive semantic search,The Electronic Library,0.3507936508,0.7777777778
7698E0C7,-Obelix searches Internet using customer data,IEEE Computer,0.6619047619,0.7727272727
0AF21D7E,-Evaluating Search Engines using Clickthrough Data,Information not present,0.6619047619,0.7678571429
7A061E69,-Optimizing search engines using clickthrough data,Knowledge Discovery and Data Mining,0.6619047619,0.7678571429
7778EBF3,-Sharing private data through personalized search,Identity in The Information Society,0.5352380952,0.75
7F1EE353,-Knowledge Aggregation in Human Flesh Search,Information not present,0.4285714286,0.75
7F243985,-Domain specific searches using conceptual spectra,International Conference on Tools with Artificial Intelligence,0.4952380952,0.7222222222
8013C1B4,-Peer-to-peer keyword search using keyword relationship,Cluster Computing and the Grid,0.4952380952,0.7222222222
7FD1435C,-From exploratory search to web search and back,Conference on Information and Knowledge Management,0.3507936508,0.7222222222
7DB5FDAD,-Towards geospatial semantic search: exploiting latent semantic relations in geospatial data,International Journal of Digital Earth,0.5285714286,0.7142857143
7599163B,-MediaMill: semantic video search using the RotorBrowser,Conference on Image and Video Retrieval,0.4904761905,0.7142857143
7A83BAF6,-SDWS: Semantic Search for Deep Web Data,Information not present,0.5285714286,0.7083333333
035999CD,-Focused Search on the Web using WeQueL,Information not present,0.4869047619,0.7083333333
77B1FCBA,-Improving mobile search using content enrichment,Artificial Intelligence Review,0.4841269841,0.7083333333
77521FFE,-Analysis of Haptics Evolution from Web Search Engines’ Data,Journal of Multimedia,0.4841269841,0.7083333333
778594B8,-Ferret: a toolkit for content-based similarity search of feature-rich data,Operating Systems Review,0.4771428571,0.7083333333
7E4DBFA4,-A Fast Search Method for Encrypted Medical Data,International Conference on Communications,0.5285714286,0.7037037037
5E342F1A,-Click data as implicit feedback in web search,Information not present,0.5285714286,0.7037037037
7D4DA857,-Toward the semantic search by using ontologies,Information not present,0.4841269841,0.7037037037
7E45E4DA,-VisualRank: Applying PageRank to Large-Scale Image Search,IEEE Transactions on Pattern Analysis and Machine Intelligence,0.4841269841,0.7037037037
5C7467D9,-Improving Re-ranking of Search Results Using Collaborative Filtering,Asia Information Retrieval Symposium,0.4841269841,0.7037037037
79B6DA40,-BirdFinder: Web search and audio search extension,Information not present,0.2896825397,0.7037037037
77F9B0A6,-Online learning from click data for sponsored search,World Wide Web,0.7,0.7
79A63251,-Internet search using adaptive visualization,Human Factors in Computing Systems,0.4841269841,0.7
7879D017,-Toward industrial-strength keyword search systems over relational data,International Conference on Data Engineering,0.5285714286,0.696969697
783720A1,-Location-aware click prediction in mobile local search,Conference on Information and Knowledge Management,0.5222222222,0.696969697
074375F4,-Language Models for Intelligent Search Using Multinomial PCA,Information not present,0.4841269841,0.696969697
7C3B16FC,-Web data extracion using visual features,Information not present,0.4777777778,0.696969697
7A633980,-Personalized click prediction in sponsored search,Web Search and Data Mining,0.4611111111,0.696969697
7FE38469,-A noise-aware click model for web search,Web Search and Data Mining,0.4611111111,0.696969697
5FDEAFE6,-In search of search privacy,Trust and Privacy in Digital Business,0.2896825397,0.696969697
7D6DFDA0,-Improving Web Search Using Contextual Retrieval,International Conference on Information Technology: New Generations,0.4841269841,0.6944444444
77C2AF41,-Finding and using data in educational digital libraries,ACM/IEEE Joint Conference on Digital Libraries,0.4777777778,0.6923076923
78E302F8,-A Global Search Engine For Geospatial Data,IEEE Spectrum,0.5285714286,0.6904761905
5D836C67,-Text Distinguishers Used in an Interactive Meta Search Engine,Web-Age Information Management,0.4841269841,0.6904761905
7DD797DA,-A large-scale full-text search engine using DotLuence,Information not present,0.4841269841,0.6904761905
0A7E5FB1,-Implementing a Search Engine using an OODB,"Logiciel, Base De Données, Réseaux \/ Software, Databases, Networks",0.4841269841,0.6904761905
814E488A,-XSeek: a semantic XML search engine using keywords,The Vldb Journal,0.4841269841,0.6904761905
0A115A5C,-Towards a Spatial Search Engine Using Geotags,Information not present,0.4841269841,0.6904761905
05744AE1,-Updating Search Engines Using Meta-Updates,The International Arab Journal of Information Technology,0.4841269841,0.6904761905
7C4B8EC4,-Diagnosis using search engines,BMJ,0.4841269841,0.6904761905
7B2BE8E9,-Nowcasting the macroeconomy with search engine data,Web Search and Data Mining,0.4771428571,0.6904761905
5A7174CC,-Evaluating Search Engines by Clickthrough Data,International Semantic Web Conference,0.4771428571,0.6904761905
800B220F,-Mimicking Web search engines for expert search,Information Processing and Management,0.3507936508,0.6904761905
7D543C0F,-BioText Search Engine: beyond abstract search,Bioinformatics,0.3507936508,0.6904761905
0EC6EE8B,-In Search of a Better Search Engine.,Information not present,0.3507936508,0.6904761905
803D2737,-Speeding up keyword search for search engines,Information not present,0.3507936508,0.6904761905
7DEE1213,-Paid search [search engines],IEEE Computer,0.2896825397,0.6904761905
7E04CD0C,-Approximate Keyword Search in Web Search Engines,International Conference on Digital Information Management,0.2896825397,0.6904761905
5D63DB2F,-Optimizing Web Search Using Spreading Activation on the Clickthrough Data,Web Information Systems Engineering,0.6619047619,0.6866666667
7E77C0EB,-Personalized User-Query Semantic Clustering Using Search Click Information,Mobile Adhoc and Sensor Systems,0.6833333333,0.6785714286
78C7E92F,-Towards Exploratory Video Search Using Linked Data,Information Systems Management,0.6619047619,0.6785714286
053EC48D,-Semantic Search of Unstructured Data using Contextual Network Graphs,Information not present,0.6619047619,0.6685714286
7B722E7E,-Earlybird: Real-Time Search at Twitter,International Conference on Data Engineering,0.3888888889,0.6666666667
7C5003DC,-Models of malicious behavior in sponsored search,Spring Simulation Multiconference,0.3507936508,0.6666666667
