7D97E2A4	Information not present<--Symmetric clock synchronization in sensor networks
5FC81836	Information not present<--Practical End-to-End Performance Testing Tool for High Speed 3G-Based Networks
793D8F30	IEEE Transactions on Very Large Scale Integration Systems<--Experimental Characterization and Analysis of an Asynchronous Approach for Reduction of Substrate Noise in Digital Circuitry
64224FFA	Information not present<--A scan design for asynchronous sequential logic circuits using SR-latches
061464B2	Information not present<--Formal Verification of the Interactive Convergence Clock Synchronization Algorithm using EHDM
77FC4594	Principles of Distributed Computing<--Practical implementations of non-blocking synchronization primitives
813BAC56	Global Communications Conference<--Reliable Re-Encryption in Unreliable Clouds
7DBAED10	Proceedings of SPIE<--Implementation of Flexible Access System
74CFDCB9	Information not present<--Qualitative analysis of the impact of clock timing error and/or frequency offsets on an OFDM waveform demodulator
7A962541	Information not present<--Implementation of IEEE1588 for Clock Synchronization
830D3EB9	Information not present<--스페이스와이어 링크의 시각 동기 성능 개선
7CA2CEC3	IEEE Transactions on Computers<--Introduction to the Special Issue on Real-Time Systems
7DC62DFA	The Plant Cell<--A Functional Link between Rhythmic Changes in Chromatin Structure and the Arabidopsis Biological Clock
11BBA44C	Information not present<--Synchronization Control of Multiple Motors using CAN Clock Synchronization
7F105457	IEEE Transactions on Signal Processing<--Sensitivity of Multiband ZP-OFDM Ultra-Wide-Band and Receivers to Synchronization Errors
7B73BED1	Information not present<--Opportunistic Digital Array Radar and its technical characteristic analysis
7D8B7AD7	Information not present<--Limits of synchronization accuracy using hardware support in IEEE 1588
78C806C4	Wireless Network Security<--Short paper: detection of GPS spoofing attacks in power grids
7DF9EE35	Pacific Rim International Symposium on Dependable Computing<--Layered Diagnosis and Clock-Rate Correction for the TTEthernet Clock Synchronization Protocol
06D0E832	Information not present<--Telemetering of a missile bus 1553 B
7E844464	Information not present<--PET system synchronization and timing resolution using high-speed data links
06FECFBF	Field-Programmable Logic and Applications<--FPGAs for High Accuracy Clock Synchronization over Ethernet Networks
754F0263	Asia and South Pacific Design Automation Conference<--Clock period minimization with minimum area overhead in high-level synthesis of nonzero clock skew circuits
76CF66D0	American Journal of Physics<--How do two moving clocks fall out of sync? A tale of trucks, threads, and twins
1949CFF9	Ieice Transactions<--Dynamic Replica Control Based on Fairly Assigned Variation of Data for Loosely Coupled Distributed Database Systems(Computer Systems)
62B83C75	Information not present<--SIRIO-2 - Conception and present status
7ED4AF42	International Conference on Parallel and Distributed Systems<--Normality versus system mobility
6A877AF0	Information not present<--Analysis and optimization of PLL's with signal injection in synchronization systems
7D3ED7D5	Defect and Fault Tolerance in VLSI and Nanotechnology Systems<--VLSI Implementation of a Fault-Tolerant Distributed Clock Generation
5FC7A69D	Information not present<--Optimal and Global Time Synchronization in Sensornets
37587F0D	Information not present<--One-Way Delay Estimation Using One-Way Delay Variation and Round-Trip Time
7F2E3AC9	Real-Time Systems Symposium<--Efficient synchronization of clocks in a distributed system
7A8D1FCA	Systems and Computers in Japan<--Clock frequency synchronization using high‐speed digital networks
763798CD	IEEE Transactions on Computers<--Comments on "Analysis of self-stabilizing clock synchronization by means of stochastic Petri nets"
75AB92C4	Measurement Techniques<--Algorithms for synchronization of spatial diversity clocks from the signals of satellite navigation systems
7A3FD7E5	Digital Systems Design<--Efficient Construction of Global Time in SoCs Despite Arbitrary Faults
75FAEEE7	IEEE Transactions on Instrumentation and Measurement<--Asymmetry Mitigation in IEEE 802.3 Ethernet for High-Accuracy Clock Synchronization
76F1DE62	ACM/IEEE International Conference on Mobile Computing and Networking<--Poster: clock synchronization for distributed wireless protocols at the physical layer
63A0B5A5	Clinical Orthopaedics and Related Research<--Deterministic and Energy-Optimal Wireless Synchronization
7F7ED2E8	American Journal of Orthodontics and Dentofacial Orthopedics<--Adaptive clock synchronization schemes for real-time traffic in broadband packet networks
788F3A59	Information not present<--A GALS ASIC implementation from a CAL dataflow description
81242C74	Symposium on Reliable Distributed Systems<--Assuring Resilient Time Synchronization
7D2F10AA	IEEE Transactions on Computers<--Stability-Optimized Time Adjustment for a Networked Computer Clock
0513E335	Il Nuovo Cimento B<--Special relativity and conventionality of clock synchronization
5B4B5C1F	Information not present<--Comment on "Quantum key distribution with 1.25 Gbps clock synchronization" by J.C. Bienfang et al., quant-ph/0405097
58EE1929	Parallel and Distributed Computing: Applications and Technologies<--On-line estimating skew in one-way delay measurement
5A246014	Information not present<--Formal Verification of a Fault Tolerant Clock Synchronization Algorithm
0BBEB365	Information not present<--Clock synchronization through a geostationary repeater using a radio interferometric technique
0A999256	Information not present<--A possibility of clock synchronization between two stations by the way of an artificial satellite
