02E1E0FE	7B55C044 7954E08E 79F179F6 7C0FF14E
7D97E2A4	784C0D9E 592BFFF8 7E85B0CC 80B31354 7CD99DD2 7FBF1715 80150F54 7B988F6C 7830C088 7D81ED4B 806A52E6 81627C68 7D8B0037
5FC81836	7FBF1715 7CA9801E 81627C68
77FC4594	785D757F 7D490B5C 75141F38 80BEBED6 7DFD496F 7C4CCBA7 7CBF4BB6 75EA28F5 7706C01B 7DACE3F4 8151331E
7C3B6FAC	7F415DF5 7B9D3EE1 799D9E7C 7EE3816C 7ADD5A40 7B2E5791
5DDE6ADB	7ABA1595 76C8DB1A 7849ABA5 7DE8A603 79F3C58D 7964FF7A 6E0243B9 5F58F167 7FBF1715 8170FD77 0742D3FB 5A8D9731 79F82806 7EF7653D 7641A8AA 7959A514 7AFBBBCA 08F95DC4 81627C68 7C54A596 7F420D25 80B31354
7A962541	02E1E0FE 782415E9 79B59E0D 76C7749F 79F179F6
11BBA44C	81442083
75C40FC1	757CDCDE
7D8B7AD7	7350F65E 62945C42
7E51CB89	3C6467A5
7F90C116	7D6A0183 7B19C0EE 7A508E5F 80AD9F49 7F80A887 797A76F1 7789C283 7D94085F 798D4BE8 72B0EAC6 76AC711C
7EC8468C	7509240E 0E1B2530 7863255E 7F24AB1F 7CF12F9F
7D8FFD5D	7F5388BA 5F135BA9 7E6578AD
7A5FAA68	7B34D8AC 7AF56D65 75D5A653 7D0933D4 5A2A1DBB 5B61F813 7E4BB915 79471849 7DB6DDAE 7DD55259 7DBA125F 79A85568 5851E285 7BF0462B 7F508BA0 76E0C500
813CBD6E	79F82806 75A13D3A 800BB7FC 592BFFF8 7FBF1715 7CEDFCB6 7A52B08D 81627C68 7D81ED4B 7F47A5BF 791B91DE
7530D118	79471849 5CEB8838 7E4BB915
7E844464	808E30FE 81E9DA1E 750D8CBD 814BF104 81878005 7EE362A3 81E92428 7D5A5551 7F388194 81C9166B 7DFBC345 773BC91F 80680D64 77216CB2 5B75788C 5CB697C7 7F2716B8 7E9A3E96 7A8C672E 7E57EB51 7D9B029E 7F217062 7F802AAD 80CEFBA3 7F78937A
5EF47626	5FA492E5 7F0200CB 7C874A32 815F1032 7BC5D899 816D58E3 757B134F 7DD25404 774619DB 7D93671D 7F9BB85A 8096DD11
061A259D	7F7D7BBD 7894A4A4 81627C68 5AE75210
7540BB7B	7EFC3A7B 7D28AC6F 793894B4 00B9DBFB 8095883C 80E0D669 7D81ED4B
58A6B9C4	752BB967 78AB224D 5906039B 5AB48A94 800FE3B1 7959A514 7819E481 7E129386 81627C68
7DD0F4B6	7B8ECBCE 8074BDCB 7B41A773 7F7F2891 788AC080 78D34572 75858EAB 8031E5AF 7E00AC11 7E558152 7628CA0E 77A4991F 7EA35E0B
78F80572	7FBF1715 76FECDE7 7CBEE58A 7D81ED4B 7A130DBE 7FEE3072
806188BA	7D3860EE 7959A514 7CF95A36 7CD99DD2 7FBF1715 7F124928 7DA19022 8170FD77 5899D380 759FE0A6 7D22D20D 7DC1673B 7614E4FB 7849ABA5 816991BA 7F98234D 780A5375 7AEBF627 801E594C 7D1A7F15 7E5851B8 043F8841 80094191 80B31354 756D4A97 7B988F6C 7525817F 7D466127 0196F877 7A7BDA8C 7D81ED4B
7D6B7F02	12ECFD59 806A9BAE 7CF66D93 78492A51 76691D59 7FF92B49 7849ABA5 7CA4E042 7AF7A00F 7BBF30AB 81627C68 7CD9B076 7A3DE9A9 7832BB1C 7AB2BC00 7CD54E04 7F5CB755 816664C7 7893C281 7981FB27 7FBF1715 77684476 792FAF0A 7E55BE7C 7F142406 80D90D38 7FA504EF 7B3A22A9 80094191
7D6F4104	7E85B0CC 79D04F72 5FBCB350 7FBF1715 72562CFD 58A89ABC 806A52E6 7ED5ED5E 5FC7A69D 76B2D0B8 0A46112C
8125B108	0A35EA29 832AA51E 5BDF25BE 78BB2871 76D2DCC5 043D68B3 780FDBAE
808D655E	796606BE
596AE1C4	7E6028BD 6D7AAE0D 7E40BF0A 5FBF9D2F 7E1CD629 089BF4EB 772EBFC6 626A0F31 7E446F14 72B5573F 7F72432E
76F1DE62	6233F4A4 812A5C1D 7E980014 79ECE18B
7FEB03BE	768C2450 750D502E 7AB2BC00 79052ADE 7DF99332 7AF7A00F 75846A74 76BF7F46 7FBF1715 7E087089 7DAE0121 806A52E6 7DD8E492 7CD99DD2
80D6524F	7E82B89F 7D8079CB 8026D85D 7EC8468C 818C1F93 81C84395
770A5A5D	7AE4DC97 79808B05 7C9E5137 7FBF1715 7816FC03 7F12FD84 7D026FF7
7ADA93BD	80FA84C9 5D0D2788 7D6CA186 7D9FF117 0611E6CE 049FAD73 60FEAD84
7D2F10AA	7F0ECE3A 80AFE97F 7DEEA3C6 65748361 76EFEF8F 7F57C7DC 76E0C500 78CD822F 7B513395 7959A514 7F24F3CE 78AB224D 7C54A596 814F9082 7BDEF745 7CFD2BA2 7F34BFBB 09ED99FE 5ABBA558 60FEAD84 7F87B596 7FBF1715 78A47B7B 7DC456B7 6BEBA5E5
5B4B5C1F	7635305E 7A5234DA 755171D2 7FD45D0A
7FE5EF14	7BDEF745 08BBD842 76E0C500 78396180 5CEB8838 79471849 7BBD9627 0152D58D 7E4BB915
816D7F63	7D97E2A4 7830C088 7FC275BB 7CD99DD2 76ED45D0 78AB224D 7959A514 7D81ED4B 7E9FF26C 7E8DBAAD 5A6E15DA 792A1F60 7B50C386 8027019D 7CE46771 76C8DB1A 79052ADE 7D8B0037 592BFFF8 75A13D3A 7EA5FC39 81627C68 80B75A50 7FBF1715 80150F54
75620C89	7B34D8AC 5CEB8838 7959A514 77C570F8 81627C68 7A3332FD 7E779279 75A13D3A 775823DF
75F4010D	7D1A7F15 813FF46C 7E9F4E8A 635EEC14 7D466127 0457A8BE 759FE0A6 7FB99BF8 7ADD1BB8
04550C46	5906039B 7A42DEDE 7FB4A99D 63C10255 816D7F63 7FD0F57D 79D02E4A 7CF75029 83B47788 7CBD6BB4 6C598159 78B79F37 7F1A8791 80ECD2E1 7CFEE5F7 7FBF1715 01C7023C 77BD6BB1 7EF7653D
80C888C7	7FBF1715 7686C41F 7C0CA322 7FF5BD10 77F3BEB4 7D81ED4B 7F9703BD 81592338 76044F7F 7849ABA5 7E2BAA8B 7EFB5EE6 7F0D1265 7C4A15F2 7D326E06 803893A1 7D746F20 80F378BC 7D466127 7FB897D3 7F3DA715 8025439A 7D379B11 7DFCAAA3 8015F391 7697AAAD 7F286543 7E08CCF6 7CD99DD2 7C71D353 7E6FC9D7 80094191 7EF7538E 7D0298F1 789FF9EB 7DA99FD4 7F683617 7E85B0FE 7DC58ED4 7F7D7BBD 816991BA 76C7A3F7 80F93AB6
79DA8799	7546CB87 6DF1B174 6EA465F4 07E5B9F4 79471849 09CBC945 78DA4353 7DD55259 7E4BB915
81481D38	7FBB8159 7943CC11 7D04969D 79442DC5 80BB0A8D 807ACA91 7A06AAF8 79471849 7E8CD976 640E3CAA 6E44B591 7BCA25FC 09536B1E 7841391A 8137812E 80374B28 76E0C500 7F7BF83A 7DB3FEEB 7BDEF745 6B1307A5 7DC456B7 7D9ABA27 7BBD9627 7E4BB915 791E064E 7C11C902 78396180 7B5C8F52 78150AEC 7CEA3755 073A7D61
8146C156	74DA2F52 7E102435 7F130607 7CC613E3 7597D4A0 7978F68E 7D3A52A1 79B9793F 752AF784 72F01464 7F26C4FD 78B3D1D6 76CD2FD3 79345DE7 7E6C123D
7F663B69	7B8F538E 80EF15A4 7B64AD18
7E2EB541	799DB89A 7A84463C 7604C557 7BAD6BED 7738532C 7C488B89 75E1CFEA 7C5196C9 863C8BD9 7E1319D9
58D62BE9	7E540248 81730EE7 7FA91A4A 78F14DCE 7F9EF735 7D81ED4B 78349602 7D6F4104 7E49F648 80A52097
7F95A7E4	05F4834D 4C01E6B6 78AB224D 7959A514 7E4BB915 7D58E42C 76E0C500 815C5EB8 75A13D3A
80713BC5	7A6048F3 5D6FA36F 7FC4468F 7D81ED4B 7614C27E 7C491A4E 7CD99DD2
801323B7	801B17AE 7D22B286 800D1DC1 7D0CE356 7D66847F 7FBF1715 0A034C83 7E7B7A21 8191921B 7F7D5905 80D53B31 7E0D14AE
7E73A4C6	78AB224D 7D81ED4B 813FF46C 7D466127 7CD99DD2 7525817F
7D1D1A0E	7959A514 8161A1FB 8071FAE1 5F904100 810D5864 80AFECEB
7F2A70BE	7D63A933 7E1C0433 769BFFDB 7E6578AD 808DED19 7DAC3F3F 80807D82 79D4C850 7CEB06D7 7D4339F2 7DBCDA0B 788A1514 7F40DE53 809EA0C2 80C8A432 7E41CF6B 806CE9BA 805C5F69 63E40B01 7DDB186E 7F70B93E 8089031C 7D14594B 7D71C1E0 80A42DB3 7E4D752B 7E58ABEB 7F34E0DC 692D3B89 7F50A72F 7E0D774B 7F15FEB6 7B1580A5 7FF4F327 7E59103B 7E05F338 7E26D217 7E5A752D 7E6AE14B 7EC8692A 5C572519 7FF05E31 64660525 7CEC025A 7CF6F4B1 7D987F97 8004A52D 644A3959 03538204 7E0ED72D 5DEA19BC 6F47CFAC 5E00BAB5 7DCFDE27 7F55E887 80861B71 760C1331 7F395143 815A976F
7B873C5E	8103C55A
7ACF6B61	753ECCE7 76D57CF8 7CD99DD2 6E7CA76B 75A8E695 5A8D9731 7DD25404 66D7B971 7D3B657E 78254B77 8170FD77 80E1E716 80150F54 79F82806 7F420D25 7849ABA5 755B12B8 7E85B0CC 5C59BA80 7BE51BBE 7FBF1715 81627C68 7D146D20 5F38E944 7A88E8E4 8027019D 7EF7653D 7720E27C 7F116C1B 7EDA3912 7F3121DA 7C357430 7D2C6537 79512A68 7B5615A1
7F9FC7D7	7DFE77E2 60AFB015 6B647D86 76EED4CA 684E1433 7F1D7FEE 58A4546D 7596B024 660C6D22 7F311DB4 7251DBC1 81C84395 0A597791 7E643432 7D9AD8C2
79710560	77684476 0A8EE6B8 7EB168EE 775A15D8 75B31B58 7691D307 7E9858D9
7F01004F	7AE67149 80060923 7FBF1715 7849ABA5
7F7308C4	7969C6CA 79E069C6 6ECDD928 763E2BF0 751B63E2 79512A68 5ADFDE92 7C58A6D9 788CC179 751403D0 7F261163 7AE4DC97
77A2EA60	79B1AB4D 7EC64C73 5CEB8838 78DA4353 86268B84 79471849 76E0C500 7E4BB915 78AB224D 752BB967 669CB1A5 75D5A653 019B26FB 77C570F8 7D58E42C 750A6417 7E646DA5 7BBD9627 75A13D3A
0C267322	5CEB8838 5E94FA61 7E4BB915
7D8079CB	7EC8468C 818C1F93
