7F1A1204	Information not present<--Active mitigation of induced phase distortion in a GSM SoC
80BCD696	Information not present<--Toward the realization of a frequency standard at 1.5 /spl mu/m based on narrow-linewidth erbium lasers and saturated acetylene lines
6431282F	Information not present<--Compliant motion control for a compliant rehabilitation system
7B00B166	IEEE Aerospace and Electronic Systems Magazine<--Multifrequency integration in FM radio-based passive bistatic radar. Part I: Target detection
7867361D	Information not present<--Generalization of the Fuzzy Integral for discontinuous interval- and non-convex interval fuzzy set-valued inputs
68710DB7	Information not present<--V REUNION ANUAL DE ALUMNOS DE MAESTRIA Y DOCTORADO EN BIOMEDICINA
78E70A25	Information not present<--Progress in the Development of a Cesium Beam Oscillator for Aerospace Guidance
74AF28C6	Information not present<--GACETA ILUSTRADA: FONDO RESERVADO. DIÁLOGO. DIABLURA. MÚSICA. RECONOCIMIENTO
6F0FCAEB	Information not present<--A wide area solution that takes advantage of the existing radio broadcast and national geodetic network infrastructure
1210AA4F	Information not present<--Evaluation of wideband leakage cancellation circuit for improved transmit receive isolation
7203B0D5	Information not present<--A 7 GHz FM Transmitter Utilizing GaAs Power MESFETs
7A9CD1A0	Information not present<--A design and realization on low cost light wireless communication system
7672BD29	IEEE Photonics Technology Letters<--Performance optimization of directly modulated FM-SCM systems with optical discriminator
789DB808	Clinical Nutrition<--Accuracy of quantitative magnetic resonance and eight-electrode bioelectrical impedance analysis in normal weight and obese women
7E266394	Information not present<--V-band signal generation by photonic frequency doubling with periodically poled lithium niobate waveguide
7385CC50	IEEE Transactions on Magnetics<--Strain Dependence of Magnetic and Transport Properties in Half-Doped La 0.5 Ca 0.5 MnO 3 Films
5D373F98	Information not present<--Radial and solar cycle variations in the solar wind phase fluctuation spectral index as determined from Voyager 1978 solar conjunction data
7E18AE27	IEEE Journal of Quantum Electronics<--Mode partition noise of nearly single-mode semiconductor lasers modulated at GHz rates
7FD888E4	Information not present<--Canonical time-frequency processing for broadband signaling over dispersive channels
7E6B1F2D	Information not present<--Radar applications of X-band fiber optic links
76DD01D6	Optics Express<--Optimal source-modulation frequencies for transport-theory-based optical tomography of small-tissue volumes
7D944731	Information not present<--Uniformly distributed hopping pattern for MMFSK in power line communications
3B028DED	Information not present<--SIN DIAGNOSTICAR, LA MAYORÍA DE CASOS DE ESQUIZOFRENIA
7CFCE99E	Sensors and Actuators A-physical<--FM-based piezoelectric strain voltage sensor at ultra-low frequencies with wireless capability
76617BB5	Information not present<--Interleaved carrier-based modulations for reducing low-frequency neutral point voltage ripple in the three-phase neutral point clamped inverter
70DEBD79	IEEE Transactions on Magnetics<--Vortex Dynamics in Magnetic Nanodisks With a Ring of Magnetic Defects
7176932D	Information not present<--Multifrequency FM-SWFM data transmission using optical fiber
5DD06983	Information not present<--Development of high power, frequency tunable, submillimeter wave sources - Gyrotron FU series
78FC75A6	IEEE Transactions on Aerospace and Electronic Systems<--Real-time low-complexity automatic modulation classifier for pulsed radar signals
79493DA9	Electrical Engineering<--Stability of tandem regulators
117E6FB9	Elektrotechnik Und Informationstechnik<--5418 学生の意識からみた使われ方の実情と問題点 : 大学キャンパスにおける設計教育環境の整備に関する研究(その1)(FM・POE,建築計画I)
5D4D6E45	Information not present<--Broadband MIMO powerline channel emulator verification and testing results
79B495BA	Proceedings of SPIE<--A decoupled micro-electromechanical resonant gyroscope
8137E6D6	Information not present<--FM over impulse radio UWB
749A2BBB	Information not present<--DSP type coherent DSB signal detector using new phase synchronizer
76F8D01F	International Conference on Conceptual Structures<--Directly modulated laser transmitter driven by DC-balanced line-coded signals
80793DD5	Information not present<--Latest Developments of Soft-Switching Pulse Modulated High Frequency Conversion Systems for Consumer Induction Heating Power Appliances
7C966C26	Custom Integrated Circuits Conference<--A 25Gb/s laser diode driver with mutually coupled peaking inductors for optical interconnects
73B815A5	Information not present<--Modeling and Simulation of Frequency Hopping Anti-jamming Communication System
6521573C	Information not present<--Modeling and Frequency Tracking of Marine Mammal Whistle Calls
770439BC	IEEE Communications Letters<--Blind Identification of Nonbinary LDPC Codes Using Average LLR of Syndrome a Posteriori Probability
83497492	Information not present<--Performance of rolling shutter and global shutter camera in optical camera communications
808E94AB	International Conference on Acoustics, Speech, and Signal Processing<--A study on auditory resolution using Bark-FAMlet clicks
80C886EE	IEEE Communications Magazine<--A multipurpose digital modulator
7EE6EC97	Communications and Mobile Computing<--The Communication Systems Based on an Enhanced VWDK Technique: Performance Analysis and the Application on Amplitude Modulation
02F15D54	Information not present<--Analysis of Temperature and Velocity Microturbulence Parameters from Aircraft Data and Relationship to Atmospheric Refractive Index Structure
801A72B9	Information not present<--A 3.125-Gb/s sub-milliwatt CMOS signal detector circuit
80C94E33	Information not present<--Microwave-induced frequency conversion of the resonant laser radiation
75EB8088	Information not present<--An initial phase error elimination in a laser scanner with a multiple phase demodulation method
7E6E619E	IEEE Sensors Journal<--Fiber-Optic Grid Interferogram Shape Sensing System
80798395	International Geoscience and Remote Sensing Symposium<--Nonlinear unmixing of hyperspectral images using radial basis functions and orthogonal least squares
