Paper_ID,Paper Title,Year,Indegree,Betweenness
76C1E847,data clustering a review,1999,5106,1236
7B2E5EC6,the anatomy of a large scale hypertextual web search engine,1998,4436,1105
75EBE974,term weighting approaches in automatic text retrieval,1997,2270,1367
5B557007,introduction to information retrieval,2008,2170,1534
7A061E69,optimizing search engines using clickthrough data,2002,1614,876
7CC69AE9,a language modeling approach to information retrieval,1998,1347,1106
8077B2DE,thumbs up or thumbs down semantic orientation applied to unsupervised classification of reviews,2002,1309,231
80B12C04,amazon com recommendations item to item collaborative filtering,2003,1194,1104
75EBE974,Term-weighting approaches in automatic text retrieval,1997,1162,3329
7F3D6ABE,unsupervised learning by probabilistic latent semantic analysis,2001,956,347
7F590CD7,a study of smoothing methods for language models applied to ad hoc information retrieval,2001,956,234
808285A5,a taxonomy of web search,2002,886,467
763AFFBA,"A solution to Plato’s problem: The latent semantic analysis theory of acquisition, induction, and representation of knowledge",1997,878,116
8077A9A6,formal ontology and information systems,1998,854,345
7D425221,relevance feedback a power tool for interactive content based image retrieval,1998,839,785
7A061E69,Optimizing search engines using clickthrough data,2002,836,834
7DAEA7E3,imagenet a large scale hierarchical image database,2009,829,356
7FD32822,biclustering algorithms for biological data analysis a survey,2004,821,674
814B92A1,relevance based language models,2001,726,543
7CC69AE9,A language modeling approach to information retrieval,1998,701,788
769CE26C,web mining research a survey,2000,699,342
80C9116C,Mining and summarizing customer reviews,2004,698,400
72B86E51,naive bayes at forty the independence assumption in information retrieval,1998,661,187
7F79648F,inverted files for text search engines,2006,653,31
799C8769,a simple rule for the evolution of cooperation on graphs and social networks,2006,581,247
7DA19E2F,Probabilistic latent semantic indexing,1999,578,790
7D39BA80,Semantic Similarity Based on Corpus Statistics and Lexical Taxonomy,1997,576,117
6015374C,probabilistic latent semantic analysis,1999,541,247
7CF0BE22,a probabilistic analysis of the rocchio algorithm with tfidf for text categorization,1997,531,145
7F14CD01,on the resemblance and containment of documents,1997,529,178
7DC20A64,simplicity semantics sensitive integrated matching for picture libraries,2001,516,187
60925BB1,hierarchically classifying documents using very few words,1997,505,231
81343169,cmar accurate and efficient classification based on multiple class association rules,2001,503,176
7EEE2D15,web mining information and pattern discovery on the world wide web,1997,501,187
6269AEFD,A Comparison of Document Clustering Techniques,2000,497,155
75936925,a study of smoothing methods for language models applied to information retrieval,2004,492,167
76E49E2F,on supporting containment queries in relational database management systems,2001,485,118
808285A5,A taxonomy of web search,2002,483,1624
7F3D6ABE,Unsupervised learning by probabilistic latent semantic analysis,2001,478,503
6CFB3274,texttiling segmenting text into multi paragraph subtopic passages,1997,476,109
