Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
0,5A1FB275,,0,2,2,0,2,2,5,0.36,0.498148,0,0
1,7F6C724D,,125,3,128,125,3,128,1,1,1,851.492857,1
2,76AEA42F,,0,1,1,0,1,1,6,0.306701,0.345518,0,0
3,7EDA0239,,1,1,2,1,1,2,3,0.416667,0.5,5,0.002777
4,5A752E57,,0,5,5,0,5,5,4,0.431818,0.548246,0,0
5,77F57823,,6,0,6,6,0,6,0,0,0,0,0.020407
6,81300982,,5,7,12,5,7,12,3,0.566667,0.676471,91.333333,0.020126
7,76BC784C,,0,7,7,0,7,7,2,0.733333,0.818182,0,0
8,7EBAF503,,1,2,3,1,2,3,7,0.256303,0.300156,0.5,0.002777
9,80B698C6,,0,3,3,0,3,3,4,0.411765,0.517857,0,0
10,763B9EFE,,2,1,3,2,1,3,1,1,1,7,0.012846
11,5ED229FC,,2,1,3,2,1,3,1,1,1,0,0.005554
12,80CFC0BC,,0,1,1,0,1,1,4,0.368421,0.452381,0,0
13,7F38C810,,0,3,3,0,3,3,4,0.454545,0.583333,0,0
14,7671F8FB,,0,9,9,0,9,9,6,0.346939,0.410417,0,0
15,7DC25052,,1,2,3,1,2,3,2,0.6,0.666667,1.833333,0.002777
16,7DA83B47,,0,2,2,0,2,2,2,0.75,0.833333,0,0
17,81776347,,6,0,6,6,0,6,0,0,0,0,0.028533
18,75C37236,,0,2,2,0,2,2,6,0.278689,0.32549,0,0
19,7EAFBD91,,1,1,2,1,1,2,2,0.666667,0.75,0,0.002777
20,804CC9CA,,0,1,1,0,1,1,1,1,1,0,0
21,7CA63E85,,2,2,4,2,2,4,1,1,1,50,0.030931
22,8045E665,,1,2,3,1,2,3,4,0.4375,0.511905,46,0.005673
23,7C7DF24B,,1,2,3,1,2,3,5,0.30303,0.426667,0.333333,0.002777
24,77E864FA,,1,1,2,1,1,2,1,1,1,0,0.012137
25,07D6437E,,0,1,1,0,1,1,1,1,1,0,0
26,7CC20AA0,,1,1,2,1,1,2,1,1,1,1,0.002777
27,7BCF362F,,10,6,16,10,6,16,3,0.666667,0.783333,366.25,0.075088
28,7D03A556,,0,1,1,0,1,1,3,0.428571,0.5,0,0
29,7DC6DF15,,3,1,4,3,1,4,6,0.306701,0.345518,0,0.014238
30,78739CC6,,9,1,10,9,1,10,1,1,1,12,0.028044
31,7DB22FE1,,3,0,3,3,0,3,0,0,0,0,0.009579
32,7F709D45,,5,3,8,5,3,8,8,0.222222,0.283289,54.333333,0.023259
33,7FCDF86F,,0,1,1,0,1,1,1,1,1,0,0
34,585591F8,,1,0,1,1,0,1,0,0,0,0,0.002777
35,7F434525,,1,1,2,1,1,2,4,0.424242,0.470238,0,0.002777
36,5E9BB9DA,,6,4,10,6,4,10,1,1,1,74.533333,0.044114
37,7B562E9D,,1,7,8,1,7,8,5,0.411765,0.492857,27.666667,0.004025
38,80C84811,,0,1,1,0,1,1,1,1,1,0,0
39,7EE5954C,,1,1,2,1,1,2,6,0.306701,0.345518,119,0.002777
40,803D202E,,0,9,9,0,9,9,3,0.64,0.760417,0,0
41,7FF4827C,,0,2,2,0,2,2,6,0.24,0.297222,0,0
42,805A9A2C,,0,5,5,0,5,5,6,0.330556,0.386975,0,0
43,49793837,,0,1,1,0,1,1,1,1,1,0,0
44,80F0AEE0,,0,1,1,0,1,1,4,0.326531,0.380208,0,0
45,7F47D5AF,,17,6,23,17,6,23,6,0.335616,0.42517,652.942437,0.203323
46,0E4025F5,,1,0,1,1,0,1,0,0,0,0,0.002777
47,5FA80935,,0,3,3,0,3,3,6,0.311518,0.359524,0,0
48,767BAC6C,,1,0,1,1,0,1,0,0,0,0,0.002777
49,7E7FFD4B,,2,3,5,2,3,5,1,1,1,4.5,0.005554
50,7F41E4C7,,0,1,1,0,1,1,1,1,1,0,0
51,7E77388F,,5,6,11,5,6,11,3,0.53125,0.637255,82.9,0.015411
52,7D5D9CD3,,0,2,2,0,2,2,4,0.433333,0.512821,0,0
53,754C096A,,1,0,1,1,0,1,0,0,0,0,0.005596
54,7DFD9A8D,,1,1,2,1,1,2,1,1,1,1,0.002777
55,7EFB27D7,,1,1,2,1,1,2,1,1,1,1,0.002777
56,7BA41BB1,,7,0,7,7,0,7,0,0,0,0,0.039226
57,807F1B34,,0,1,1,0,1,1,1,1,1,0,0
58,7F9A8948,,0,2,2,0,2,2,5,0.357143,0.419333,0,0
59,799F491A,,0,4,4,0,4,4,3,0.588235,0.683333,0,0
60,7FE2281C,,0,1,1,0,1,1,1,1,1,0,0
61,80AD06E8,,9,6,15,9,6,15,4,0.419753,0.5,746.816667,0.046908
62,77D4512C,,1,0,1,1,0,1,0,0,0,0,0.002777
63,08468AE2,,0,3,3,0,3,3,2,0.666667,0.75,0,0
64,7DA756A5,,1,0,1,1,0,1,0,0,0,0,0.002777
65,6C55CB6F,,19,2,21,19,2,21,3,0.478261,0.545455,286.582143,0.082197
66,76369827,,12,3,15,12,3,15,7,0.261905,0.339069,491.50922,0.261339
67,80108BDB,,7,0,7,7,0,7,0,0,0,0,0.08691
68,5B07F2AD,,0,5,5,0,5,5,8,0.241379,0.336267,0,0
69,7ED8644F,,8,5,13,8,5,13,5,0.411765,0.491429,660.304762,0.039974
70,802C40C2,,0,1,1,0,1,1,5,0.333333,0.415,0,0
71,76CF0C13,,0,1,1,0,1,1,1,1,1,0,0
72,7F07B6AE,,0,1,1,0,1,1,2,0.666667,0.75,0,0
73,7F2392E3,,1,1,2,1,1,2,5,0.346154,0.442593,1.5,0.002777
74,0C24E53D,,4,0,4,4,0,4,0,0,0,0,0.019511
75,81743882,,2,0,2,2,0,2,0,0,0,0,0.006802
76,5EAC68FC,,11,0,11,11,0,11,0,0,0,0,0.033321
77,7F40F4D7,,9,5,14,9,5,14,4,0.487805,0.583333,300.801216,0.03546
78,7D12D92A,,35,2,37,35,2,37,2,0.625,0.7,223.611905,0.452222
79,04CA20DE,,0,3,3,0,3,3,2,0.666667,0.75,0,0
80,5E7F42E8,,0,1,1,0,1,1,1,1,1,0,0
81,8106B4F6,,0,1,1,0,1,1,1,1,1,0,0
82,60AF34F2,,0,4,4,0,4,4,2,0.833333,0.9,0,0
83,7E089879,,0,1,1,0,1,1,2,0.6,0.666667,0,0
84,5FE38DC1,,5,1,6,5,1,6,4,0.413793,0.472222,50.933333,0.013885
85,810E3869,,1,2,3,1,2,3,6,0.272109,0.297361,9.4,0.002777
86,81CFEF52,,1,0,1,1,0,1,0,0,0,0,0.004025
87,78E24B05,,1,0,1,1,0,1,0,0,0,0,0.002777
88,7ECADF59,,1,1,2,1,1,2,1,1,1,0,0.002777
89,80290151,,2,0,2,2,0,2,0,0,0,0,0.00708
90,7EEFA497,,0,5,5,0,5,5,6,0.290168,0.329752,0,0
91,5A874BBF,,0,6,6,0,6,6,5,0.395349,0.492157,0,0
92,7D4873BD,,1,1,2,1,1,2,3,0.388889,0.452381,1,0.002777
93,0C2C26A0,,1,2,3,1,2,3,4,0.372549,0.438596,36,0.004025
94,81430221,,1,1,2,1,1,2,6,0.269036,0.29717,35.183333,0.002777
95,5EA414E7,,0,1,1,0,1,1,1,1,1,0,0
96,5F985E92,,0,4,4,0,4,4,3,0.484848,0.572917,0,0
97,7B1C5478,,12,4,16,12,4,16,2,0.75,0.833333,149.366667,0.056777
98,008B8FE9,,0,4,4,0,4,4,8,0.252294,0.335974,0,0
99,7E86E05C,,12,3,15,12,3,15,4,0.45,0.592593,35.542857,0.047304
100,803F2CCD,,0,1,1,0,1,1,4,0.413793,0.472222,0,0
101,750A59D3,,0,1,1,0,1,1,3,0.5,0.566667,0,0
102,6F75A518,,4,1,5,4,1,5,1,1,1,18,0.030527
103,7BCFF474,,0,2,2,0,2,2,2,0.625,0.7,0,0
104,8080BCCB,,0,1,1,0,1,1,2,0.666667,0.75,0,0
105,77EAC0FF,,0,3,3,0,3,3,3,0.4375,0.52381,0,0
106,725493D0,,1,0,1,1,0,1,0,0,0,0,0.002777
107,7E24127D,,0,3,3,0,3,3,3,0.5625,0.648148,0,0
108,7A883B04,,1,0,1,1,0,1,0,0,0,0,0.002777
109,8170FB55,,2,1,3,2,1,3,5,0.319149,0.371111,38,0.007635
110,7E409A3D,,1,1,2,1,1,2,7,0.253472,0.277299,82.9,0.004025
111,7FC47FC5,,1,0,1,1,0,1,0,0,0,0,0.002777
112,7CC98D73,,5,0,5,5,0,5,0,0,0,0,0.132239
113,7A2DA630,,0,2,2,0,2,2,4,0.421053,0.541667,0,0
114,75573250,,0,2,2,0,2,2,1,1,1,0,0
115,77B83940,,11,4,15,11,4,15,3,0.483871,0.577778,64.5,0.037066
116,7F29B5DE,,1,2,3,1,2,3,2,0.625,0.7,5,0.002777
117,75B3AD0C,,1,0,1,1,0,1,0,0,0,0,0.002777
