12525482	6E829504-1
7D90C348	04AC5A07-1
82E56ADF	77D4AFE5-2 7ACC7C31-14 7E51DB32-10 8128836B-1
7D368371	37A2290A-3 776C8300-2 8151D8C1-1
84B80B68	7CF9736B-3
7604893F	79FAFDC6-2
7F5A93D4	775B57FB-11 7B1E9D04-5 7CCE3356-5
849E69DB	7C2BDDE1-24
80887CE7	7897AB2E-3 8151D8C1-2
7FC7D7F5	7E26148C-14
768D4FF7	752A783B-23 77EBE5F8-1 7B2D834A-8
862A8650	83CA030F-2
762AB3ED	3CC0CB76-11 6D8AD27F-16 757E58D3-4 7883D36A-2 78BBB4BC-8 796724DA-5 79A09AF2-5 7ACC7C31-20 7ACE1669-4 7B1E9D04-17 7C2BDDE1-34 7CC8EEF4-5 7CCE3356-17 7CFC6CBB-1 7D51F4DF-4 7D5A0921-7 7D88A0BA-2 7D94860B-18 7E25A580-6 7E51DB32-8 80398F99-6 80D8D229-6 80EB6D8A-7
804F498A	7C2BDDE1-16
75421677	76381EFA-2
7892061B	7CE1784D-13
77A37866	8024CFCB-21
77940D3E	6269948E-1 690179CD-1
824F7274	7B01CBEA-1
5F44CB53	799E0C6C-4
84BF7F5E	7AE4FA25-1 7FFE9956-1
3D2EB3E8	7E81156B-4
8084BB24	801D26C9-3
84874435	760CA373-3
81A5D915	81A94E84-4
813F806C	74043F54-1
81898E93	7DF498F6-1
832818A2	716E3093-1
7CEE2A55	79BF82C1-3
7D39143B	5C0A826A-1
7AABEC41	81E04294-2
10C312AC	8389DBD7-1
7DF76C93	329342F9-8 7B10EC20-3 7C9ADBE0-3 7EDF0348-2 8133EC4A-2
7F75F6BD	78B2748E-12
7E9C945C	0626F717-3 716F1EEA-5 7370011B-6 752292A1-6 77D5E5DC-11 7E12CEC4-21 8024CFCB-17
808EF2D9	79BF82C1-1 7E4170A1-1
82BEA3FB	79BF82C1-2
7E7E5082	7C9ADBE0-11 804B8F08-26
01ECE998	5AEDE719-2 79FAFDC6-1 7ACA75B3-2 7B625006-2 7CC65FB3-1 801D26C9-1
7CED02AF	5AEDE719-1 7ACA75B3-1 7B625006-1
112ACB8A	6FECAD99-2 70F7AED8-1
8513FAE5	75C9360C-2
7D76546B	76FAD191-3
84CFA9DD	7AE4FA25-2
780793F2	7E4170A1-2
