Paper ID,Title,Sim1,Sim2,,
8613899F,Point-of-interest recommendation in location-based social networks with personalized geo-social influence,0.5902777778,0.5527777778,,
7700F7BC,Query-driven context aware recommendation,0.4537037037,0.5454545455,,868.6035758216
776AFD98,Using Category and Keyword for Personalized Recommendation: A Scalable Collaborative Filtering Algorithm,0.6527777778,0.5376068376,,0.1599343723
7A8EB39B,User Interest and Topic Detection for Personalized Recommendation,0.5982142857,0.4720512821,,
75B26557,Utilizing Favorites Lists for Better Recommendations,0.537037037,0.4299450549,,
750E074B,PrDB: managing and exploiting rich correlations in probabilistic databases,0.4305555556,0.4259259259,,
5D4FE30E,Exploiting intra-packet dependency for fine-grained protocol format inference,0.5729166667,0.4162596663,,622.4411266416
82078F27,Exploiting Local and Repeated Structure in Dynamic Bayesian Networks,0.4074074074,0.3981481481,,0.1146089351
7F9A8948,A Graphical Model for Context-Aware Visual Content Recommendation,0.4537037037,0.396011396,,
063288B0,Exploiting Tree Decomposition and Soft Local Consistency In Weighted CSP,0.4074074074,0.3899782135,,
80A853E8,Methods and metrics for cold-start recommendations,0.4037037037,0.3858585859,,
7B59C5C0,Mining Skewed and Sparse Transaction Data for Personalized Shopping Recommendation,0.5902777778,0.3641723356,,
08A0B727,Adaptive preference elicitation for top-K recommendation tasks using GAI-networks,0.537037037,0.353030303,,
8114FC17,Joint latent topic models for text and citations,0.4833333333,0.347008547,,
782AF565,Fine-Grained Knowledge Sharing in Collaborative Environments,0.375,0.3419642857,,
809ACCE2,TagRec: Leveraging Tagging Wisdom for Recommendation,0.4259259259,0.3416666667,,
7FB04CC2,Knowledge Discovery from Citation Networks,0.4226190476,0.3340277778,,
59E5C607,Why aren't we all hutterites?,0.25,0.3333333333,,
7F96C238,An EDDM based toolset,0.25,0.3333333333,,
8026F46E,High-zoom video hallucination by exploiting spatio-temporal regularities,0.4285714286,0.3292748918,,
7D337DE0,Exploiting Statistical Dependencies in Sparse Representations for Signal Recovery,0.4074074074,0.322008547,,
63F86090,Exploiting Statistical Dependencies in Sparse Representations for Signal Recovery,0.4074074074,0.322008547,,
6B823F45,Exploiting Space-Time Statistics of Videos for Face “Hallucination”,0.4285714286,0.3216117216,,
5A7B1DEB,Visual Aspect: A Unified Content-Based Collaborative Filtering Model for Visual Document Recommendation,0.4583333333,0.3183379121,,
80D007AF,Understanding human functioning using graphical models,0.2179487179,0.3108974359,,
783E7524,Leveraging User Interest to Improve Thread Recommendation in Online Forum,0.437037037,0.3085664336,,
7A3B2F5E,Exploring generative models of tripartite graphs for recommendation in social media,0.4642857143,0.2993406593,,
78E01269,Experience in using MEADEP,0.2272727273,0.2954545455,,
7B368C93,Robust Bayesian Graphical Modeling Using Dirichlet $t$-Distributions,0.2222222222,0.2916666667,,
83EF0AC0,Multi-modal learning for video recommendation based on mobile application usage,0.4642857143,0.2902236652,,
7F5047F7,Hand-Drawn Symbol Spotting Using Semi-definite Programming Based Sub-graph Matching,0.3253968254,0.2887179487,,
81097775,Web-based tele-operated systems using EAI,0.2179487179,0.2884615385,,
0D0F16D8,Using Probabilistic Relational Models for Collaborative Filtering,0.2179487179,0.2884615385,,
7E0D2016,Simulation using GPSS/H,0.2179487179,0.2884615385,,
7D54C0CA,Logical labeling using Bayesian networks,0.2407407407,0.287037037,,
765B2F0A,Visual Tracking Using High-Order Particle Filtering,0.2272727273,0.2803030303,,
26F47FEC,Exploiting semantic knowledge for robot object recognition,0.4166666667,0.2787373737,,
0BD946B6,Exploiting Parameter Related Domain Knowledge for Learning in Graphical Models,0.4166666667,0.2782277247,,
830B05CD,Multi-object tracking using labeled multi-Bernoulli random finite sets,0.2407407407,0.2777777778,,
7CE629CE,Exploring Social Annotations with the Application to Web Page Recommendation,0.4537037037,0.2773809524,,
779C02E2,A Utility-Based Recommendation Approach for E-Commerce Websites Based on Bayesian Networks,0.4537037037,0.2769510582,,
79AED70A,Indoor Tracking Using Undirected Graphical Models,0.2179487179,0.2756410256,,
76D16025,Tell Me What You See and I Will Show You Where It Is,0.25,0.2708333333,,
7870F90E,"Who, Where, When, and What: A Nonparametric Bayesian Approach to Context-aware Recommendation and Search for Twitter Users",0.4537037037,0.2688311688,,
7E13D18C,A MDA based SoC Modeling Approach using UML and SystemC,0.2142857143,0.2678571429,,
7DEB8E35,Exploiting Sparsity in Hyperspectral Image Classification via Graphical Models,0.3939393939,0.2656177156,,
7E6597D6,Review recommendation with graphical model and EM algorithm,0.4537037037,0.2643356643,,
5D624CE8,Using Bayesian Networks to Analyze Medical Data,0.2407407407,0.2638888889,,
812AF76B,Using graphs to analyze high-dimensional classifiers,0.2619047619,0.2632783883,,
7E62FD1B,Gaussian Multiresolution Models: Exploiting Sparse Markov and Covariance Structure,0.3888888889,0.2617216117,,
5E24611D,Gaussian Multiresolution Models: Exploiting Sparse Markov and Covariance Structure,0.3888888889,0.2617216117,,
7E41B636,3D Object Reconstruction Using Geometric Computing,0.2222222222,0.2611111111,,
7FEBD91B,How to capture and use legal patterns in IT,0.2333333333,0.2555555556,,
809B122C,Gene set analysis exploiting the topology of a pathway,0.3888888889,0.2552633233,,
7C90AF39,Finding k-best solutions using LP relaxations,0.2272727273,0.2537878788,,
7B53D204,Finding your friends and following them to where you are,0.1439393939,0.2518939394,,
7D989507,On Learning Discrete Graphical Models using Greedy Methods,0.2272727273,0.2502913753,,
7B13384D,Causal Reasoning from Longitudinal Data*,0.25,0.25,,
7EA2EED0,Context-aware collective decision making based on fuzzy outranking,0.1388888889,0.25,,
54796012,Bayesian Cognitive Modeling: Getting started with WinBUGS,0.1388888889,0.25,,
5C25CB96,How to create a WSMO-based semantic service without knowing WSML,0.1388888889,0.25,,
782C98B8,Exploiting spatial context constraints for automatic image region annotation,0.417989418,0.2498196248,,
58D0ADE3,Imitation Learning Using Graphical Models,0.2222222222,0.2483974359,,
4874F152,Re-engineering Databases using Meta-Programming Technology,0.2638888889,0.2478632479,,
7E267153,Graphic modeling using heterogeneous hierarchical models,0.2179487179,0.2478632479,,
810E3869,Which graphical models are difficult to learn?,0.1346153846,0.2478632479,,
7CFD5EFE,A Video Representation Using Temporal Superpixels,0.2619047619,0.2476190476,,
5B4F822C,"An Integrated, Conditional Model of Information Extraction and Coreference with Application to Citation Matching",0.4833333333,0.245979021,,
761D5749,Learning invariant features using inertial priors,0.2179487179,0.2454212454,,
7BFAEA26,In Silico Generation of Alternative Hypotheses Using Causal Mapping (CMAP),0.2916666667,0.2430555556,,
793DE755,Stochastic petri nets modeling using spn@,0.2083333333,0.2430555556,,
7EEA87CD,Tracking Humans using Multi-modal Fusion,0.25,0.2414772727,,
80D1B10B,Multi-instrument musical transcription using a dynamic graphical model,0.2619047619,0.2399267399,,
5E0FF91F,Understanding and Exploiting Spatial Properties of System Failures on Extreme-Scale HPC Systems,0.4074074074,0.2398666149,,
7F4AA6EA,A matrix factorization technique with trust propagation for recommendation in social networks,0.4537037037,0.2389779202,,
75757B61,Exploiting component dependency for accurate and efficient soft error analysis via Probabilistic Graphical Models,0.4074074074,0.2387982388,,
7C2B3CF4,A fingerprint matching algorithm using probabilistic graphical model,0.25,0.2379807692,,
0848EC1C,Learning whom to trust: using graphical models for learning about information providers,0.280952381,0.2376242805,,
03CD002D,On Using Graphical Models for Supporting Context-Aware Information Retrieval,0.280952381,0.2363369963,,
7A5FD0E3,Group feeding as a strategy for exploiting food resources in the burnet moth Pryeria sinica,0.4285714286,0.2332730761,,
8097BD2C,Checking of models built using a graphically based formal modelling language,0.2777777778,0.2330586081,,
7C392C71,Selecting high-dimensional mixed graphical models using minimal AIC or BIC forests,0.2333333333,0.2317307692,,
7D03A556,Robust one-shot 3D scanning using loopy belief propagation,0.2333333333,0.2317307692,,
805E3AD4,Real-Time Semi-Automatic Segmentation Using a Bayesian Network,0.2407407407,0.2314814815,,
5928C2ED,Robust Bayesian Graphical Modeling Using Dirichlet t-Distributions Contributed Discussion,0.2272727273,0.2310606061,,
71451F20,Interactive graphical model building using telepresence and virtual reality,0.2272727273,0.229458042,,
806A7D58,Industrial strength simulation using GPSS/H,0.2407407407,0.2293447293,,
81248765,Using Bayesian networks to analyze expression data.,0.2407407407,0.2292929293,,
6D1D8BDE,Learning unbelievable marginal probabilities,0.1666666667,0.2291666667,,
5C710FD5,Finding a Path is Harder than Finding a Tree,0.1388888889,0.2291666667,,
801D527C,An interactive approach for Bayesian network learning using domain/expert knowledge,0.25,0.2281746032,,
772CE3A1,Using the multi-layer model for building interactive graphical applications,0.2222222222,0.2275641026,,
5BE9F8D7,Spine detection and labeling using a parts-based graphical model,0.2222222222,0.2275641026,,
7C2B2778,Sampling from Gaussian graphical models using subgraph perturbations,0.2222222222,0.2275641026,,
7EBF0369,Non-parametric image super-resolution using multiple images,0.2272727273,0.2272727273,,
77FB2B86,Tracking using Bayesian inference with a two-layer Graphical Model,0.2179487179,0.2259615385,,
08B1667F,Solving MDPs and POMDPs using prob-abilistic inference over graphical models,0.2179487179,0.2259615385,,
7D2EB57B,Learning for Structured Prediction Using Approximate Subgradient Descent with Working Sets,0.2407407407,0.2258416187,,
61CE7FA9,Data-Driven Discovery Using Probabilistic Hidden Variable Models,0.2333333333,0.2256410256,,
7D6D0198,Evaluating Learners' Knowledge-structure using Bayesian networks,0.2407407407,0.2255050505,,
7F3FF87C,The Educational Modeling of a Collaborative Game using MOT+LD,0.2272727273,0.2247474747,,
7B9E5BA4,Object detection using discriminative photogrammetric context,0.2272727273,0.2247474747,,
7D915071,Modelling and Verifying Mobile Systems Using π-Graphs,0.2179487179,0.2245879121,,
7E79DCB1,Subsea weld inspection using an advanced robotic manipulator,0.2333333333,0.2238095238,,
7FBF0AA6,Decision making with multiple objectives using GAI networks,0.2407407407,0.2237373737,,
81431585,Scalable robust hypothesis tests using graphical models,0.2916666667,0.2233974359,,
7F2D1709,Rapidly constructing a simple 3-D graphic model using a consumer-user digital still camera,0.2179487179,0.2233974359,,
804270A7,Fast geometric point labeling using conditional random fields,0.2142857143,0.2232142857,,
7F3D8653,Multi-domain Hierarchical Free-Sketch Recognition Using Graphical Models,0.2272727273,0.2226107226,,
7C8D2362,Model-based digital image halftoning using iterative reduced-complexity grid message-passing algorithm,0.2272727273,0.2226107226,,
76550F9E,Interactive graphical simulation using modified Petri nets,0.2179487179,0.2223557692,,
7826D9FC,Log-linear modeling using conditional log-linear structures,0.2222222222,0.2222222222,,
75F10A64,Learning sparse and scale-free networks,0.1574074074,0.2222222222,,
5CBA8DA4,Making Stochastic Networks Deterministic,0.1574074074,0.2222222222,,
052B4828,ATutorial on Learning With Bayesian Networks,0.1574074074,0.2222222222,,
7D70CD44,Learning probabilistic networks,0.1574074074,0.2222222222,,
5A365168,Learning condition-specific networks,0.1574074074,0.2222222222,,
5F7BB055,Finding Deformable Shapes Using Loopy Belief Propagation,0.2333333333,0.2220512821,,
75521E4F,iSAM2: Incremental Smoothing and Mapping Using the Bayes Tree,0.2407407407,0.222008547,,
6E3B64C2,Using topological characteristics to evaluate complex network models can be misleading,0.2407407407,0.2211843712,,
79488D4F,Table extraction using conditional random fields,0.2272727273,0.2207792208,,
5D308E01,Low-Complexity Detection/Equalization in Large-Dimension MIMO-ISI Channels Using Graphical Models,0.2222222222,0.2200854701,,
7639D773,Generic reversible jump MCMC using graphical models,0.2222222222,0.2200854701,,
6838D468,Learning Hypergraph Labeling for Feature Matching,0.1346153846,0.2200854701,,
803EA8B7,Robust Distributed Estimation Using the Embedded Subgraphs Algorithm,0.2333333333,0.2192307692,,
5E7501F0,Multiple Facial Feature Tracking Using Multi-cue Based Prediction Model,0.2179487179,0.219017094,,
776A4E1B,Finding the topical anchors of a context using lexical cooccurrence data,0.2407407407,0.218835413,,
7EFB27D7,Planning and Acting in Uncertain Environments using Probabilistic Inference,0.2333333333,0.2187179487,,
6F869887,Using Conditional Random Fields for Decision-Theoretic Planning,0.2222222222,0.2182539683,,
7D02C56E,Figure-ground segmentation using a hierarchical conditional random field,0.2222222222,0.2182539683,,
05BC8416,Robust Multi-Person Tracking from Moving Platforms,0.130952381,0.2182539683,,
81262D6D,Simulation-based engineering of complex systems using EXTEND+MFG+OpEMCSS,0.2179487179,0.2179487179,,
5E1C7D19,Labeling Still Image Databases Using Graphical Models,0.2638888889,0.2168997669,,
7E355B8E,6-DOF haptic rendering using geometric algebra,0.2222222222,0.2166666667,,
7F4655B4,Learning max-weight discriminative forests,0.15,0.2166666667,,
7AA2D04D,Looking at the Hard Stuff,0.15,0.2166666667,,
5F5C198A,3D representation of acupoints based on the Visible Human,0.15,0.2166666667,,
0665B602,Learning semantic web from e-tourism,0.15,0.2166666667,,
81733827,Score-Based bayesian skill learning,0.15,0.2166666667,,
75AC93D8,Evolutionary optimization using graphical models,0.2179487179,0.2161172161,,
7A9E7CE8,A graphic model of the human hand using CATIA,0.2179487179,0.2161172161,,
81647693,Sparse Signal Recovery Using Markov Random Fields,0.2179487179,0.2161172161,,
7DB37CE5,A color-based probabilistic tracking by using graphical models,0.2179487179,0.2161172161,,
05A109F3,Signal-to-score music transcription using graphical models,0.2619047619,0.2156593407,,
6DDEEC76,Using greedy algorithm to learn graphical model for digit recognition,0.2272727273,0.2156177156,,
06BC4975,Learning graphical model structure using L1-regularization paths,0.2222222222,0.2153846154,,
7422C7EC,Articulated Body Tracking Using Dynamic Belief Propagation,0.2222222222,0.2153846154,,
7D343D2D,Multi-Floor Indoor Positioning System Using Bayesian Graphical Models,0.2179487179,0.2134615385,,
5C1556BD,Iterative Quantization Using Codes On Graphs,0.2619047619,0.2130952381,,
0BB9ABB4,Labeling Human Motion Sequences using Graphical Models,0.2619047619,0.2121378621,,
79F62E0E,Learning gait component relationships by fusing logic and graphs using Markov Logic Networks,0.2619047619,0.2119614512,,
7BD287FB,Learning Graphical Model for Human Motion Characterization Using Genetic Optimization,0.2619047619,0.2112332112,,
76A72190,Adaptive Unification Of Graphs Applied To Haplotype Networks,0.2619047619,0.2112193362,,
5CBD4833,Synthesizing Graphical Models Employing Explaining Away,0.2179487179,0.2111950549,,
7D20AF2B,Colour based rigid body tracking using three-dimensional graphics models,0.2619047619,0.2110508539,,
772B6BC6,Using Correlation Proximity Graphs to Study Phenotypic Integration,0.2619047619,0.2107041107,,
7A676B85,Using joint application design to develop readable formal specifications,0.2513227513,0.2106227106,,
7F02D7C1,Learning to cluster using high order graphical models with latent variables,0.2333333333,0.210042735,,
7C2D5CF7,"Manhattan scene understanding using monocular, stereo, and 3D features",0.2179487179,0.2099358974,,
8155C099,Modeling Differential Item Functioning Using a Generalization of the Multiple-Group Bifactor Model.,0.2407407407,0.2099104599,,
5878D767,Tracking complex objects using graphical object models,0.2407407407,0.2098290598,,
755A0CBE,Using graphical models to interpret pavement condition data,0.2407407407,0.2098290598,,
81A87365,Modeling Polarizing Topics: When Do Different Political Communities Respond Differently to the Same News?,0.1976190476,0.2095238095,,
83B111D6,Tracking extended targets in high clutter using a GGIW-LMB filter,0.2513227513,0.2091991342,,
