Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,7CD18461,2,5,7,1,1.833333,0,0,0.008952
1,59D027F2,0,1,1,0.666667,0,0,0,0
2,7DD5B89F,0,3,3,1,0,0,0,0
3,7C5785C2,0,2,2,0.75,0,0,0,0
4,7EFDA395,0,3,3,0.714286,0,0,0.070266,0
5,7C779A34,0,1,1,1,0,0,0,0
6,7DC3CE50,2,0,2,0,0,0,0,0.007346
7,812DD616,1,0,1,0,0,0,0,0.003673
8,7963EB24,1,0,1,0,0,0,0,0.003673
9,7E3BCCFB,0,1,1,1,0,0,0,0
10,7E859B69,1,0,1,0,0,0,0,0.003673
11,5BFE6E79,0,3,3,0.482759,0,0,0,0
12,636A62B0,16,0,16,0,0,0,0,0.128633
13,752CD707,1,1,2,1,1,0,0.000002,0.003673
14,7F7A88DE,5,0,5,0,0,0,0,0.019972
15,805A0E31,1,1,2,1,0.5,0,0,0.003673
16,7A609CB3,1,4,5,1,4,0,0,0.003673
17,0B9B6B61,7,0,7,0,0,0.000086,0,0.025713
18,7BB8AA6C,0,1,1,0.263158,0,0,0,0
19,8080332E,1,0,1,0,0,0,0,0.003673
20,7DE80925,2,1,3,0.5,3,0,0,0.007346
21,7FA185FC,1,0,1,0,0,0,0,0.016862
22,7D288F03,2,1,3,1,1.333333,0.00012,0.068312,0.007346
23,7BF17EC6,1,0,1,0,0,0,0,0.003673
24,8145D9BF,0,1,1,1,0,0,0,0
25,7CEA348C,1,0,1,0,0,0,0,0.003673
26,80D027C7,0,1,1,1,0,0,0,0
27,80E2D8BD,0,1,1,1,0,0,0,0
28,77E0D827,1,0,1,0,0,0,0,0.003673
29,780B0413,0,1,1,1,0,0,0.000002,0
30,7FE6624A,1,0,1,0,0,0,0,0.003673
31,76E04116,1,4,5,0.7,4,0,0,0.003673
32,7B10DF84,0,2,2,1,0,0,0.000002,0
33,78744637,1,5,6,0.52381,10,0,0,0.003673
34,7A4BFF1D,1,4,5,0.375,1.5,0,0,0.003673
35,8067E4B7,1,0,1,0,0,0,0,0.005279
36,76CEEB51,0,2,2,1,0,0,0.069017,0
37,7C7DEAA3,0,2,2,1,0,0,0,0
38,800FA247,0,1,1,1,0,0,0,0
39,7E63F2EB,5,0,5,0,0,0,0,0.019972
40,7CD3B1FE,2,1,3,1,2,0,0,0.007346
41,76B4D3C9,0,2,2,0.75,0,0,0,0
42,7FE34892,1,5,6,0.588235,0,0,0,0.006885
43,61717FF3,0,1,1,1,0,0,0,0
44,791F8799,1,2,3,1,2,0,0,0.003673
45,7F38AE9F,0,1,1,1,0,0,0,0
46,7C79B952,0,2,2,0.6,0,0,0,0
47,7CA38AF4,0,2,2,1,0,0,0.08767,0
48,79102962,1,0,1,0,0,0,0,0.003673
49,7C7EC33C,0,6,6,0.875,0,0,0.000011,0
50,77466E78,18,0,18,0,0,0,0,0.117346
51,7CD86F45,0,1,1,1,0,0,0.068312,0
52,7CE341E4,0,1,1,1,0,0,0,0
53,7EA559D2,0,4,4,0.478261,0,0,0,0
54,78B4DA62,0,6,6,0.8,0,0,0.000395,0
55,805B143B,2,6,8,0.714286,19,0.004946,0.001114,0.007346
56,7F92F6C9,3,0,3,0,0,0,0,0.022609
57,77CCDB9F,0,2,2,0.377778,0,0,0,0
58,7D113F80,0,4,4,0.615385,0,0,0,0
59,7FCAB6B7,3,0,3,0,0,0,0,0.030307
60,7996AEED,0,3,3,0.714286,0,0,0.069375,0
61,8026FE49,5,3,8,1,23,0,0,0.023532
62,7AA7F529,1,0,1,0,0,0,0,0.007233
63,7D90F466,0,2,2,1,0,0,0,0
64,6BAA9FA5,1,0,1,0,0,0,0,0.003673
65,7ADAC644,0,1,1,1,0,0,0,0
