7FC71DAD	7812615D 0589BD70 680873CE 80D5E58C
7E45BA76	803F03F6 8007FC4B 806C38BC 7D8AED5A 7FB3ABDE 7E7B912E 6D5D8964 028C8ED3
8135623A	806DFC98 03BC2F73 074233B6 7D8AED5A 814E7A5E 80A4AD64 7C6E6CED 804B7A09 7D28263C 7A9AB8FA 7884BD50 7F9C7463
7ED514FA	627F13D7 5A3E7279 012F3B4A 0D526230 7F46000D
7FD41AEA	5E073B31 7EB1E5D2 79B59229 7BD2137F
7C881494	5C7CA46B 7D3A8D03 7BD0E4E3 7F649AF1 7D3427A5 7DACE268 7B482786
58CE7283	7CDFF2B6 7DE5422B 759DB19B 752DB4E2 7D949B6B 8059A68B 7BBC9115 765724C3 79D51381 760A6A8C 5F955B75
7D5AC305	7AFC4F91 8089CA41 7E0458CC 8086AC14 7EC6D81E 7DA91F53 7F127096 7E3E5434 77151617 7EB1E5D2
7D59A0B7	7F56F3AE 81BCA1C2 7FF15522 8055257B 5CBD98F6 75B53F04 6C7ADB8F 7581B531 7ED2629A 80E2F137 80359A30
7FAC73A2	7F5D15FB 75870A0B 853EC61C 5CE87F8E 80EC24E2 6D5D8964 7A8049D2 769E5598 5D992588 7FE37086 5B78E5CB 778B7BD5 7C395D05 7FCCCBB3 7E3E6DCB 02A8F74F 7E4C87CC 754A1A46 75C8D07B 7BB7493D 0589BD70 7CEAF6EF 5D51A3A8 803F03F6 5866EF99 7963E6FE 61BD4AF1 7ACEB37A 09B7283C 79B97442
7EE315E4	76DAC649 586FA6C7 7E3E0BA5 5D51A3A8 7E7B912E 77DE9A66 7EFB931A 0221BC0F
8137C34A	5962D54F 7F9C7463 59B4666C 7F8672CF 7FB3ABDE 7E248B02 7E0458CC 7CD32C52 81726C06 7CD178DA 5A210867 7812615D
7EF74016	80CBE344 77472404 66BA709A 766D5796 76113851 7D8297DF 7F3B10BA
5A866383	7C65D32E 05961F93 79BD9537 7FDB8C44 5B59C5DA 7D263F58 55BE1AC9 04F721E4 7843F4A7 7ED2629A 787C7C96 75E2B3DD 79C87A40
7F0A970A	7B84E265 7DB20E6E 004FEAD7 5DCE35F1 7F762D89 5ED99955 5F087905 7EBAAA48 78CD9648
80E819F7	7E9F8F3F 7C4A8F6B 807A309F 7F9EC06C 7D91EA27 7E9B0052 76125083 5B1ABDF2
784D4205	77CC131F 0933C2C4 78AC0104 77C560BF 7A9BC45B 7A7C5A96
80E7CCD9	7E2B76FD 806C38BC 7EA703CB 78AC0104 7DB6CB3D 7CEA8C2F
7E112C26	8117F8D0 7EFA48E0 81096947 58870693 7E0173B4 0BE430D2 5ED104C3 7F9C7463 8095C485 5E073B31 792647DE 7FD3F318
7EC779DF	0BBFBD9A 7E074F27 59B4A4F7 7D5E640E 792647DE 7D3A0373 7E0C99FF 7F0745BF 8117F8D0 783FB087 7FA37BA5 7D2DA1ED 62FA2C7B 7F6A19C1 7E0173B4 7FD3F318 5E073B31
7D56C8FD	7E3E0BA5 7EA703CB 7E7D4DAA 80A09833 0589BD70 7EA22B93 5B370569 806C38BC 5F743477
806E9F08	7D170836 15FAE3F0 7D6B935C 808C0D9F
757C37A4	77B21578 7C411946 80A19078 7EC3FFCB 7A40D0EB 7EAEC398 7D667E8F 80F22510 77B4D135 7C9F79A5 5C80D8A7 7775D541 7D59F50D 7E93F36C 806DFC98 77432774
81109ACE	79320D3C 807102D0 8095C485 61BD4AF1 7DE59D63 7E6D271E 7EA446E8 80C4E668 7CF9EEDD
806C38BC	78458F77 802D79B5 5B78E5CB 7E62284E 772CC84B 7A43598A 78C6B10C 7684BC04 7D1D8AC9 241AE149 7693FA59 79558DCA 78AC0104 7E2F5497 7B8AE48A 7EB0B9DE 7B7853EE 7F02D276 7C670E08 7FE2C8DA 7C0FCEB9 7B42B7E0 757557E6 77610135 80332D1B 5FA8A7A4
75B44174	241798B5 7ED2629A 7F3F2820 808EDD1B
7D70046C	803F6520 80A203CA 61BD4AF1 7E2DAD9E 7E569D76 80DB5AB2 80A5F326 5994AF9B 7F9379BE 7FB6C971 80373DBF 074F190B 726C07DE 81C693DA
816B189F	7FF15522 754A1A46 08E6BB93 7FDE1A1F 7F4DD729 590D8BDF 7812615D 80A7C174
7E77C9A4	769E5598 7ED2629A 0589BD70 7B998C1D 7EA703CB 8034D228 7A1F8977 6C87D98B 7EDFE9E0 80D5E58C 61BD4AF1
7FF15522	02008798 7E0FAA8D 7D43818A 03967FA4 7E22B7C9 0BE430D2 0B6DDFB6 5E0E4653
77671838	5FAC3489 79CF7220 80047FA6 5D7CA902 76AE8AC5 5DE8A625 803E8EE6 754F9253 772A8C59 7D1C4C7B 7930F939 7A7E2358 7DB05FB4 75A503AC 7DA1F617 80730AA6
5C9CBB74	7F00C11C 78E91B1D 79B2CBB6 0388EE2F 7CD1F629 0700A62A 8133FC37 78BDD636 79289A17 59F0EAA6 7C439C0C 7F9F08D2 81321B6B 80A5F326 75DAC72C 0C36F82A 82322114
8066534F	5B1ABDF2 7EE7BE23 761B102E 5CAAA08C 81214BC3 7DDCF96B 76CB005A
7CEA8C2F	806C38BC 081C53F7 757557E6 7ED2629A 773EA7FF
7DB6FA6D	77003ECF 7E2D547D 60CA1262 7812615D 5EC9D138 7F44BC7B 7F66C647 7DB6CB3D 0AE6C203 6E345D52 7EC8B8E4 7D9F0AB7 7EB5A782 6BE96FA4 795A8D9B
7BF6CDE3	01694466 75AA0612 78D0AEBD 7E7BB75D 0A1AF7E8 7ECAF60A 7474157E 7824DD49 7C9F79A5 004B0EFD 09DB18E7 7E022DDF 7F5EDA30 77432774 71AED3CB 78279BE8 7A9F5221 7E4B35CA 5C209EB6 80F5FE11 812E07BA 80EBB664 5C80D8A7 5E723F28 7E3A673F 7F9EFCDC 80E73C2E 6A8BB189 758C3F99 7D031DF3 7DB0379C 7AAFABFF 7F52961A 04AB9E20 77B21578 80D797F0 6341272C 7C5DBB9A 8084702C
