5F58F167	Global Synchronization in Sensornets
7D97E2A4	Symmetric clock synchronization in sensor networks
5FC81836	Practical End-to-End Performance Testing Tool for High Speed 3G-Based Networks
62850E24	Is Detection of Fitzgerald-Lorentz Contraction Possible?
6302AC73	Mechanical Verification of Clock Synchronization Algorithms
5DDE6ADB	Optimal clock synchronization under energy constraints in wireless ad-hoc networks
5D3157DD	Timely Authentication in Distributed Systems
7F7136DE	Hierarchical detection of strongly consistent global states
7A962541	Implementation of IEEE1588 for Clock Synchronization
7530D118	Continuous clock amortization need not affect the precision of a clock synchronization algorithm
7A5FAA68	Wait-free clock synchronization
813CBD6E	Modeling and simulation comparison of two time synchronization protocols
7C649FE3	On the interconnection of causal memory systems
061A259D	TREE STRUCTURED TIME SYNCHRONIZATION PROTOCOL IN WIRELESS SENSOR NETWORK
06FECFBF	FPGAs for High Accuracy Clock Synchronization over Ethernet Networks
58A6B9C4	NTI: A Network Time Interface M-Module for High-Accuracy Clock Synchronization
7D269E98	Clock Synchronization for Wireless Positioning of COTS Mobile Nodes
78F80572	Poster: An Insomnia Therapy for Clock Synchronization in Wireless Sensor Networks
806188BA	Synchronization by Two-Way Message Exchanges: Cramér-Rao Bounds, Approximate Maximum Likelihood, and Offshore Submarine Positioning
7E37315E	Clock synchronization of PTP-based devices through PROFINET IO networks
7D3ED7D5	VLSI Implementation of a Fault-Tolerant Distributed Clock Generation
7D6F4104	Distributed Clock Synchronization over Wireless Networks: Algorithms and Analysis
5FC7A69D	Optimal and Global Time Synchronization in Sensornets
7C8CE7C5	Subharmonic Optoelectronic Oscillator
596AE1C4	Clockscalpel: Understanding Root Causes of Internet Clock Synchronization Inaccuracy
764304E8	1/k phase stamping for continuous shared data (extended abstract)
7E459469	Interleaved all-to-all reliable broadcast on meshes and hypercubes
80E94C47	GALDS: a complete framework for designing multiclock ASICs and SoCs
7D2F5E42	THE ARCHITECTURE OF MARS
7FEB03BE	Networked clock synchronization based on second order linear consensus algorithms
80D6524F	IEEE 1588 clock synchronization using dual slave clocks in a slave
770A5A5D	A Fault-Tolerant Schema for Clock Synchronization and data aggregation in WSN
81242C74	Assuring Resilient Time Synchronization
7D2F10AA	Stability-Optimized Time Adjustment for a Networked Computer Clock
7E4AC92A	Degradable Byzantine agreement
7FE5EF14	Clock synchronization in MAFT
816D7F63	Gradient clock synchronization in wireless sensor networks
7EDFF13F	A new clock synchronization algorithm for multi-hop wireless ad hoc networks
75620C89	A theory of clock synchronization (extended abstract)
75F4010D	A robust estimation scheme for clock phase offsets in wireless sensor networks in the presence of non-Gaussian random delays
7F0D0ECC	The Controlled Logical Clock – a Global Time for Trace Based Software Monitoring of Parallel Applications in Workstation Clusters
7E47E674	A non-cooperative active measurement technique for estimating the average and variance of the one-way delay
7AF44EAD	Application of generalized predictive control in networked control system
80C888C7	Robust Time-Based Localization for Asynchronous Networks
79DA8799	A design approach for self-diagnosis of fault-tolerant clock synchronization
7D9CB910	Strongly consistent global states detection using relative clock errors
7D466127	Novel Clock Phase Offset and Skew Estimation Using Two-Way Timing Message Exchanges for Wireless Sensor Networks
5B329FAE	Design time reliability analysis of distributed fault tolerance algorithms
81481D38	Coupling-Based Internal Clock Synchronization for Large-Scale Dynamic Distributed Systems
7E2EB541	Distant clock synchronization using entangled photon pairs
