7913EB96	Sensors Applications Symposium (SAS)
7F7D7BBD	Sensors
76684966	Celestial Mechanics and Dynamical Astronomy
7D58E42C	Distributed Computing
816D7F63	Information Processing in Sensor Networks
7D466127	IEEE Transactions on Communications
76E0C500	Information & Computation
79826E19	Journal of the ACM
80081FB9	International Conference on Communications
5DDE6ADB	International Conference on Principles of Distributed Systems
061A259D	Information not present
80C888C7	IEEE Transactions on Signal Processing
7CF95A36	IEEE Transactions on Wireless Communications
7D4C763F	Information not present
5B0E344F	Information not present
77104C17	Information not present
7849ABA5	Ad Hoc Networks
7F1F639A	Clinical Orthopaedics and Related Research
80C59B4C	ACM Symposium on Parallel Algorithms and Architectures
178CABEE	Information not present
8022410E	Local Computer Networks
7A92DF05	IEEE Transactions on Signal Processing
77B2E72B	Information not present
76367B21	Information not present
76DB1BAE	ICISE - conference
5F021DDB	Information not present
7BDEF745	Principles of Distributed Computing
815E7D30	Information not present
7FC275BB	Principles of Distributed Computing
5A68FCE2	International Conference on Wireless Networks
77881AE4	Principles of Distributed Computing
7F95D7EE	Information not present
7F0F7624	IEEE Transactions on Computers
7941F5FC	Applied Mechanics and Materials
7CE46771	Journal of the ACM
7FD9D0A2	IEEE Transactions on Parallel and Distributed Systems
79D02E4A	International Conference on Embedded Networked Sensor Systems
756A3BB8	Principles of Distributed Computing
76E618BA	Principles of Distributed Computing
63A0B5A5	Journal ACM Transactions on Sensor Networks (TOSN)
78DA4353	Symposium on the Theory of Computing
7C1B594D	Information not present
7641A8AA	Information Processing Letters
