757BA39E	Information Systems Management<--Information Hiding in Real-Time VoIP Streams
7619646B	Journal of Network and Computer Applications<--Multimedia applications over metropolitan area networks (MANs)
5A8F9D97	Recent Advances in Intrusion Detection<--Monitoring SIP Traffic Using Support Vector Machines
7D39AC23	IEEE Internet Computing<--Adaptive VoIP playout scheduling: assessing user satisfaction
8133D5AC	IEEE Transactions on Computers<--Improving Quality of VoIP Streams over WiMax
812A382D	Global Communications Conference<--Speech quality prediction in VoIP using the extended E-model
6E870075	International Conference on Communications<--Prediction of perceived conversational speech quality and effects of playout buffer algorithms
80F515A4	International Symposium on Circuits and Systems<--An adaptive steganography scheme for voice over IP
7DE3AE79	Security and Communication Networks<--On the undetectability of transcoding steganography
5F8051C3	International Symposium on Circuits and Systems<--Design and evaluation of steganography for voice-over-IP
79250463	Security of Information and Networks<--Using decision trees for generating adaptive SPIT signatures
77FE1304	Information not present<--Design of a VoIP Media Stream Encryption Device
03AB104A	Information not present<--BigBlueButton – Outil collaboratif open source
5D0F37C5	Information not present<--The effects of encryption on VoIP streams under the code-excited linear prediction coder G.729
7D5CAE14	Telecommunication Systems<--Improving the R-score of an adaptive VoIP codec in IEEE 802.16 networks
81670C60	International Conference on Multimedia and Expo<--Field performance evaluation of VoIP in 4G trials
7E951C8D	IEEE Transactions on Multimedia<--Adaptive playout scheduling and loss concealment for voice communication over IP networks
8046B9CD	IEEE Transactions on Broadcasting<--Delivery of low rate isochronous streams over the digital video broadcasting/Digital Audio-Visual Council cable television protocol
7EB78B3B	Modeling, Analysis, and Simulation On Computer and Telecommunication Systems<--On the modeling of voice sources regulated by dual leaky buckets
7F900EF9	International Conference on Communications<--Improving R-Score of VoIP Streams over WiMax
7E86AB80	IEEE Transactions on Parallel and Distributed Systems<--Detecting VoIP Floods Using the Hellinger Distance
80DBB73F	International Conference on Computer Communications and Networks<--On the influence of best-effort network conditions on the perceived speech quality of VoIP connections
7F88127A	Symposium on Applications and the Internet<--A teleconferencing system with high-speed stream mixing for voice over IP
6FF3092D	International Conference on Communications<--A passive method for monitoring voice-over-IP call quality with ITU-T objective speech quality measurement methods
7C2CDBE3	Information not present<--Introduction to XMPP protocol and developing online collaboration applications using open source software and libraries
7A87B931	ACM Special Interest Group on Data Communication<--Measuring the perceptual quality of Skype sources
7DF83938	Information not present<--User perceived codec and duplex aware playout algorithms and LMOS-DMOS measurement for real time streams
