7626E8FB	Simple Group Password-based Authenticated Key Agreements for the Integrated EPR Information System
6F203BE4	Improving the dynamic ID-Based remote mutual authentication scheme
797F0A61	A comprehensive simulation tool for the analysis of password policies
7B983BB6	A new key authentication scheme based on discrete logarithms
7FA641AD	Ability of bacteriological self-purification of common carp, tench and crucian carp fingerlings reared in pond receiving the discharge from sewage treatment plant and then kept in running river water of different quality.
7605F236	Influence of serotonin on the action of melatonin in MIH-induced meiotic resumption in the oocytes of carp Catla catla
7CA0B018	A Comparison of User Preferences for Browser Password Managers
7D6C25AF	An Improvement of Password-Only Authenticated Key Establishment Protocol without Public Key Cryptography
7586E297	Utilization of domestic plant components in diets for common carp Cyprinus carpio L.
5DA61FA9	Carp genetic resources for aquaculture in Asia.
7967A22D	A battery of in vivo and in vitro tests useful for genotoxic pollutant detection in surface waters
785C661C	Gelation Characteristics of Mince and Washed Mince From Small-Scale Mud Carp and Common Carp
7BCA7DFD	The presentation effect on graphical passwords
7CCADC40	Smartphone Security Using Fingerprint Password
59E74B4B	Chilling sensitivity of carp (Cyprinus carpio) embryos at different developmental stages in the presence or absence of cryoprotectants: Work in progress
7D313BC0	Constructive heuristics for the residential waste collection problem
79A5ED30	Changes in blood cortisol, glucose and lactate in carp retained in anglers' keepnets
7741D658	Effectiveness of image-based mnemonic techniques for enhancing the memorability and security of user-generated passwords
7DADC4BD	A Novel Remote User Authentication Scheme Using Smart Card Based on ECDLP
7817ED1B	A Research Agenda Acknowledging the Persistence of Passwords
7AB0AE31	Nitric oxide hinders antibody clearance from the surface of Trypanoplasma borreli and increases susceptibility to complement-mediated lysis.
7559C176	Authenticating users by word associations
79D63C8A	Effect of temperature on the uptake of waterborne strontium in the common carp, Cyprinus carpio (L.)
7D75441D	A Novel Dynamic ID-Based Remote User Authentication Scheme
7BFA239F	State based authentication
7A2BCE5D	Effect of Thermal Sterilization on the Selected Quality Attributes of Sweet and Sour Carp
7718DB12	The influence of supplement feed preparation on the fatty acid composition of carp and Chironomidae larvae in a semi-intensive production system
7C1B1D7D	Acidification decouples gap junctions but enlarges the receptive field size of horizontal cells in carp retina
7BA7651E	Coding behavior of authentication code on the internet
78061F07	Photoreceptor proteins and melatonin rhythm generating AANAT in the carp pineal: Temporal organization and correlation with natural photo-thermal cues
7F966B0E	Cryptanalysis of Some Client-to-Client Password-Authenticated Key Exchange Protocols
814207D1	Further Analysis and Improvement of Yoon et al.'s Hash-Based User Authentication Scheme
7B726DC6	A survey of password mechanisms: weaknesses and potential improvement, part 1
7AF0FAC7	Current research on the immunostimulatory effects of CpG oligodeoxynucleotides in fish
7880EDE1	Computerized analysis of motility, motility patterns and motility parameters of spermatozoa of carp following short‐term storage of semen
802B9AFE	The true cost of unusable password policies: password use in the wild
0042BA47	Optimising information security decision making
7FCD4BAC	Lessons from Brain Age on password memorability
7A739073	Self-reported password sharing strategies
76583BDC	Molecular cloning and characterisation of a carp ( Cyprinus carpio ) cytokine-like cDNA that shares sequence similarity with IL-6 subfamily cytokines CNTF, OSM and LIF
76239220	Identity-Based and Inter-Domain Password Authenticated Key Exchange for Lightweight Clients
7A907D08	A complement C3 fragment equivalent to mammalian C3d from the common carp ( Cyprinus carpio ): generation in serum after activation of the alternative pathway and detection of its receptor on the lymphocyte surface
77905A47	Laboratory experiments for network security instruction
803433DF	The immune response of carp to Trypanoplasma borreli : kinetics of immune gene expression and polyclonal lymphocyte activation
810432A1	Drawbacks of Liao et al.'s Password Authentication Scheme
7EAC190C	Cryptanalysis of a Timestamp-Based Password Authentication Scheme
7627C468	A zero knowledge probabilistic login protocol
5F5ADA1E	Hardening fingerprint Fuzzy vault using password
80A5EEB5	Question-based authentication using context data
7F337D59	Does my password go up to eleven?: the impact of password meters on password selection
792F8D6B	Securing the Private Key in the Digital Certificate Using a Graphic Password
7643727C	Cryptanalysis and Improvement of Authentication and Key Agreement Protocols for Telecare Medicine Information Systems
7D3F76D7	Differential contribution of neutrophilic granulocytes and macrophages to nitrosative stress in a host–parasite animal model
7EFD1C16	Olive barb, Puntius sarana (Hamilton) is a potential candidate species for introduction into the grow-out carp polyculture system
