84178399	Information not present<--A New Way of Data Security using image coordinates as Password in AI
797F0A61	International Journal of Information Security<--A comprehensive simulation tool for the analysis of password policies
7B9E6441	Computers & Security<--Effective information system security with password controls
78185880	Procedia Computer Science<--Authentication Using Session Based Passwords
7DC02752	Symposium On Usable Privacy and Security<--Improving text passwords through persuasion
8025530F	Communications of The ACM<--Password security: a case history
7ABA0670	Computers & Mathematics With Applications<--Password authentications using triangles and straight lines
75FC3EAC	Information not present<--Password Security through Negative Filtering
80C1CD25	Information not present<--Security of a new password authentication scheme using fuzzy extractor with Smart Card
5E313D6B	International Journal of Communication Systems<--On the security of a dynamic identity‐based remote user authentication scheme with verifiable password update
7CCADC40	Information not present<--Smartphone Security Using Fingerprint Password
7D376B3C	IEEE Security & Privacy<--Password memorability and security: empirical results
7F393220	Information not present<--Analysis of password login phishing based protocols for security improvements
813378A5	Computer Communications<--Virtual password using random linear functions for on-line services, ATM machines, and pervasive computing
7979C29A	IEEE Transactions on Information Forensics and Security<--Captcha as Graphical Passwords—A New Security Primitive Based on Hard AI Problems
7A771AF1	Scientific Programming<--Guess Again (and Again and Again): Measuring Password Strength by Simulating Password-Cracking Algorithms
5F5D0465	International Conference on Computational Science and Its Applications<--An inter-domain key agreement protocol using weak passwords
7702DD3E	Information not present<--The Web Security Password Authentication based the Single-block Hash Function
7DF5E1C8	Human Factors in Computing Systems<--Of passwords and people: measuring the effect of password-composition policies
80ECDCFF	Symposium On Usable Privacy and Security<--On the ecological validity of a password study
7A407108	Sensors<--Security analysis and improvements of two-factor mutual authentication with key agreement in wireless sensor networks.
789936C7	Computer and Communications Security<--Surpass: System-initiated User-replaceable Passwords
77C25DD1	Digital Identity Management<--Password policy simulation and analysis
75B0F4D4	IEEE Security & Privacy<--Better Together: Usability and Security Go Hand in Hand
7BE61015	Information Security Curriculum Development<--Increasing real-world security of user IDs and passwords
7A9CEECB	International Journal of Pervasive Computing and Communications<--MTAPIN: multi-touch key input enhances security of PIN authentication while keeping usability
4A7D7C39	Information not present<--On the Security of SAPAKE (情報セキュリティ)
7A28050B	North American Journal of Fisheries Management<--Movements of Radio- and Acoustic-Tagged Adult Koi Carp in the Waikato River, New Zealand
7A5EC172	Computers & Security<--Improving system security via proactive password checking
7C5F4DDD	IEEE Intelligent Systems<--Enhanced password authentication through fuzzy logic
47F1746E	Information not present<--An absolute security system with a password for sending secret data files
226A5AC0	Information not present<--Utilizzare Windows senza password
7CAED90C	Computer and Communications Security<--The security of modern password expiration: an algorithmic framework and empirical analysis
792F8D6B	Information not present<--Securing the Private Key in the Digital Certificate Using a Graphic Password
5C805B5A	Information not present<--Perancangan Alat Pengunci dan Pengontrol Panggilan Keluar Telepon Dengan Menggunakan Password
7DD95D8C	Computer and Communications Security<--Measuring password guessability for an entire university
84BDE437	Information not present<--Password dello smartphone dimenticata
7B04A913	Operating Systems Review<--Security enhancement for Optimal Strong-Password Authentication protocol
7DCE7511	Network Operations and Management Symposium<--Security of TMN
642D37D8	Information not present<--On the Security of SAPAKE (マルチメディア情報ハイディング・エンリッチメント)
7BFE2F5C	Digital Identity Management<--UbiKiMa: ubiquitous authentication using a smartphone, migrating from passwords to strong cryptography
79D8254D	IEEE Latin America Transactions<--Even or Odd: A Simple Graphical Authentication System
76771A1D	Symposium On Usable Privacy and Security<--Encountering stronger password requirements: user attitudes and behaviors
76239220	Advanced Information Networking and Applications<--Identity-Based and Inter-Domain Password Authenticated Key Exchange for Lightweight Clients
8496CEF4	Information not present<--An Innovative Self-assurance Methodology for Challenging AI Problems in graphical passwords
497D2929	Information not present<--On the Security of SAPAKE (技術と社会・倫理)
7FED7E74	Human Factors in Computing Systems<--Can long passwords be secure and usable?
7D2DA1ED	International Journal of Human-computer Studies \/ International Journal of Man-machine Studies<--Improving password security and memorability to protect personal and organizational information
77905A47	ACM Transactions on Computing Education \/ ACM Journal of Educational Resources in Computing<--Laboratory experiments for network security instruction
