5E92737C	"Give Me Letters 2, 3 and 6!": Partial Password Implementations and Attacks
303E50FC	Climate warming and the growth of warm water fish in ponds in the temperate zone
80A4748F	A model for interoperability among authentication systems
85A63598	Health of an ex situ population of raptors (Falconiformes and strigiformes) in Mexico: diagnosis of internal parasites.
7CABF8CA	Nephroblastoma in a Koi (Cyprinus carpio)
7CCFD706	Response of bottom sediment stability after carp removal in a small lake
710A4751	Regulation of Carbohydrate Metabolism in Fish. XXI. Effects of Dietary Glucose, Fructose, and Galactose on Hepatopancreatic Enzyme Activities and Body Composition in Carp.
84DB9000	Об эффективности использования разнокачественных кормов для двух- и трехлетка карпа
7A16EDCD	Effect of feeding carp with fat-supplemented pelleted diets on chemical composition of meat
7EC15FE9	Analysis of RFID Mutual Authentication Protocols
72A3B80C	Cryptanalysis of smart‐card‐based password authenticated key agreement protocol for session initiation protocol of Zhang et al.
7D4027F2	Captcha and Its Techniques for Providing Security in Web and Applications
817A10E5	A Palmprint Recognition System using Correlation Filters
7FC9C35E	New Side Channels Targeted at Passwords
84AFD3C3	Economic Espionage and Industrial Spying: Transition to an Information Society – Increasing Interconnections and Interdependence
79CA48F0	Enhancing security of stored biometric data
7B642380	Several secure store and forward devices
0966E8D6	Use of triscaphe fusion in the treatment of Kienböck's disease
5C242F99	IP 3 receptors and their role in cell function
55B433FD	Travels in Mesopotamia: From Kerkook, by Kiffree, to Kara Tuppe, or the Black Hill
804F6997	A population matrix model and population viability analysis to predict the fate of endangered species in highly managed water systems
6B406D6F	Accounts and passwords
2E43202B	DANGEROUSLY SIDESTEPPING THE FOURTH AMENDMENT: HOW COURTS ARE ALLOWING THIRD-PARTY CONSENT TO BYPASS WARRANTS FOR SEARCHING PASSWORD-PROTECTED COMPUTERS
7E6FC523	Species‐specific preferences of German recreational anglers for freshwater fishing experiences, with emphasis on the intrinsic utilities of fish stocking and wild fishes
32982419	In vitro and in vivo studies on the effect of selected pesticides on the number of antibody secreting cells [ASC] and specific immune response in carp [Cyprinus carpio L.]
7368BC4C	Catalogue of the Osteological Portions of Specimens Contained in the Anatomical Museum of the University of Cambridge: CATALOGUE OF OSTEOLOGICAL SPECIMENS, ETC.
7B188BBB	Texture Profile Analysis and Functional Properties of Gelatin from the Skin of Three Species of Fresh Water Fish
034D6745	Section 18 - Corporate IT-Related Security Relationship with SIR&FT
77DDF92F	Hierarchical structure of the otolith of adult wild carp
4935A575	Induction: The privacy act and principles - Security of information - 4 - Alternate
5F782C45	OTP를 이용한 PKI 기반의 개인키 파일의 안전한 관리 방안
77838548	Cloridrato de benzocaína na anestesia de carpas (Cyprinus carpio)
18CB002C	特集 ＦＭＰＴ：Ｆｉｒｓｔ Ｍａｔｅｒｉａｌ Ｐｒｏｃｅｓｓｉｎｇ Ｔｅｓｔ ＦＭＰＴ実験結果の概要 鯉を用いた宇宙酔いの基礎研究
781661C4	Induction of hepatic microsomal monooxygenase activity in fish by exposure to river water
028826D7	Guide de l'identité électronique : à l'intention des parties prenantes d'Afrique
84AF2770	Training manual on improved prawn-carp polyculture and dyke cropping in Gher system
79AFE204	Uso do fator de condição alométrico e de fulton na comparação de carpa (Cyprinus carpio), considerando os sexos e idade
85208CF9	서버의 개입이 없는 스마트카드 기반의 3장간 키 교환 프로토골
7EBA0569	Efektivitas Kanamycin terhadap Furunculosis pada Karper, Cyprinus carpio
055AFDD9	Digital identity toolkit : a guide for stakeholders in Africa
771EBFDE	Carp Sarcoplasmic Reticulum Changes Due to Heat Treatment
7E78C40B	QSAR study of the toxicity of benzoic acids to Vibrio fischeri , Daphnia magna and carp
8609BC14	Induced breeding and seed production of bighead carp Aristichthys nobilis (Richardson)
7B8F1EED	Color lock: 16 bit digital color based security system
7C4A082D	Control of swimming in crucian carp: Stimulation of the brain using an implantable wire electrode
010E2CC8	Gynogenesis in carp, Cyprinus Carpio L. and tench, Tinca Tinca L. induced by 60 Co radiation in highly homogeneous radiating field
7EF976B3	Development of lumped-input access system
7A7F7F61	Toxic effects of malathion in carp, Cyprinus carpio carpio : Protective role of lycopene
80B0AE43	Future of rice-fish culture, desert aquaculture and feed development in Africa : The case of egypt as the leading country in Africa
6D94D22C	IOE LibGuides. LibQuizzes and Games. Searching Quiz.
7A1CAF4F	Phishing website detection using Latent Dirichlet Allocation and AdaBoost
03FA51D0	Mechanics and Physiology of Animal Swimming: The timing of lateral muscle strain and EMG activity in different species of steadily swimming fish
78769088	Three new cases of spondylocarpotarsal synostosis syndrome : Clinical and radiographic studies
43142702	Molecular cloning of cathepsins L and S from hepatopancreas of carp Cyprinus carpio
7D5CCD70	Changes in ATPase Activity and Solubility of Carp Myofibrils during Frozen Storage under Three Different Buffer Conditions
7F8C7F2B	Influence of abiotic and biotic environmental factors on weight gain of cultured carp on a carp farm
08BAF978	Le Password per viaggiare sicuri sul web
7A9045F2	A practical approach to system security devices
4921A50C	Effects of maintaining the carp [Cyprinus carpio L.] on mixed feeding schedule involving two feeds differing in chemical composition on selected heated cooling water culture indices
7B2370B3	Empirical keystroke analysis in passwords
6DD55D7E	Chemical Ecology of Vertebrates: Signaling pheromones II: sex and alarm pheromones and evolutionary considerations
789936C7	Surpass: System-initiated User-replaceable Passwords
80660FA4	Field testing of outdoor intrusion detection sensors
3BAF8A53	Effects of a high-energy feed on major culture indices of carp [Cyprinus carpio L.] kept in power station cooling water
67DB1B40	(DP 2014-03) Time to let go of CARP? Not so fast
094829B7	The Level of the Defense against Unauthorized Access Is a Key Indicator of the Quality of the Bank Remote Access System
5914A038	(DP 2014-02) Comprehensive Agrarian Reform Program (CARP): Time to Let Go
80312F5F	Authenticated key exchange for wireless security
81E683C2	Genetic and Serological Aspects on Alpha 2-Macroglobulin in Common Carp (Cyprinus Carpio L.)
8452F22F	Aquaponic gardening: a step-by-step guide to raising vegetables and fish together.
2CD1453C	New data on the structure and the chondrocyte populations of the haemal cartilage of abdominal vertebrae in the adult carp Cyprinus carpio (Teleostei, Ostariophysii, Cyprinidae)
541F215E	Analysis of the β-globin Gene Family of Carp
8154CD11	Trusted user authentication scheme combining password with fingerprint for mobile devices
0153E03A	Come vedere reti Wi-Fi utilizzate
37534D0F	eBay Inc. To Ask eBay Users To Change Passwords - GoLocalWorcester
7F9B995A	Effects of light and darkness on cell deaths in damaged retinal ganglion cells of the carp retina
7CA734D0	Management effects on water quality, sediments and fish production in extensive fish ponds in the Dombes region, France
7E0FC4F9	Detecting changes in ecosystem quality following long-term restoration efforts in Cootes Paradise Marsh
76268F4F	Lethal Effects of Mexel 432, an Antifouling Agent, on Embryolarval Development of Common Carp ( Cyprinus carpio L.)
2E44BC0E	Akumulacja żelaza w wybranych elementach łańcucha pokarmowego ekosystemu stawowego
7C1433B5	Password guessing attack on a key exchange protocol based on ECDLP
2E47194B	Wpływ żywienia na skład chemiczny mięsa karpia
7E41D94B	Total activity of transglutaminase at various temperatures in several fish meats
643BFB79	Alpha-melanocyte-stimulating hormone modulate secretion of interleukin-1 β in carp Cypyinus carpio leukocytes
804A2E18	キーストロークダイナミクスと指画像の併用による個人認証(第2報) (バイオメトリクス)
5D07D8AC	PERANCANGAN MODEL SISTEM MANAJEMEN TELEPON BERBASIS PERSONAL KOMPUTER
5D3492C2	Antivirus for Windows
7830E82E	Does a natural DNase-actin complex exist in the carp liver cytosol?
5C79FC51	Aquacultuurrichtlijn 2006/88/EG: aangifteplichtige visziekten, deel 1: EHN & EUS
195F66AC	Plasmalogen of fish lipoprotein (Proceedings of International Commemorative Symposium 70th Anniversary of The Japanese Society of Fisheries Science)
8167F51F	Acerca del archivo de contraseñas
656B97D6	A Biometric Authenticated Key Agreement Protocol for Secure Token
786E9A4C	The role of neuromedin U during inflammatory response in the common carp
58CE404C	PENGEMBANGAN ALAT UNTUK MENGENDALIKAN ON/OFF PERALATAN LISTRIK MENGGUNAKAN REMOTE CONTROL DENGAN DILENGKAPI PASSWORD
753B155E	Steroidogenic Activity of Carp Ovarian Follicular and Interstitial Cells at the pre-Spawning and Resting Time: A Tissue Culture Approach
5458F2D1	Mineral Nutritons in Fish-XXXI.Availability of Phosphorus in Various Phosphatesto Carp and Rainbow Trout Determined by a Simple Fractionation Method.
0050045F	Welcome to Buckhorn Narrows Resort
806A8307	Lucy in the sky without diamonds: Stealing confidential data in the cloud
32FA085C	Food biology of one-, two- and three-year-old tench in polycultures with carp and herbivorous fish
7A05F2A8	A Study on the Variable Password Generation Method in Internet Authentication System
6F1CC11C	Hidden Credential Retrievalについて
5ECAFE0B	Scaling Fisheries: The International Council for the Exploration of the Sea, 1900–1920
759A896C	Larval fish drift in a large river with a comparison of sampling methods
7DCE0594	Security by Checklist
5903DB8E	The Elements of Computer Security
7A5F6804	Twelve Random Characters: Passwords in the Era of Massive Parallelism
850D522E	개인 보안 관리의 인식과 과제
74313674	돈오 김의 『암호』 연구
7FE29AE3	A conceptual model for graphical authentication
75719D7F	The complete mitochondrial genome of mud carp Cirrhinus molitorella (Cypriniformes, Cyprinidae)
785A1847	Activities of mesencephalic nucleus neurons during fictive swimming of the carp Cyprinus carpio.
131113D7	Addressing the Asian carp
852B0C11	Current status of transboundary fish diseases in Singapore: Occurrence, surveillance, research and training.
02DB2D0E	Current status of transboundary fish diseases in Brunei Darussalam: Occurrence, surveillance, research and training.
37151F80	Comparison of nutritional usability of cereals as carbohydrate components of extruded feeds for common carp [Cyprinus carpio L.] fry
5809C4E2	Chapter 5 - Privacy Tools
59790887	ALAT PROTEKSI PESAWAT TELEPON DENGAN FASILITAS AUTO DIALER UNTUK CALLING CARD
7C968C68	Effects of acute heat exposure on respiratory metabolism and blood glucose in freshwater fishes, Prochilodus scrofa (curimbatá) and Cyprinus carpio (carp) acclimatized to tropical winter
6F6234D2	Программа хранения паролей
7671D963	Limnological Assistance for the Lake Mead National Recreation Area in Meeting the Challenge of the Water 2025 Initiative: Quarterly Report, Period Ending September 30, 2009
7541C767	The short and long-term effects of temperature on the dynamic range of signalling in horizontal cells of carp retina
6F332D26	Manejo de microembalses para el cultivo extensivo de carpa común (Cyprinus carpio Linnaeus, 1758) en la región de Zacapu, Michoacán, México
3B2CA96D	ТЕХНОЛОГИИ ОБЕСПЕЧЕНИЯ ЗАЩИТЫ ВЫЧИСЛИТЕЛЬНЫХ СЕТЕЙ С ИСПОЛЬЗОВАНИЕМ ВАРИАБЕЛЬНЫХ ПО СОСТАВУ СРЕДСТВ
58BF3A23	The cDNA sequences of cytochrome c oxidase subunit VIa from carp and rainbow trout suggest the absence of isoforms in fishes
78978C96	Outcomes of Repeated Exposure of the Carp (Cyprinus carpio L.) to Cyanobacteria Extract
82AAB722	IOE LibGuides. Getting Started. Searching.
37DE99EB	The Role of Common Carp (Cyprinus carpio) Muscle Creatine Kinase Isoenzymes at Temperature Acclimation
2CDEFB6F	Globalization: Effects on Fisheries Resources: Globalization: implications for fish, fisheries, and their management
554AF597	The interaction of fish proteins and lipids during freeze-dry and storage, 1: The interaction of carp myofibrils and fish oil
79063594	Viral vaccines for aquaculture
53F7FAC1	Seasonal changes in gene expression of myosin heavy chain isoforms in common carp
7F5B0E38	Male three-spined sticklebacks Gasterosteus aculeatus make antibiotic nests: a novel form of parental protection?
36CFC48D	Smart card based three party key exchange protocol without server's aid
58826C9B	A simple and robust anonymous two‐factor authenticated key exchange protocol
7D82CB90	Design of embedded secure CGI daemon
06C42F33	Géodes isolées du carpe et douleur du poignet
56F5C2AA	Top Five Tips for Mobile Banking
78ED8177	The concentrations of radioisotopes in selected fishes and zooplankton biomass of Dzierzno Duże dam-reservoir (Upper Silesia, Poland)
