7C699632	Computer Networks<--A framework for opportunistic scheduling in wireless networks
81356C6B	International Parallel and Distributed Processing Symposium<--Power-aware localized routing in wireless networks
76EB1EDF	IEEE\/ACM Transactions on Networking<--Understanding the capacity region of the Greedy maximal scheduling algorithm in multihop wireless networks
7EB0BE7B	Mobile Ad Hoc Networking and Computing<--A refined performance characterization of longest-queue-first policy in wireless networks
7D515829	Information Processing in Sensor Networks<--Routing without routes: the backpressure collection protocol
78FA01ED	IEEE Transactions on Communications<--Throughput Analysis in Multihop CSMA Packet Radio Networks
7EDA77E7	Global Communications Conference<--Selective reject frequency-hopped spread-spectrum networks
811701D0	International Conference on Computer Communications<--Dynamic power allocation and routing for time varying wireless networks
7D457EC1	Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks<--Macrocell batch resource allocation for a closed access femto-macro cellular wireless network
7D7BB755	IEEE Transactions on Wireless Communications<--Bidirectional Buffer-Aided Relay Networks With Fixed Rate Transmission—Part I: Delay-Unconstrained Case
7E980A8C	IEEE Journal on Selected Areas in Communications<--A tutorial on cross-layer optimization in wireless networks
7FFBE37A	International Conference on Computer Communications<--Low-Complexity Distributed Scheduling Algorithms for Wireless Networks
778BBF72	IEEE\/ACM Transactions on Networking<--Receiver-Based Flow Control for Networks in Overload
33727B43	Computer Communications<--Load-adaptive networking for energy-efficient wireless access
764D7EB8	IEEE Journal on Selected Areas in Communications<--Slotted Random Access Spread-Spectrum Networks: An Analytical Framework
7FF3E7C1	Computational Intelligence<--Joint Radio Resource Management for HSDPA and WiMAX Networks
80E1FCF8	International Performance, Computing, and Communications Conference<--Performance evaluation for penalty-based resource management: an adaptive QoS scheme for service differentiation and adaptation in heterogeneous wireless networks
80E51D22	Pacific Rim International Symposium on Dependable Computing<--ARQ in optical networks
8144B318	Information not present<--Optimal joint radio resource management to improve connection-level QoS in next generation wireless networks
76C9F780	Information not present<--Two timescale dynamic node-selfishness management in wireless networks
5BFF077F	Embedded and Ubiquitous Computing<--Semi-soft FMIPv6 for 802.11 network
8141E17F	IEEE Transactions on Mobile Computing<--Common Radio Resource Management Algorithms for Multimedia Heterogeneous Wireless Networks
7ECDC590	International Conference on Computer Communications<--Controlled multimedia wireless link sharing via enhanced class-based queuing with channel-state-dependent packet scheduling
5DB5E480	Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks<--Optimized cross-layer adaptation for improved resource management in wireless networks
71A6D3AB	International Conference on Distributed Computing Systems<--Adaptive routing in mesh-connected networks
