Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,Authority,Hub,eigencentrality
0,7C5BA07C,0,2,2,0.45,0,0,0.00001,0
1,8070B730,0,2,2,0.395349,0,0,0.001147,0
2,81291551,0,1,1,0.4,0,0,0,0
3,5F883AA6,0,2,2,0.282051,0,0,0.010588,0
4,79AF1EF6,0,1,1,1,0,0,0,0
5,5A0E1B99,0,12,12,0.475,0,0,0.000005,0
6,7AEA2D2C,1,4,5,0.384615,0,0,0,0.001662
7,75E5C09B,1,2,3,0.281818,30,0,0,0.001662
8,7F39F1C9,6,0,6,0,0,0.000009,0,0.011961
9,58369793,1,0,1,0,0,0,0,0.001662
10,5E496B4A,0,1,1,0.545455,0,0,0.000334,0
11,5DFB4964,2,0,2,0,0,0.004153,0,0.008419
12,7D7DADD4,0,2,2,0.30625,0,0,0.000005,0
13,7D220407,0,2,2,0.666667,0,0,0.000026,0
14,79CE9C33,1,0,1,0,0,0.000005,0,0.001662
15,7D48D4AA,0,2,2,0.75,0,0,0.000407,0
16,58FDB0A3,1,0,1,0,0,0,0,0.002043
17,804D7B9A,0,2,2,1,0,0,0.008528,0
18,7C54BAC9,1,1,2,0.666667,0,0,0,0.001662
19,07707A21,0,1,1,1,0,0,0,0
20,8126D3A6,0,3,3,0.375,0,0,0.000651,0
21,8153DD3D,0,1,1,1,0,0,0,0
22,7DC4F1B0,1,1,2,0.666667,2,0,0,0.001662
23,777E3755,0,1,1,0.666667,0,0,0,0
24,7DDD5360,0,1,1,0.555556,0,0,0.001188,0
25,7DD57588,1,1,2,1,1,0.000112,0.000015,0.001662
26,7B034BAA,0,6,6,0.6,0,0,0,0
27,7B502E42,1,1,2,1,0,0,0,0.001662
28,7BFF8A81,0,1,1,0.179775,0,0,0.000184,0
29,7ED8E424,6,8,14,0.408451,85.666667,0.005769,0.019669,0.009974
30,797B07C1,0,1,1,1,0,0,0,0
31,7EB9DA10,0,1,1,0.666667,0,0,0,0
32,80C5B5EF,0,2,2,0.352941,0,0,0,0
33,789B6214,0,1,1,1,0,0,0.010418,0
34,802AC983,5,2,7,0.213904,161,0.000004,0.034351,0.008692
35,7FCD9033,0,2,2,0.365385,0,0,0.002542,0
36,5D0AFDE2,5,0,5,0,0,0.000024,0,0.012002
37,7E8F9696,0,3,3,0.583333,0,0,0.000026,0
38,805E4C7C,6,0,6,0,0,0.00006,0,0.010354
39,815E4954,1,1,2,0.232759,27,0,0.001108,0.001662
40,5DC027DB,0,1,1,1,0,0,0,0
41,7F419C27,0,1,1,1,0,0,0,0
42,77ABB4F5,0,1,1,1,0,0,0.034266,0
43,7A0FFE7A,15,0,15,0,0,0.04352,0,0.050301
44,5FCC637D,1,0,1,0,0,0,0,0.001662
45,7CE81FAF,3,1,4,0.666667,16,0,0,0.005837
46,80183E34,2,1,3,1,2,0.000005,0,0.003705
47,7BCF7A6A,0,4,4,0.361111,0,0,0.000005,0
48,027BC70B,1,0,1,0,0,0,0,0.001662
49,78CF3464,0,3,3,0.216216,0,0,0.03454,0
50,8094CF37,2,0,2,0,0,0.000052,0,0.003325
51,763D40D1,0,1,1,0.428571,0,0,0,0
52,78632944,6,0,6,0,0,0.017046,0,0.015457
53,7E3F730E,0,1,1,1,0,0,0,0
54,7A9B8497,0,2,2,0.257261,0,0,0,0
55,5C7F5A7F,0,3,3,0.666667,0,0,0.000667,0
56,70972CC9,0,1,1,0.6,0,0,0.000027,0
57,7845CF6E,1,6,7,0.65,8.5,0.002591,0.004268,0.001662
58,7E6ED18A,1,11,12,0.339858,161.733333,0.000112,0.007804,0.001662
59,80949A67,3,0,3,0,0,0,0,0.011092
60,7A1ECBFE,1,1,2,0.333333,2,0,0,0.002043
61,5A0DB49D,1,0,1,0,0,0,0,0.003513
62,80F3AEF5,0,2,2,0.526316,0,0,0,0
63,80B4DB9F,0,2,2,0.231405,0,0,0.000181,0
64,7787EB54,0,2,2,1,0,0,0.000002,0
65,7C940682,2,1,3,1,5,0.000005,0,0.004465
66,78C6CE3E,0,2,2,0.75,0,0,0.00006,0
67,7E86D1CE,1,4,5,1,3,0,0.000003,0.001662
68,7551B049,1,1,2,1,0,0.000096,0.000007,0.001662
69,7E6599FA,3,0,3,0,0,0.000156,0,0.008833
