7C33E8A4	Field observations for estimating the local avalanche danger in the Columbia Mountains of Canada
810AE4F8	Study of the Learning Model Based on Improved ID3 Algorithm
5AF28A56	Improving Induction of Linear Classification Trees with Genetic Programming
5B11C295	A study on decision tree classification method of land use/land cover -Taking tree counties in Hebei
17649AC7	Minimizing Total Flow Time in Permutation Flowshop Scheduling by Two-Phase Approach
78C3621A	Microscopic Saw Mark Analysis: An Empirical Approach
75D415E2	When does an imperfect sampling frame produce more efficient estimators than a perfect frame?
7052BBBD	Detecting ground shadows in outdoor consumer photographs
7559C405	Classification Trees for Decision Making in the Social Services with Application to Welfare Recidivism
06282DE3	English-Korean Automatic Transliteration/Back-transliteration System and Character Alignment
782D00A7	The Use of MODIS-NDVI Data for Mapping Cropland across the Great Lakes Basin, USA
77CE6D62	Weakly supervised learning with decision trees applied to fisheries acoustics.
5CEF3382	Data Mining for Generating Predictive Models of Local Hydrology
7CB07222	Interactive training of advanced classifiers for mining remote sensing image archives
003361AA	How badly are we doing? Estimating misclassification rates of shallow landslide susceptibility maps
82629A88	A Video Objects Classification Method Based on GLDM and SVDD
7E1206B5	Computer-based Models to Identify High-risk Children with Asthma
8163E1D7	Scalable classifiers with dynamic pruning
7E7BD743	Comparing learning accuracies of neural nets and decision-tree classifier systems
74CBC6C4	Parallel formulations of decision-tree classification algorithms
79940D20	Gesture Recognition Method using Tree Classification and Multiclass SVM
5846A26F	A classification tree for speciation
7FE15299	An extension of the CHAID tree-based segmentation algorithm to multiple dependent variables
21C42E82	순서범주 데이터의 분류에 관한 연구
7982FA63	Data mining-based intrusion detectors
7BA1FF1A	Exploratory analysis of methods for automated classification of laboratory test orders into syndromic groups in veterinary medicine.
776B72DD	An unsupervised network anomaly detection approach by k-Means clustering & ID3 algorithms
75BAD24A	Monotone Discriminant Functions and Their Applications in Rheumatology
5902B2D3	A Kind of Classification and Regression Tree Algorithm for Unusual Customers Recognition in Telecom Trade
7AE36440	A novel approach using transformation techniques and decision tree algorithm on images for performing Digital Watermarking
803A031C	Multivariate process monitoring and fault identification model using decision tree learning techniques
7E785BEE	Estimating semantic confidence for spoken dialogue systems
7E301B2B	Use of a B cell marker (B220) to discriminate between allergens and irritants in the local lymph node assay.
61ED5863	Mapping tree and impervious cover using Ikonos imagery: links with water quality and stream health
774410AF	Decision Tree classifier of coal & gangue Stack Areas
0BE67F5F	Feature selection based on information theory filters and feature elimination wrapper methods
620C1C12	A soil map of a large watershed in China: applying digital soil mapping in a data sparse region
