7B145537	Information Processing and Management<--A review of ontology based query expansion
78D3F0A3	International ACM SIGIR Conference on Research and Development in Information Retrieval<--Term relevance feedback and query expansion: relation to design
05A716E7	Information not present<--A Study on Query Expansion Using Concept
7C2981BC	Information Processing and Management<--Weighted Word Pairs for query expansion
7B2AB066	International ACM SIGIR Conference on Research and Development in Information Retrieval<--Towards interactive query expansion
05137BD4	Information Processing and Management<--Query expansion and MED-LINE
072E6686	Information not present<--Query Expansion and Neural Network
79FCA29E	Information not present<--Lexical navigation: visually prompted query expansion and refinement
6BCD0B94	Information not present<--Tuning of Expansion Terms by PRF and WordNet Integrated Approach for AQE
811EA444	Information Interaction in Context<--Collaborative information retrieval in tourism: a study of user search behaviour, user interface and information retrieval performance
14AE49C6	The International Journal of Press/Politics<--External query expansion in the blogosphere
7FDBEAE4	Information not present<--Digital Marketing and Consumer Behaviour: An Empirical Study in Indian Car Market with Special Reference to Delhi and NCR
6B9E3DD7	Information not present<--Orthogonal Query Expansion
5FB22737	European Conference on Information Retrieval<--Query Difficulty, Robustness, and Selective Application of Query Expansion
7D313E59	Information not present<--DEU at ImageCLEF 2009 WikipediaMM Task: Experiments with Expansion and Reranking Approaches
5C6FC0E8	Journal of Chemical Physics<--Conceptual Query Expansion
7AB99E2A	International ACM SIGIR Conference on Research and Development in Information Retrieval<--Towards context-aware search with right click
03E59D81	Information not present<--Using Ontology Dimensions and Negative Expansion to solve Precise Queries in CLEF Medical Task
5CEC0571	Intelligent Data Engineering and Automated Learning<--Query expansion with an automatically generated thesaurus
7AA55F5D	Electronic Commerce Research and Applications<--Multi-domain collaborative exploration mechanisms for query expansion in an agent-based filtering framework
793E2B82	ACM Transactions on Information Systems<--An information-theoretic approach to automatic query expansion
7D79605B	International ACM SIGIR Conference on Research and Development in Information Retrieval<--Query expansion using lexical-semantic relations
06D948A5	Information not present<--Corpus Analysis for TREC 5 Query Expansion
7EE1FB33	National Conference on Artificial Intelligence<--Learning Concept Embeddings for Query Expansion by Quantum Entropy Minimization
767E699B	International ACM SIGIR Conference on Research and Development in Information Retrieval<--Concept based query expansion
025E468E	Information not present<--Words temporality for improving query expansion
80BCD8D0	Conference on Information and Knowledge Management<--Reducing the risk of query expansion via robust constrained optimization
7F448138	Computational Intelligence<--Study on Key Techniques of Query Expansion Based on Ontology and Its Application
5CE38F5A	Conference on Advanced Information Systems Engineering<--Query Expansion for the Legal Domain: A Case Study from the JUMAS Project
8065B044	Journal of Information Science<--Effectiveness of query expansion in ranked-output document retrieval systems
7446973C	Information not present<--The Analysis and Expansion of User Requirements Based on a Novel Information Service Platform
597B8C59	Information not present<--External Query Expansion in the Blogosphere
02D8DAF0	Theory and Practice of Digital Libraries<--Query expansion of zero-hit subject searches: using a thesaurus in conjunction with NLP techniques
75FC25F4	International ACM SIGIR Conference on Research and Development in Information Retrieval<--Query expansion using local and global document analysis
7F0B1B0F	Source Code Analysis and Manipulation<--Can the use of types and query expansion help improve large-scale code search?
79904BF4	Conference on Information and Knowledge Management<--Query expansion using associated queries
7D979C1F	Information not present<--The study of semantic query expansion based on improved vector space model
5A10CFD2	Cross-Language Evaluation Forum<--Query expansion on medical image retrieval: MeSH vs. UMLS
772E4A41	Ieice Transactions<--Query Expansion and Text Mining for ChronoSeeker -- Search Engine for Future/Past Events --
7BB25BBA	Australasian Computer-Human Interaction Conference<--Investigating interactive search behaviour of medical students: an exploratory survey
8026925D	Journal of Biomedical Informatics<--Cluster-based query expansion using external collections in medical information retrieval
5F98C6EA	Information not present<--Combining language models with NLP and interactive query expansion
7C342AEC	Systems, Man and Cybernetics<--A Comparison of Local Analysis, Global Analysis and Ontology-based Query Expansion Strategies for Bio-medical Literature Search
781439A1	Information not present<--Using Multiple Query Expansion Algorithms to Predict Query Performance
09F306FF	Information not present<--An Analysis of Ontology-based Query Expansion Strate-gies
7E1FECD9	Wirtschaftsinformatik \/ Angewandte Informatik<--Temporal Analysis of the Wikigraph
76D55405	ACM Computing Surveys<--A Survey of Automatic Query Expansion in Information Retrieval
795DA831	International ACM SIGIR Conference on Research and Development in Information Retrieval<--Estimation and use of uncertainty in pseudo-relevance feedback
7D7D8752	Journal of The American Society for Information Science<--The Limitations of Term Co-Occurrence Data for Query Expansion in Document Retrieval Systems.
77808CC5	Information Storage and Retrieval<--An Evaluation of Query Expansion by the Addition of Clustered Terms for a Document Retrieval System.
59F41337	Australasian Database Conference<--Questioning query expansion: an examination of behaviour and parameters
7732CCC0	International ACM SIGIR Conference on Research and Development in Information Retrieval<--Improving automatic query expansion
016F5BB5	European Conference on Information Retrieval<--Query Expansion with Temporal Segmented Texts
7F7D848F	The Computer Journal<--The Retrieval Effects of Query Expansion on a Feedback Document Retrieval System
69FD3F3F	Cross-Language Evaluation Forum<--Improving Robustness Using Query Expansion
7D4465AC	Web Intelligence<--Mining Translations of Chinese Names from Web Corpora Using a Query Expansion Technique and Support Vector Machine
75762437	International Conference on Computer Communications<--Analysis of retrieval result on ontology-based query reformulation
80E50D02	Information not present<--Information-Seeking Behaviour on Internet: A Comparison between Arts and Science Undergraduate Students in Iran.
7E1F75A0	Information not present<--REINA at CLEF 2006 Robust Task: Local Query Expansion Using Term Windows for Robust Retrieval
7EDCAF6E	International Zurich Seminar on Digital Communications<--On Mobile User Behaviour Patterns
7CD3D243	Conference on Information and Knowledge Management<--Entity centric query expansion for enterprise search
7AAD636F	International Conference on Machine Learning and Cybernetics<--An empirical study on query expansion and documentexpans ion in information retrieval
7B3BA4C9	Information not present<--Query Expansion with Freebase
5C1D7D00	Data Warehousing and Knowledge Discovery<--Semantic Query Expansion Combining Association Rules with Ontologies and Information Retrieval Techniques
7FF6DDDA	International Conference on Software Engineering<--A survey of query expansion, query suggestion and query refinement techniques
78BB5638	Production Planning & Control<--Customising knowledge search in collaborative networked organisations through context-based query expansion
7BE4FFC2	Information not present<--A Comparison between Interactive and Automatic Query Expansion Applied on Arabic Language
