7E0FCFAB	Optimal smoothing for trend removal in short term electricity demand forecasting
76974E15	Evaluating the efficiency of implementing total productive maintenance
7FAB472E	Tree-based models for speech and language
79BA8146	Modelling Aspergillus flavus growth and aflatoxins production in pistachio nuts
7DA01B73	On-line hierarchy of general linear models for selecting and ranking the best predicted protein structures
7D0828CE	Y-Thompson regulating control using adaptive predictive fuzzy logic for a micro-satellite
817A69DA	The Effects of Including Quality of Life Responses in Models to Predict Walking Performance of Patients with Intermittent Claudication
7CB14D0C	Method-specific dynamic compilation using logistic regression
8102C8FC	Supervised classification of combined copy number and gene expression data
7DC7BEF2	Recurrent neural networks and robust time series prediction
7D5A2C45	Modelling of a Mixed Signal Processor Susceptibility to Near-Field Aggression
809D7D1C	Reliability Analysis of Component Software Based on Testing Data Transformation
7887F109	Financial health prediction models using artificial neural networks, genetic algorithm and multivariate discriminant analysis: Iranian evidence
751E8ED4	Coordinated Model Predictive-Based Power Flows Control in a Cooperative Network of Smart Microgrids
7E273CCC	Predictive Models for Acute Kidney Injury Following Cardiac Surgery
7D836119	Influence of database accuracy on two-dimensional ray-tracing-based predictions in urban microcells
636A62B0	Mining longest repeating subsequences to predict world wide web surfing
75170D6C	Predictive habitat modelling to estimate petrel breeding colony sizes: Sooty shearwaters (Puffinus griseus) and mottled petrels (Pterodroma inexpectata) on Whenua Hou Island
7DE53248	Sequential Procedures for Aggregating Arbitrary Estimators of a Conditional Mean
8188F8B3	Segmented power demand forecasting using stochastic model
807F2761	The effect of multiple time scales and subexponentiality in MPEG video streams on queueing behavior
7F570E9A	Runtime prediction models for Web-based system resources
80271CC6	A SNCCDBAGG-Based NN Ensemble Approach for Quality Prediction in Injection Molding Process
7E376495	Image processing in the context of a visual model
80A80D7F	Penalized Cox regression analysis in the high-dimensional and low-sample size settings, with applications to microarray gene expression data
7BDD07C8	Statistical forecasting for offshore wind helicopter operations
80948E26	An adaptive control scheme for discrete-time T-S fuzzy systems with unknown membership parameters
7CF5545F	Predicting Cycle Time Distributions for Integrated Processing Workstations: An Aggregate Modeling Approach
8118255B	Predictive torque control with input PF correction applied to an induction machine fed by a matrix converter
75B4BDE8	Selectivity-based QSAR approach for screening and evaluation of TRH analogs for TRH-R1 and TRH-R2 receptors subtypes
7D548C49	Gradient of the log-likelihood ratio for infinite dimensional stochastic systems
7B3B0741	A predictive control algorithm based on integrated weighted output of multi-model for boiler turbine system
7C85F08A	Systems analysis models for disinfection by-product formation in chlorinated drinking water in Ontario
7B7BBDFE	Cognitive radio: brain-empowered wireless communications
7D0AC5BF	Dynamic simulation of software workers and task completion
78C0F992	Predicting skin sensitization potential and inter-laboratory reproducibility of a human Cell Line Activation Test (h-CLAT) in the European Cosmetics Association (COLIPA) ring trials.
7F350444	A Hybrid Model to Forecast Wind Speed Based on Wavelet and Neural Network
7E80782D	95-GHz scattering by terrain at near-grazing incidence
7E2059AB	LPC distance measures and statistical tests with particular reference to the likelihood ratio
7DB23B47	A higher throughput method to the Embryonic Stem cell Test (EST), to detect embryotoxicity in early development
7FB47972	Predicting Method of Leakage Current in Multiple-Gate Amorphous Silicon TFTs for Active-Matrix Electrophoretic Displays
7EED1641	Aligning Spectrum-User Objectives for Maximum Inelastic-Traffic Reward
7A273F1D	Prediction of user navigation patterns by mining the temporal web usage evolution
78F66E4F	Accurate simplistic predictive modeling of nonlinear dynamic processes
62C5EBB5	Using classification trees for software quality models: lessons learned
7E3719DD	Predicting postoperative nausea and vomiting with the application of an artificial neural network.
7D8BCD6D	MOSFET Performance Scaling—Part I: Historical Trends
79E4B24D	Decision Curve Analysis: A Novel Method for Evaluating Prediction Models
766902FA	A multi-agent system simulating human splice site recognition
787BF853	Predictive modelling of growth and enzymatic synthesis and activity by a cocktail of Yarrowia lipolytica , Zygosaccharomyces bailii and Pichia anomala
746D2884	Optimal partitioning in distributed model predictive control
6A283F08	Enhancing prediction accuracy in PCM-based file prefetch by constained pattern replacement algorithm
80ABC924	Explicit moving horizon control and estimation: A batch polymerization case study
7E49578C	Templeton prediction model underestimates IVF success in an external validation
7FBF40A3	Why B-pictures work: a theory of multi-hypothesis motion-compensated prediction
80CCA162	An automated approach for implementing GTD to model 2-D terrain effects at microwave frequencies
81022318	Development of thermal inactivation models for Salmonella enteritidis and Escherichia coli O157:H7 with temperature, pH and NaCl as controlling factors.
7FD14049	A neural network based very short term load forecaster for the interim ISO New England electricity market system
7C4B5177	Macro-Level Collision Prediction Models for Evaluating Neighbourhood Traffic Safety
7EE1DCF0	A comparison of dynamic branch predictors that use two levels of branch history
7FBCD9DA	Analysis and Modeling of Near-Ground Wave Propagation in the Presence of Building Walls
7AAA9C20	CRM in social media: Predicting increases in Facebook usage frequency
79BFEA1D	Skill, reproducibility and potential predictability of the West African monsoon in coupled GCMs
8022DC8C	The effect of mountainous topography on moisture exchange between the “surface” and the free atmosphere
7EFA7365	Electricity Load Forecasting Based on Adaptive Quantum-Behaved Particle Swarm Optimization and Support Vector Machines on Global Level
7F22455C	Picture Quality Prediction Based on a Visual Model
7A46EA17	Identifying patients at risk of becoming disabled because of low-back pain : the Vermont rehabilitation engineering center predictive model
7F0ADF0B	Path loss and propagation models at 3.5 GHz using deployed WiMAX network
78263237	Nondestructive measurement of firmness and soluble solids content for apple fruit using hyperspectral scattering images
7E5C097E	Multifractal Traffic Modeling using a Multiplicative Cascade with Generalized Multiplier Distributions
7D592C05	Numerical state-space average-value modeling of PWM DC-DC converters operating in DCM and CCM
7F76A78A	Analytic Extension of the Cell-Based Oxide Breakdown Model to Full Percolation and its Implications
80D3DDEB	Performance prediction in production environments
806949F2	Induction motor fault diagnosis based on neuropredictors and wavelet signal processing
8140FCFE	Using Machine Learning to Focus Iterative Optimization
7A775530	Building Comprehensible Customer Churn Prediction Models with Advanced Rule Induction Techniques
7532AEA5	Predictive microbiology in a dynamic environment: a system theory approach
7E965745	Software aging estimation and prediction of a real VOD system based on PCA and neural networks
5E95A147	Gene expression profile predictive of response to chemotherapy in metastatic colorectal cancer
7AACF4B7	Advances in predictive models for data mining
7D6C19D6	A simulation study of the model evaluation criterion MMRE
7D244FCA	Temporal variability in taxonomic completeness of stream macroinvertebrate assemblages
80AA369E	Discriminative density propagation for 3D human motion estimation
8179590E	Forecasting the Saudi Arabia Stock Prices Based on Artificial Neural Networks Model
7D262E1D	Early prediction of preterm birth for singleton, twin, and triplet pregnancies
7D46B785	Scalable Small-Signal Modeling of RF CMOS FET Based on 3-D EM-Based Extraction of Parasitic Effects and Its Application to Millimeter-Wave Amplifier Design
80A73C59	Device simulation of charge collection and single-event upset
8090EF0C	Predictive and Dynamic Resource Allocation for Enterprise Applications
7D4B13C8	Next-day electricity price forecasting on deregulated power market
75A2FAFB	Hierarchical MOSAIC for movement generation
8151463A	Latent topic modelling of word co-occurence information for spoken document retrieval
7642758F	Remaining-Life Prediction of Solder Joints Using RF Impedance Analysis and Gaussian Process Regression
810B7216	Model to Predict Absorbed Amino Acid Supply at the Proximal Duodenum in Growing Beef Cattle
75161A4A	In silico approaches to predict the potential of milk protein-derived peptides as dipeptidyl peptidase IV (DPP-IV) inhibitors
7D0135E4	Model predictive control allocation - Design and experimental results on a thermal management system
08193755	A Unified Statistical Framework for Evaluating Predictive Methods
7F13DBA4	Implementation of Fuzzy NARX IMC PID control of PAM robot arm using Modified Genetic Algorithms
78E1FFAC	Experimental measurement and predictive modelling of bending behaviour for viscous unidirectional composite materials
7DC366D7	Reconfiguration strategies for hybrid systems
808B6552	Piecewise Linear Branch Prediction
7BF977D8	Application of multivariable optimal discriminant analysis in general internal medicine
7F835DA1	Data learning techniques and methodology for Fmax prediction
7E231F4F	A study on context prediction and adaptivity
7E2CD3C6	Short term load forecasting by using neural network structure
7E3991DB	Nonlinear EPSAC predictive control of blood glucose level in diabetic patients for prandial disturbance rejection
7C5A2B57	Calibrated Probabilistic Forecasting at the Stateline Wind Energy Center: The Regime-Switching Space-Time Method
79F17FA0	Computer modeling of 3D structures of cytochrome P450s
7A87BC54	Mass transfer in the core-annular and fast fluidization flow regimes of a CFB
6F711A41	Data-Driven Design of Takagi-Sugeno Fuzzy Systems for Predicting NOx Emissions
79E7BEBC	A Destination and Mobility Path Prediction Scheme for Mobile Networks
78A1B953	East African climate change and orbital forcing during the last 175 kyr BP
75B4B94E	Further exploring r m 2 metrics for validation of QSPR models
7FFE4F66	Extracting physical parameters from system identification of a natural gas engine
7FB47F94	Verifying Causality between Distant Performance Phenomena in Large-Scale MPI Applications
