7D1648CC	5FC5A2D1
7AA43A18	7ED11D33 5BB2A43E 5C672145 23EB24B9 806E0F54 76D372EB 57A7697E 5EFD6D92
812D85BD	6DB9AAA7 7F7BA603 7AF5ECBE 0A8214FD 73FED56B 7825959C 5D1CAFF6 759155C1 7A0801EC 5AF4A69D 7B5724CB 5A19C34F
764CD37A	7B6DB415 7FA4AE9E 7F01E3D2 7B10EC7B 5A19C34F 5F4231F7 80ADA81C
78E4E984	80ADA81C 80E03A40 5DAA029C 58C1C0E5
810F053B	75EB5BAC 7718628D 5E8FF064 7D43F1E9 7FB84C9A 5ACC883F 80155361 7CE296FD 5C350EC0 77F3C512 5B838C13
7A6213F3	79D68C5A 7BB49656 7BF13634 80FBFBE3 79CD3013 7D20ACB7 5C952790 788F20E8 78CC9219 58DC9223 79DDCF89 77E246CB 80DAD72C 68996528 5F660D36 7EA58B53 08B112A6 7C481EC3
75860446	0421C27A 5E74C992 78916EFD 8019F6EB 59C14885
7B8983F1	58E4B270 5A2CF191 0868623B 5F4255FB 7E2DF907 7DA901F7 79E4BEDF 760A7B19 5BE6C6F4 78FC814C 808D3560 0224A1F5 7844E208 7AA3531B 7CF9C1D7 80881CF7 7C90D137 09C94B07 752297AE 7C8E1CF3
7DDCF7CF	80ADA81C 8228494D 5AF4A69D
7AAC52F7	7A5E0878 778AD30D 77AC3079 7E791BA1 753804A7 7AE21814 76FEA29E 7A3A3C8F 8015E86F 80ADA81C 7557A167
801FBF27	7BE38CD2 6DF7DFA0 5F34338D 7A12D8B0 7B25D717 8019F6EB 7859BA15 811331AB
80944B24	80C12DAE 80FB4C85 7AA09271 80B661CD 7F9DCE96 5C5C50B8 7FC7A9DF 058100BC 7C00B756 5BADCE4F 5A0867F8 7F671FA3 79EFAA5D 0BA9D2C1 7DC7C77D 7F8019B4
7C5C021C	7E1972CC 8010FCA2 7C51E2FD 7A12D8B0 7F9BE110 7A10B8BE
7582E483	04A4EEEF 7B227AD5 7702BE37 5BD9FA11 5F313AA7 7955A95B 8100D975 7DF037C0 78D2B23B 59D0EEB1 763FD968
7EC81F83	80ADA81C 0B4A42EA 656FEA53 5CBF4D72 653BBD24 76A0F499 7E670B0F 758E94D9 7CD64CA1 583C2FBB 719BBC7E 7F2AC65F 62539784 0A585D2B 76C4B3E8 84B3DF2C 7F1F5E32 5CBE9B35
7FB7031B	7BD1CC2D 7F20DE15 75FC34FB 7B96B718 665F5A99
8092AE76	79566479 7E0E7132 777D9274 70FE38AF 7BBB24CA 7B4DDEE0 80B660DB 7C90F83D 763520E7 58C1C0E5 76C5B438 7CC43C0D 7ACEE2FE 78E461D1 7A4A2514 7D11A2AA
8131B024	2F9CF443 5B1C4B32 8107B2F6 02E86654 0961527D 5A813252 7984E7C8 5E93ECDF 8137EF0D 5E41951A 7CD64CA1 7F5529CA 7AC6A4F8 02C50CF8 7E58BA39 6A52257F 7A6905C8 813FB175 78620E1A 79BA64E3 78EBD78F 7ECC6253 5EF82EDC 859D8CA5
75A28CC1	757C3A36 7748165E 5D383B00 7EE43A69 75FCE4C2 7E7DB2B2 7F429653 0ACC1541
7EADB485	593E6DF0 7E59243F 7BF10966 5E9AABAF 7F9A7F6D 7DCA01F1 7E15378E 5E21E01F
7E3716D0	757ABEC6 7B0B26C9 80ADA81C 80AEC311 7E791BA1 588E2C07 80B188B6 7DB2046B 7FF7AE04 5C4BA6A2 7EF006E8 6910E9C4 7F626014 06FFAE65 0A8214FD 04B94AE8 791B4FA3 7E831261 7C178991 78C35ABF 03774482 7525F6B6 0A0F6CE7 09DF4365 5FCF9612 7FB45C2B 7D2D3BD0 7F79614A 800E5915
0B8F3573	7E28DCC9 7638F57C 77BA615C 7923BC6C 773C5EF5 7F5CD542 81314AE4 75284C8A 7AD5EA29 7F60B781 83E40067 80F481A2 5EA96DCA 7FBB690D 76EC3CE5 75DC2DC6 7D4646FB 074ABCCB 7A436D32 760B88C9 7636128B
77B7F2BB	7BF8D64B 7897B80A 7B227AD5 7A63FF52 7AA80ECB 80BB6721 5F93890B 58C1C0E5 7B3FC39F
0B2CD14F	090DE1DE 80626913 5BF59849 7F2F9235 5E824C4A 7805FCAC 79ED41AD 5E913502
67538508	006439A4 814032DF 7C15F7DE 75ED2060 7B570619 75E48C94 79E359C0 7597F965 5AB7D3BC 810EEBFB 01119E58 0A18DC7D 7E5B07EC 5B9A42A7 7718628D 7A8344BD 80DAD72C 12F2144F 5D709491 72767ABD
75A252DF	7652087E 79CD3013 58EE30E1 00D1E95F 7A12D8B0 7962EDE5 74285D25 770E412C 81D8B3CA 6EA5F310 5FA05E7A 76529AA2
760DED29	809F47BE 78527F2C 03CED1F3 7BC92A0E 7CCBE9DC 5FE0F69C 7927FC51 7CD83F39 793B34B1 816BE40F 7B1FB0D8 753F050E 7B975869 767871AD 7E4B5B83 78D75560 084F2A19 59E7AAC6 78A37882 5BCECB21 7731E2F2 5BB5457A 7E7C7A52 7ED33C2D 78773ACE 7AB494EA 81374E8F 050F18EF
04AFB29A	5F905663 027C48C6 0699B59F 0BA87EF2 5C244921 78F4EC5D 7F06D222 0AEB173D 05854E6E 5CA3F952 02DFE06D 769BFEFD 7CC5A422 0B85F83A 6DF7DFA0 59A184FC 75FC34FB 635098D6 02130384 05CDAA4C 06770AFE
80171ECE	7C453B5E 08F93F81 8019F6EB 056C8408 7D20ACB7 5C4ABC3B 7B9D68D9 79FF77BE
5A237531	5C7E7468 7CA76BD3 7CDCB00D 7BDF0CC7 7F341408 0BF2AD37 5B88A8B7 7C595594 5B4C4096 5F6B049B 757360AE 78F54901 8019F6EB 810D2369
7A9076C5	79916FCC 78E92377 59DD7CD8 00FD0274 7BAB0174 76901267 78DB9922 0666253C 79C22FE1 0405D94C 01C2898E 7B5DEC11 5EB6F0FC 7A3A5F27
7B2B9CBC	7ED2FEDD 78F59291 7C1C2725 5D383B00 75CF47C3 7CEC2862 79E442AD 7D4AEAFC 757C3A36 78A61A23 80395AFC 7885DCD2 6D17085D 75168128 7981BF73 5F48F151 767F6FA7 7EE43A69 58C1C0E5
