75F71181	IEEE Intelligent Systems
75FC39F7	Information Processing and Management
802A5C28	International Journal of Intelligent Information and Database Systems
5F4B20E5	Information Retrieval
7B2E5EC6	Computer Networks and Isdn Systems
8035BDA2	Computer Networks
7510D861	Information Processing and Management
7A6F5F82	Computer Networks and Isdn Systems
7F3F0AE2	Information Processing and Management
7BC471DD	World Wide Web
7928820F	IEEE Transactions on Image Processing
80FCD18B	International ACM SIGIR Conference on Research and Development in Information Retrieval
808285A5	Sigir Forum


776647D6	International Journal of Pattern Recognition and Artificial Intelligence
7F79648F	ACM Computing Surveys
