75F59C14	IEEE Computer
7BC0845F	International ACM SIGIR Conference on Research and Development in Information Retrieval
80BAFEB7	Hawaii International Conference on System Sciences
7510D861	Information Processing and Management
754D28B2	Tourism Management
7D837E78	ACM Transactions on Information Systems
72030340	Behavioral & Social Sciences Librarian
7AEA750B	International Conference on e-Business Engineering
804E7F29	Web Search and Data Mining
816FE39A	Human Factors in Computing Systems
7B829984	International ACM SIGIR Conference on Research and Development in Information Retrieval
777B5147	Web Search and Data Mining
7644AE7A	Theoretical Computer Science
78E21799	World Wide Web
8035BDA2	Computer Networks
7FDDCCD4	Management Science
7F48E77D	Information not present
80026F92	String Processing and Information Retrieval
7D08AE3B	Human Factors in Computing Systems
808285A5	Sigir Forum
7FBD8242	Marketing Science
7918FE86	International Conference on Machine Learning and Cybernetics
77B7328F	Information not present
7EE3F39D	World Wide Web
776647D6	International Journal of Pattern Recognition and Artificial Intelligence
7F3F0AE2	Information Processing and Management
75CC9391	Computer Law & Security Review
7FA14777	Field-Programmable Custom Computing Machines
75D95FB3	Information not present
7BD8C7FA	Information not present
5CFC04D2	International Conference on Data Engineering
58B0DC1D	Information not present
7F561450	Social Indicators Research
75F71181	IEEE Intelligent Systems
7A6F5F82	Computer Networks and Isdn Systems
79A89D40	International ACM SIGIR Conference on Research and Development in Information Retrieval
80ED8842	IEEE Distributed Systems Online
7F79648F	ACM Computing Surveys
5F4B20E5	Information Retrieval
7DA63EC1	World Wide Web
00B17298	Information not present
7DCF9C8B	European Conference on Information Retrieval
790B5A53	International Conference on Management of Data
7CE1777E	Information not present
7928820F	IEEE Transactions on Image Processing
5ADB3A52	Information not present
5D259979	Multiagent System Technologies
766A0371	Conference on Information and Knowledge Management
7C5CBF21	World Wide Web
7E418727	International ACM SIGIR Conference on Research and Development in Information Retrieval
5995BFC1	The Vldb Journal
80FCD18B	International ACM SIGIR Conference on Research and Development in Information Retrieval
77445FD3	User Interface Software and Technology
79110C9C	Information Processing and Management
7CF71B8F	ACM Transactions on The Web
7BC471DD	World Wide Web
63913EDD	Clinical Orthopaedics and Related Research
75FC39F7	Information Processing and Management
7B2E5EC6	Computer Networks and Isdn Systems
78A4DC3B	Web Search and Data Mining
8091AFDD	Information not present
7BB23ED5	ACM Transactions on The Web
06B1E08B	Information not present
7AB88A91	Conference on Information and Knowledge Management
815D5340	Proceedings of the IEEE
77EB1685	Information not present
802A5C28	International Journal of Intelligent Information and Database Systems
7F6257E8	World Wide Web
7FF3B599	Information not present
