0B80918E	The Rascal Language Workbench
026F0D09	Better Huffman Coding via Genetic Algorithm
58C34553	Abstract machine for LDL
751E4295	Quantum message authentication based on algebraic coding theory
801D53B7	Parsing languages by pattern matching
7FC87733	Advances in functional abstraction from structure
7AE5B50F	Variable optical code generation by LiNbO 3 modulators and code processing
7090F625	Towards portable microcode
7BCF328F	Autotuning for high performance computing
5D2CA0B5	The Hamlet design entry system: on the implementation of synchronous channels
7F73C740	A temporal database management main memory prototype
795791B5	Fabrication of 1×2 asymmetric plastic optical fiber coupler for portable optical access-card system
06530CE9	Code Generation for Embedded Systems Using Heterogeneous MDDs
7908A731	A virtual trip to the Schwarzschild-de Sitter black hole
7CAB1322	On binary majority-logic decodable codes (Corresp.)
78E7954C	An implementation framework for software architectures based on the coordination paradigm
78C6926D	Generating symmetric DFTs and equivariant FFT algorithms
7449270C	A Numerical Study of Boson Star Binaries
7C283FF0	A novel approach for interference suppression in multi-subband convolutional coded OFDM system
816F6B1C	An e-Learning collaborative RIA environment for Web Application Modeling and Code Generation
76516F6A	Developing an Architecture Description Language for Data Processing Product Line
22BA88B2	Industrial Application of the System-Level Simplex Architecture for Real-Time Embedded System Safety
7D7469B4	All‐Digital GPS Receiver Mechanization
7C716278	An automatic decision-logic-table processor
79031E4A	Model-Based Design on the Application of Active Flow Control System
7F0B1D72	Hybrid-model based hierarchical mission control architecture for autonomous underwater vehicles
805C06EC	Formal Semantics Based Translator Generation and Tool Development in Practice
5AAEAA1B	Transport analysis of measured neutron leakage spectra from spheres as tests of evaluated high-energy cross sections
5DD52008	The language parallel Pascal and other aspects of the massively parallel processor
7F40DE53	Transmitter identification using embedded pseudo random sequences
8614DF9E	Schedule-carrying code
803740D4	Automatic Link Editor Generation for Embedded CPU Cores
841FD1A8	An analysis of tools for automatic software development and automatic code generation
7D167199	Footprinter: Round-trip engineering via scenario and state based models
8082D0B7	Supporting scientists in re-engineering sequential programs to parallel using model-driven engineering
7E470064	New Shape Analysis and Interprocedural Techniques for Automatic Parallelization of C Codes
8080B76E	Composing source-to-source data-flow transformations with rewriting strategies and dependent dynamic rewrite rules
5840343D	Reliability of report coding of hospital referrals in primary care versus practice-based coding
8130DE9B	An efficient time representation for real-time embedded systems
7BB153C4	Duo duplex drive-by-wire computer system
0AE09565	Formalization of Dynamic Pushdown Networks in Isabelle/HOL
75E79504	DMA++: On the Fly Data Realignment for On-Chip Memories
089F5135	Mining a database of Fungi for Pharmacological Use via Minimum Message Length Encoding
7F82E3E6	DADO: A Novel Programming Model for Distributed, Heterogenous, Late-Bound QoS Implementations
605A715F	Safety-inspection guidelines for photovoltaic residences
752D72AB	Construction and properties of the augmented and binary-depletion codes
583E9C2B	The automation of a fabrication planner in a rapid design system
078204CB	Using LPNMR for Problem Specification and Code Generation
7B87D237	Web- and Cloud-based Software Infrastructure for Materials Design
7288CA24	21cmfast: a fast, seminumerical simulation of the high‐redshift 21‐cm signal
5C153FEE	A Timed-Automata Based Middleware for Time-Critical Multicore Applications
75EFAFE2	Autotuning GEMM Kernels for the Fermi GPU
80B5E10C	Incorporating Object-Orientedness in Transformations from Live Sequence Charts to Colored Petri Nets
7C98E808	Multimodal programming for dyslexic students
5A2AC57C	Constraint Handling for the Fault Coverage Code Generation Problem: An Inductive Evolutionary Approach
5F73C5AC	Design of Minimum BER Linear Space-Time Block Codes for MIMO Systems Equipped with Zero-Forcing Equalizer{Correlated Channels
72EFC25C	A retargetable multiple string matching code generation for embedded network intrusion detection platforms
6950C9A0	A Model-Based Approach to Testing Software for Critical Behavior and Properties
7173B12E	Model-Based Development of Distributed Embedded Systems by the Example of the Scicos/SynDEx Framework
78B738BC	Complexity of optimal vector code generation
7AEA486E	Compiling techniques for first-order linear recurrences on a vector computer
14C45532	Theoretical Aerodynamic Analyses of Six Airfoils for Use on Small Wind Turbines: July 11, 2002--October 31, 2002
00F64827	Code generator for controlling high-voltage pulse devices
7981E69A	Study of coding generator based on In-system programming technique and devices
7ECB9BCD	Path-invariant comma-free codes
7C0ECECB	Integrated optical devices for high-data-rate serial-to-parallel conversion
789BD194	Research of HLA Federate Automatically Generation Tool in Equipment Support Simulation
771FF1BE	Interaction among objects via roles: sessions and affordances in Java
0889FD41	Consequences of Security Aspect Interactions on Aspect-Oriented Modeling
5F8BCC54	Digital design of DS-CDMA transmitter using VHDL and FPGA
5E2F042C	An I-CASE system for automatic generation of MIS software-MISG/CASE
7DFBDFBC	Feedback-directed memory disambiguation for embedded multimedia VLIW computing
76ABCABD	Algebraic properties of DNA operations
8606E620	SmartOSEK : A real-time operating system for automotive electronics
7D3BDDF5	Optimal process planning for a combined punch-and-laser cutting machine using ant colony optimization
7D5120DB	An Effective Code Generator for Frequent Authentication of Multimedia Contents in Mobile Applications and Services
7E1D11D0	CentiJ: An RMI Code Generator
0C9B14FE	Una aproximación dirigida por modelos para el desarrollo de bases de datos objeto-relacionales
5E38264D	Retargetable Compilation of Self-Test Programs Using Constraint Logic Programming
76C728C2	Designing visual interactive systems in the e-government domain
83EC62A5	Idempotent AN codes
7A5AC6B2	Synthesizable HDL generation method for configurable VLIW processors
2E8EF8B8	Author manuscript, published in "9th Workshop on Optimizations for DSP and Embedded Systems (ODES-9) (2011) 8" Decomposing Meeting Graph Circuits to Minimise Kernel Loop Unrolling
77363CA3	Intersection types in Java
7C486219	A Tactical Infrared Scene Generator
796680BF	SimuMap: a computational system for spatial modelling
5A699D0E	Air Force Web Preventive Health Assessment (AF WEBPHA) mental health screening effectiveness
7D841EC7	Backward propagation of code refinements on transformational code generation environments
5F792F42	RuleBAM: a rule-based framework for business activity management
7ADB90E8	Feature extraction through LOCOCODE
5904A15C	Epsilon-based model transformation and verification of train control system specification
7A873C7A	Connected Identifying Codes
7560699A	OPTIMA—A portable PCODE optimizer
7A9B4F72	Peak power control of MC-CDMA with special classes of binary sequences
7DCF8A20	Auditdraw: generating audits the FAST way
5D5C1BE4	The PHiPAC v1.0 Matrix-Multiply Distribution
726E14CE	Code generation of RHIC accelerator device objects
5AB0FAFA	A Declarative Approach to Entity Resolution
79F8F6B4	Compact code generation for embedded applications on digital signal processors
7F5D4C4D	Real-coded generic algorithm for optimized digital watermarking embedding in time-domain
78045824	Randomly Sparse Equation Solution by Loopless Code Generation on the CRAY-1.
5CC2812C	Dynamic service adaptation for plug and play device interoperability
5849D2C0	Model‐Based Deployment and Code Generation
7E223EDC	A cellular nonlinear network for digital error correction
5B82EFD0	Issues in Register Allocation by Graph Coloring
7738F6C1	An Extensible System for Multilevel Automatic Data Partition and Mapping
85623E52	Teaching compiler development to undergraduates using a template based approach
5D1AA978	User's manual for PANDA II: A computer code for calculating equations of state
5999DF8E	Modeling of impurity emissions from tokamak plasmas
78BFEDDB	SPLEMMA: a generic framework for controlled-evolution of software product lines
5D053F26	SACRD: a data base for fast reactor safety computer codes, general description
766C20C5	Nebelung: execution environment for transactional OpenMP
7A362524	The optimal burst-error correcting capability of the codes generated by ƒ( x ) = ( xp + 1)( xq + 1)/( x + 1)
5F4E7675	Automatic Verilog code generation of an 8-bit RISC micro-controller
7B050CB6	Pattern-based tree attribution
5C332F8D	Intelligent Simulation Code Generator: A Relational Database Management Approach (Object Oriented)
7A460FA4	Computing the constrained M-estimates for regression
763C7616	Improving formal verification practicability through user oriented models and context-awareness
5DE5C220	Flexible real-time programming of a distributed transputer-based vision system
1474A814	INCREASING THE RELIABILITY OF MODEL-DRIVEN SOFTWARE FAMILY ENGINEERING AND PRODUCT CONFIGURATION FOR AUTOMOTIVE CONTROLLER SOFTWARE
7DE95AB8	Automatic generation of NC-code for hole cutting with in-process metrology
05393EC8	Simulation and Code Generation for a Parallel Kinematic Manipulator with three Degrees of Freedom
7AFAAE4C	Analysis of Graphs by Connectivity Considerations
6A4F76E3	O'INCA design framework
7A581436	Workshop on event driven architecture
7B69B4B9	HaRTS: Performance-based design of distributed hard real-time software
090DC587	The LES-8/9 downlink code
7F091B35	The Design of an Automated Unit Test Code Generation System
5E508CB5	Fast auto generated ACADO integrators and application to MHE with multi-rate measurements
7B8BD601	Benchmarks in Clinical Productivity: A National Comprehensive Cancer Network Survey.
8063A0DB	Software Systems Engineering with Model-Based Design
7E825B8C	An evolutionary approach to designing complex spreading codes for DS-CDMA
638AA32E	Cosmic and atmospheric gamma-rays from 3 to 15 MeV
7A34C51E	On DC free magnetic recording codes generated by finite state machines
78F70C91	A Monte Carlo code to calculate transmission efficiency of HIRA
7723F2D5	An approach of code generation based on Model Integrated Computing
7A8C106B	Towards Preserving Model Coverage and Structural Code Coverage
5F26105D	Sandia Ocean Modeling System programmer's guide and user's manual
769B569B	Compiler techniques to improve dynamic branch prediction for indirect jump and call instructions
7F0851DC	The minimum distance of all binary cyclic codes of odd lengths from 69 to 99
