7DA819B6	03E43CD9 790853D5 79BA7BE4
7A1C686F	77324E27 761163C8 5ACB9C10 600369C9 7D839AFC 5B76441E 5C271D0C 83902B9E 7632A5D9 77DA8BE0 7B1711CF 8073A845 7DE3BCB2 7FBFF511 7BC1C519 7577251B 75FB7FB4 7E2C3001 7D8D03CE 7FABD7CF 7E49AA86 808FD230 75113770 7616FD66 7DB93175 807EFDEC 77CE5460 7DCED377 7EA9C51B 62F78BA3 75AABB78 8003028E 7E8C5A3C 76239C30 7BC424C9 5D89B663 5927B7EA 638E3238 7FE6A20E 7E6B8E61 7EB2054A 7EF19E38 5CAA4824 5D9B2305 7CB84B54 5C6F9C5D 7F90B621 7641FFA7 7F99C9A7 7CCB97C7 5F02FE51 5FB4DE45 7C86DEC0 7A1E7224 79659757 7B061D68 5A20CA87 7621C563 76328EB8
5FAE5C20	10B0BBA9 7C7E432E 7EA9C51B 7AC8B9F7 7B942D7D 5B11A733 7AE599A2 77267DD5 80191074 78B10915
75464F4C	6EBB9FB7 7D598000 7FBDDC98 5D8569CE 7EA9C51B 7E0FDB5E 58AD6D80 807968D4 7E73EDB7 022CC9BE 76220A80 7F43A74E 7471AADB 7590544E 7F6A7657 58A2D24B 7F9723DB 5F02FE51 6CFCACAF 7BBFFB3E 7C452E42 60925BB1 80AB5FA4 80E8B91A 75CF66F5 06522C75 803486F1 7D849A60 7F6C0930 7D447175 810B7450 5CA383D7 7A67C7EF 79D7F37E 7E094068 6882CB4A 7D6028F7 7F50078C 7D8197BF
777094E3	7D77055E 77B8CBEB 7624ACC7 7CCB97C7 7E9683FE 7B300F60 768A88AF 7A18D63D 7B69D8E2 695A00EB
777E3191	7A997A9A 7D1ABE03 0C5AB7FE 751EF436 7DF997AD 7F7FDB8F 80ABD1E0 8108819E 79CB9CE1 7E237D77 039A16EC 7D7C563B 7F545866 7C26DE65 6B511E7A 782C8A87 75113770 7F455829 8635BAD8 7E791BA1 811FABEC 6DB9AAA7 08A92B07 7F6C154F 67E0DCF4 5CEED4F4 7EB68090 06327AE2 79B027AE 78B3B5CC 7B5593BC 7D33AA3C 77BCF3D4 7D96C0CD 7FCD8EF9 777C3155 80ADA81C 809698DF 76144480 0065F1C7 78A6FBAE 7DC9EF44 25B143F8 643056F5 0588C7DD 80CD9BD4 7E2D8B45 77BA583C 7DFC6654 77194FB6
618F3CA1	5FE62814 82B3C2C1 7B81B8F5 7BA9D070 5AA4F5D8 756597AF 7D404F9F 0177E99C 0CED5F25 7B5EE05B 5B32C20A 7C02DDDB 7C7D42C9 5E893566 75D55475 8616193F 5D35509B 7974E275 78D01F5C 800E56E3
7F2714A3	76D94D69 5B04197B 0078125D 034C5101 0BD32103 7EEB100E 03F8A7E2 7DDE06D9 7933C8A4 8103BBDE
78BAF9E4	80EFB016 05D8DDA7 7FC9CBFF 5982BC30 7E76803A 7EC59F19 7784C481 7DB4022B 7DFE6695 79A34D20 7E9DF5BF 7E468AD8 7B00E341 7E5616F1 7EA9C51B 689FA895 7BAC244F 808385C9 5D9B2305 7EF4E296 7EA270F0 7EC35600 7F550E42 7F884377 79027890 79EA615B 7498488C 801DAF31 7E755F23 7DA903EB
5BB791D1	60AA92D2 7DA1591F 5D041DF2 5F4AF941 7E8209FC 76B4DB85 595F2858 7705784A 5EE0FDA2 02CFAEFE 066B9CF7
5ECAB879	7D719D2E 05694391 8112B341 60139D20 05E20A83 08ACAF1A 7AB1D8E1 0CD0932B 08FE554B 758476E9 0548B590
