80F47AF5	7ECA3AC7 7D0A377A 59772914 03C781B8
7E7BB75D	81391682 7DEA41B4 7DEEB900 77D0A121 7AC549F7 7CFDF623 13450AFC 7F91CF00 7F26ECF5 60D9505E 770F0F34 7D7ED829 8117EA9E 0AB28B7A 77E16AF4 7D330407 7F3AC4D1 80EB7A99 811B4A48 7DFB14A3 80DD088B 59900095 5E6B3AD1 76872D9C 7DD0397C 7ECAF60A 7F851474 816E50C2 78D0AEBD 6C6A2AAC 80E18282 7EFA306E 5D9C72F9 5CFF94CE 7D0D1298 7D7ED7C2 80373DBF 7A6088A5 7C25DAF1 8178C161
5B35BE24	7F826461 7E7DCCA5 80E40E06 75125B0A 7F4CF31F 8291EADF 5AA71839 598DDC65 8102AF2C 85CB0A8F 7EA6A0B0 7879A30E 76AAE7E9 7B62BFD7 59F83F42 7F314623 7A9DD99C
7D740BF5	7F641C31 5F31C487 7F1A4835 5A92BA58 8167D826 5E4A5E67 0BD359A5 5D119672 5E46C003 04883F21 08DB9FFF 5973296B 787111EF 6C27E7EA 7BDAD24D 7EBC083D 80AC8C8F 7E91D26B 7FBAEF4D 78D7B5EB
8072788A	7552682E 77E42AA6 75FD7F05 7E00F1E5 7F99BA69 7AC882DA 7803424F 5A7E0097 7FD94AA8 7B55617A 8132A5DC 77328B7A 779000F1 7ED35C2B 0449ED93 802C93B3 80DDAEB7 79A2497F 710CE5A9 7E6F2E09 68191F44 7F9DB916 7C4DDEDD 807B4472 7764602F 5C0660AC 796B9646 813FEB12
7D4DB6B1	77BBBB19 808DF85C 7D49B5F8
7846D923	03E72382 0B9D6782 0003ED6F 768DFF63 7D1F755C 7D696400 5DE4B421 596BFFD3 7D094B98 7F029A00 5DC19C1E 7CDC43BB 805CCA7E 7EBBB545 76604022 7E4A5210 8156E115 7E6FD7F1 5D96F27C 7D3D79C9 08EDB48A
0402400D	0A071FB9 8135FFDD 80E5D015 7ECC7385 8146F0E4 042481DE 80C5980C 801B41CF 22500F06 05382040 7E278EBA 2E4BFFDF 7D143B99 7DB49E6F 7E12BE74 7D83DC46 7FA5CE8B 07258497 7D7CB772 7D5511CE
80ECD1DD	7E87BC6D 7ADFEB65 7E0D95D4 7D9F7FD1 02903C75 59DF8289
8154E0A9	7DE2E760 841D6674 5D9D8274 809B8818 037B2173 5D8587D8 785F490B 80AE91D8 5E8280EC 7C7E8D19 753998A2 7F1D3390 7C35B849
76B2F933	7DF3D8EC 7F31F0A2 5EA97905 5C4B1A32 763490F9 7E8D78AB
80CAC789	05E301AA 7DCA8153 5EFEDAC2 7C153BAC 07498CC2 011E9681 7F4DDABD 7F8EF38D 753204A7 5B20D74E 7E2A0D18 7EA40803 5CB33F32 7E2EB381 5EFD9300 5B705337 5BC1DEDE 77D77397
04032935	7BF61C7F 7CF4EA56 5EE0F140
75D68C5C	58A7217C 7D58EF40 7EE178DA
7C4BBBE8	81D6588A 7AE15958 78A155AF 5D743163 0686FBB1 78B44F70 75D47801 5A5229BA
7FE478C9	01D8E49D 7928FAE1 7D5D00C1 7DFB2D7D 5FB95C8E 7F9A2B27 7D61A84B 804BB381 80F3124E 8589DFB7 7FA19DF6 7A285086 5B7B1F3D
7CFEA9EF	5E17F183 068B69D3 811E405E 809194CB 76B9E6DA 5D6E2D8D 807D39DA 7EE1AB19 5E9B051B 8108DAC2 7DC6D651 7E1C2B73 80856920 80F31DB0
0217CF53	0500D54A 7CEAB442 001CA34A 0ADDAD32
7F2049A3	8095C1A0 815C3F4C 78B9CA66 5D076E06
7E75D97E	810BF715 61B49A3E 7ED19EE3 7F993CAE 0BE75740 76CC27F0
7FFA9198	7EED2846 7510BC80 02F9DC77 7EE219C9 76A9AFE0 7D25BFCE 02DB398D 758074DE 754D800A 79757EF2 5F5EE07A 78F608C2 5C66BF18 77A40CE6 7E6D27FD 7F96B7A5
7DA3410B	5A97C9B8 713CA283 7E29B025 0517206C 762C3D04 5A94F5BE 78BE6F8B 7198EBBB 7F623505 0CEE63FC 79122429 7EB9CD64 7DBD9534 78990E22 7AAD8494 7D8C1CD8 61B1A771 83AA51BA 5E878507 7DC0A965
76CD4482	7C70821C 77BB9417 7B3DF82A 5CAA4824 79A0C1EE 7D4DDE81 7A88DD47 241AABDB 75C8837C 7FEF4149 825E7B7B 7CBAAC0A 7708FED5 7C1D8BE1 811E5B91
81773EBF	0ADE618E 7CD0FE3C 7EF66B62 76A25065 5B7F3254 7F9F63C2 76D884EE 8077E97F 5E46AF18 03FAE1E0 760B3611 7DDC4292 7E9ACCD5 752445EF 5D849E19 0636C0DD 5B3C1D5C
