75E9EE08	7490F672
7F22847E	7F6BDD5D 6028108C 7FDA505B 816E8222 7E2EF78D 78F644A0 5FD16321 80FEF5D2 7E7628FF 80B25B9D 7F0BCE20 84E66F8D
7F007FC0	595C8F39 59FD1042 7651658E 78304A16 62092FFC 5E871B1B 7EE9C347 8120551F 7F6FFE67
779BEC85	7752AF3C 5DE7DD97 7EF338FC 7BA5489D 7B7E0982 5AD0CBED 7F231A0D 7B3B34FB 7786ADA9 05B9F40A 7A3A2B59 03415C9E 5F33082A 7B2B9212 7895DAEC
5AC7995B	7F9BD5C5 7EEF0763 7EEBB383 7E1D7F6E
7F7FB262	802CBC75 73EAA7FD 7EBB7330 80C8C95B 7D1CBA1E 7DFB378C 5AFA871F 7F8C040D 584E2C27 1480D030 77E395CC 7927F451 77279494
780EE407	7C434E02 8123F62C 7B4B0D8A 80B756DF 7A0C1E2C 756D4C5C 7AC61A3F 79BDB1BD 7DAA8F99
7E976B01	5D468096 81702C02 5933BBC1 5927E8A3 5CA16D74
7D6EAD82	015F8A9E
760D3031	5895B491 7E6DC8E9 757721C8 5987EAEC 782D951E 78B02431 812ED92B 7F540B7D 7809544A 7B9B7326 761D8CD7 7B97A6D0 7732A2DF 7B03CE49 814D7531 22FC0FBA 780A86BB 7627EC73 790AE57E 7B948FF9 7C8B50DB 76CA837D 78F193F2 785761B5 7BE72418 7A0EB73B 799A9EB8 805AE015 7D2570C9 5DF042DC 59F2F67B 75BE051D 79E7702B 75654EFD 7AE70E90 7B345951 7A9BAA5D 7D032BC4 5C2D1FA7 7F433786 75E9B511 7D1DF289
8032FF84	7F671AE9 7D86DA20 7DA4C952 5EC7001E 7D9780FE 7F99CD2F 7DE86F40 7FB83E18 6B5D793D 7B5A5BA4 7EE42C0D 0AE8E4E8 7B2C4676 808500FD 7CFE2D5E 7DD6AA7A 016AD384 7D50CEDF 7D98B869 7E483196 7F3433BD 813FF46C 7C0FD803 7D399286 8157B8B6 7C0BD8F7 01FAC756 7D099681 7DF2256C 7FC6349F 812B2739 8123F48B 7DACDFA7 7D5A81E6 7DDB1F53 7FAB73F1 808FFC40 0BFBD052 7ED2B220 8095883C 0136AD1E 7561E53B 7E7E5BB4 5C3800AA 813F582F 7BED0E1F 80A7F12A 7C967621 80079B40 8025C887 00096420 5F591A42 7D140978 7F3F3408 79577A74 7D3DB9B2 7E177952 7627D55D 7FCEC45E 7694C374 7F924931 7D467E1D 80F56278 8134356C 79E39BED 8044D090 7DFFFC97 7F42644B 7D65E10A 7F68D24B 800AE64C 7A467FF6 7DA55B11 7DF3E176 7E978D42 593FAC2A 64DC7C8F 6EF603F7 79605C96 7A0ED85C 7EBD7572 7F6BDD5D 802AC4BC 58E3B072 7A49DCFC 0A04F0A2 77986D8C 6028108C 7EF081C9 8028A1D1 77D1437D 7FEE440F 59460D02 5FC85726 7E1A4733 81645F48 5E8D6F4D 7C9C2B58 7E09B829 7E2E32E4 80A56483
7ED03319	760037E6 5887948F 5F981619 7FD91106
7DD164C2	7DC49D48 7DBA613C 7EDF29D1 0BEB0CD5 80373DBF 7C65DF43 5AE34E3A 7C1FB9CD 80D1A7F5 7D4E1D4E 09572B46 76BE6E44 08C1B050
761057C1	807764F4 7951758B 7987A63B 778D1A84
7566DF67	77825341 727A0BD1 78D0C01D 73149753 7862ECB3 7AC3366E 7D4B3B9C 078E8DEC 7B01E982 7B0C33BD 7BF1CB19 7F6153FF 7C7B5954 807A2997 7DB050DC 8303A4B3 5B9F7728 80FEFC99 05DFA7A1 221335A9 7DCA122F 7F0923EE 75E2E2D0 76F24CB0 5C5FF49D 7938C9D2 7D5B1C1B 80DDD350 7C543737 7E944FC8 77799470 7FCDF158 7A715884 7E167FF3 75959FD8 79F611CE 7CB1B0F5 7D515B47 7E9B31D9 7688E958 751948AD 7D7D0638 812BFE6B
76E83F3B	7ABEAEE5 792C5F30 78F9A392 7E93097C 753A577F 7C89A074 6C108F7C 7C1970FA 12EBE335 78A56958 7628AC30 7F259AAB
82E31784	00909AF0 79C5B6D2 7ADBEEB3 7D1C5E0E 7EA3BD07 7D280614 7F5E4A5F 7CEB4979 75B8353C 75D3612C 7A3B2014 7DBF8F63 7C75F188 777145C5 7B1EB022 790759FB 22BCA699 75CB5EA8 7A3E238B 7B25C0AA 58585EE9 7714C3CE 802CBFC4 7B5E8813 79FE4A4B 761FE084 7E4DCE28 5CE4F445 763EE73D 7D02C67C 79B6FE7E 7C8BE1D6 788441C8 7C5BB262 78908EE8 7AA5B880 7BB7E8D2 76E244A5 58E33D85 788A30BD 7EE5F4B3 6D311866 77C16F70 77D6015C 7A980A53 7C59856F 77442E6A 77F48442 816AEB01 78A1A121 7834645D
7E2E6DE5	5F8027BD 7C3860B0 08C3DBE6 7F3872BB 81316FB8 5B104758 7CA60ECE
7FB1345B	7DB45737 7FBD6405 81158F01 7E49F648 7D976279 7EFB5EE6 80C8CD6A 80401D66 5F32F4D0 5858ADBB 807A339B 7E2B66C9 7AE6ADDE 6D27F157
