7D9D9127	5DA4D49B 6188C129 5990B0F3 5EA4F979
7C9D8E68	7517C9E9 7885A501 76DAF2DC 7A18BB0F 7A2F704C 7A47DBAF 75167634 79516DC2 7CCC5FCA 7CA959FA
80B765CB	09DE6A8B 7E5A5396 8012816F 7ECF8F93 7EC5CE1F 7FDABD94 808F4B9E 5832949C 82461E3A 5FB7DFD3 815FF074 7F1DB672 7F0AC486 5846BA81 7F9E8782 79C9F610 76287EA2 5E3FBB4D 7D8220DA 80CC8B40
7EB9B2FB	8195F155 84257C19 7DE68EEA 7ACF6D44 766EE834 5BD2DDC0 7DDA1B04 80C2180A
758ACE97	7D2171D2 7E4B8249 7D80400B 01C5391D 632E37AC 7928E890 7F08FF3F 7AAAB9A9 7E75C54C 6B63F5B4 7C03E125 8149DF52 77F14254 7F0AC486 78750253 80373DBF
7D5FFB3F	7EC90937 255A59D0 7AC02D56 7B10F41C 7BD16A43 78646DBF 7E784EF1 7EF4024D 809688C4 7DA6EF11 5C5D99DD
7E5685FC	5DB50BFF 7D864557 7DFDD32C 610A8B23 80FB49C8 81FE5B11 8166F49B 7C9076EA 7A9BB61F 7E3F59F6 7FFF4977
799DB7AC	621B3754 763B7FEB 7BFA1D71 80F0B909 7770FB96 76DD4779 75728B14 6ECEDC97 799C665B 781639DF 7C49193E 7EC52E15 756435F8 7FF6FA46 7E342EDE 7A3A9013 7985CC30 79A8EB33 7B034336 7F3346DC 7679E847 799773A7 7B5E6446 09A95A0A 79F53D8B 7A0B58BF 7C0A300A 785E5DF5 7A31FFA7 7FE44BAB 790B5005 7968C1A2 76CDC276 7AAE37F7 793C5425 7ADDBDC6 76A3224A 7A3A59F2 631D944E 80180694 75D20E5C 7F85CBE5 7A44169A 7BE98173 8163DED7 76E56C26 7C2E1D86 607D2380 7CEB2FFA 6F26C8F2 7EB72903 01A2272B 7A14A0BE 7C0B6B38 79C79C5F 7C30017E 7C33667E 5C0ED675 758C771C 76988B5B 7E19BA15 7C2E7B84 7F1C1A3D 81D9889F 7A56C343 7B9DDE5C 7D8F5F1E
7F5E29CC	8045B719 02C02A94 7664401F 7782B440 763D2157 79081387 78498467 7C353B58 7E2FC3A7 8379631F 7A2CCF63 76101A74 8085BD27 7C7E24AF 7AA0B885 584F084E 7D8F7CFC 5E8976BF 7F835440 7B68D329 78CFD4A4 5BECD512 5FB79354 7C251600 751F0029 78BDC0C5 4B5C9C22
770149E4	76555F97 765F3FD2 7954B7EF 80BDFDA4 7F25FE7B 7C057CB8 751A4082 75D22A43 7CE11DB7 618247D8 7A40D56E 81761966 77DEF882 7C7E8341 09347709 7821C8A7 77A1EE7B
5A3CB81D	7FB3C196 81189B88 8133FC37
77CC69F1	77291C68 7F19D5D1 787C02F9 78EEB2C9 770D4A45 78212759 7919709F 7DC42217 7F058426 7BC2AD8A 80E81561 77234953 7B05D7B0 7ECE71B9
7607EA70	7B45DA05 7FAA5E20 598712F4 7D484FAD 7CB595FE 8124F4EF 7B2A40EE 801AB082 81317298 7AD1386A 7D07EB6B 58A3C494 58473525 7E8B42A3 0C20E912 7A6BBA29 7E05B10A 81119718 7584025F 7B1461E5
7D0A6CFC	7C86ADD6 7B0D269F 79B944D7 7C8B8698 7E2B3837 77F89C77 783010FB 8063B338 80693131 76A399BF 7FFF4977 7DFDE519 7BF64AF6 7CE92C95 81180481 7C484139 601BCD07 80FB828F 76AD9355
7EF9C410	7C9F554B 756B855C 7A448030 791875AA 770E5C8D
8025DD56	7D29DD43 7EE651C5 814EA233 09DE6A8B 7CAE8905 79ACEF8D 7DD8047D 7F3BDAF2 80B505C6 7DAEA6F0 7EF6CCE0 7F913213 76D8E445
80F97820	7E66D077 7553EC7D 75ABB4B6 7F743ED6
7DA7A375	80290A31 5DBD2410 7EC3041B 80476DC5 7F15EFF9 0C20E912 7D4A392C 8124F4EF 14E16DFD 5CB9FF14 81317298
7B5A857A	7860A5E6 75807FDA 7A0E2C23 7A8C8F4F 770E6539 7A4C77E8 77BE3E8F 6191A535 77AB4DF3 79B0BCB0 5AE46F7C 7CC01CF2 09E401DE 75654250 7D1D0143 75AA5E4B 7AE51408 759BF1E8 76F1664A 5B5923C4 7C503181 7B0A4200 05DCB9D8 783EB89E 8011D3F0 046A9ED4
7C210EE2	7A875727 79414929 7CB72C06 7D58AA8E 80969F7B 7E5F85D8 797A02F2 78AC7002 7FF79A19 7B434654 76C06768 8007B0B7 7773C460
7E216A90	7E0B468A 806ECB7B 79485D1E 7A062158 76E29032 7A74B335 80CE7448 75123D40 7A2FC900 81280F97
803E317E	77766E24 778EE99A 7B9F2BC2 7D3882E4
7D3341C2	750D49FA 759FF914 12085C6D 5A18872A 7D7BA371 773DC564 763D5F9F 7907517E 7BF5911B 5B357403 7687CDA3 7ABC6DF4 760B1C22 7C22E3FE 807F354D 765F165D 7F1A4B37 80ED9B8B 5AEA19B1 7547F80C 78CE5501 79A1BB7E 78E2604D 7D47A4E3 813BF60A 76FD9EF6 78B5BB0F 7BB0F451 5CCA77EC 77431D5B 7888A06F 7F4C8C9E 5A63B9F8 7C850447 7F2EE80B 7A1CE21A 80BCE9C9 79BFBD12 7B7DCEDE 767DAEBF 8018983D 81108ABD 75105DC4 7F09CC65 783AA0E4 59639F6C 5BCB6850 75D284B5 7D594D8C
7DE7A6BA	7F5B23B9 79361C90 755F40CB 7E8F0C2D 814AD466 7E84FDB4 7975C278 6F5902FC
816FC85A	75881513 7F254E6D 80998404 7FF13EC8 76855665 7CF07E3A 75C81253 80E91E1D 7CE6832F 61521EB5 78ED6E36 5CE04352 7A9D17AD 7BFE878C 7B5B53E9 80ED2A19 7D5DA524 790E4B79 7BD2D33A 76317062 752F1A59 7DF290F3 7FA1E3EC 7D3419C1 7EB74227 784D9344 785B598F 7DBE83AA 80FF08F5 81645F6C 7BDEFF6D 815FB022 0ABB8D88 7687FFCD 750EE230 790A9454 7D02F509 8250F676 77E8E934 75BB524A 79193C46 812A96D4
7A39260B	75500CAA 78B5E0D1 7C2A4B20 7E964B8B 7823B0BF 798E975D 79801006 79F52A63 7C6E3E7F 7694DAA6 7A12C6FD 7A165711 7B886B94 7732BEE4 7A63593D 77279931 78702AE8 7A24AF98 76643F41 7B7C890E 7C3B5D50
7BC56C67	796CD50E
814B4F50	096D8E9D 7EE18B70 7D558045 7ECC2C3D 329D5993
7CF3D404	7A2E8B60 7EE2CE30 8087894A 800ABB69 7C5D2D53 7C424ACF 7F5A0007 7AB18011 7DC324E3 7FEC9949 7ACEE9F5 58B752C0 5E1CE943 7B3E6B8B 7ADB758D
