7A548A2E	7E2A9B42
771A29B1	7D7926FD 79E079EE 04DF1B25
7B7D7991	76B6A04C 79D920B5 759F1180 797900CE 75158ED2 786C26BD 7912D92A 75C205BF 7DE72FA9
7E020809	77D837E4 81F802FC 81872C55 835E8739 7E3E479B 75A8A513 81E76AC1
7E685C4B	8196C853 7814B3CE 7BA465C1 80EC705A 7F7CD997 77F87CCC 7D31D774 7A062158 76F2581D
800E298A	0841654F 78F03441 7D465BEB 7831D3F1 7F28B6BD 80B38D82 7A83319C 7CD67892 5F56E938 77F71115 767288F9 7834D30C
79058CC0	0B4496E8
76FB24DA	7EF6CCE0 7F81AA73
7B2A34DB	241F3D4E
79ED0DA2	592F9943 79484CDD 78C0B557 6F6297AE 7C9A0957 78E5B651 7C91A130 75B86532 76CAB4A1 77DA5386 762C3546 7CC9F915 762C5B63 80F01486 79C4D078 78A07F47 79EDB42D 80CB7671 7D0ACE9C 7ADF2465
7EB9B2FB	8195F155 84257C19 7DE68EEA 7ACF6D44 766EE834 5BD2DDC0 7DDA1B04 80C2180A
0C5CDED4	788ADF37 81123988 0A87E433
76A2A0CB	754D9F7C 811D718D 7825D771 7C06FFF9 7BBEA8C7 81395F69 770D29EE 7F604B68 75F2452A 799595E3 7CDA8B76 7C3C9928
7D1FEF9E	7EAE1DD6 7C36FD23 7DF2AEDC 7F9295E5 8112577A 7CF3A836 77E55613 79399E5B 59665180 7F040545 8100892F 7E0BC854
778872D3	7DD70B82 7A011DCF 77ADB6FA 7A65FCC6 757CCBD9 79B6A3C8 7C9448B1 77CC2CE1
5DAEF664	7EACF23B 7DE30409 7EA35ECE 7E4B1EBD 7B8655A5 5F75FAD5 7F912D1A 75985ECF 60616809 80D5BF86 7EC73119 806E5D06 80780D89
7E1C2BCB	066FA5B8 77C6016F 7EA1D803 7BF13B6D 8167F9A4 8005D9C7 80AAAC70 79EC0927 75DAC72C 074CED68 7CD48AEB
77DBC808	7BE15028
76928810	79D3C3A4 7C784692 77219F1B 7933733D 806F24FB
770149E4	76555F97 765F3FD2 7954B7EF 80BDFDA4 7F25FE7B 7C057CB8 751A4082 75D22A43 7CE11DB7 618247D8 7A40D56E 81761966 77DEF882 7C7E8341 09347709 7821C8A7 77A1EE7B
7F2DF581	7AF5E4B0 7F905564 80FB137E 7BED3C0D 755F8C77 80B1AC70 7DF135C8 7E46365E 7D6A605B 806ECB7B 7F5E6162 80E234D7 7B8DD37D 77FA813A 7DE2799F 80283785 7E224C58 7A287C39 81FF533C 7739D25D 78B192DA 7C5156BB 7E2BF878 7B6C3E87 80C2180A 7C03AAA2 7D2B41B6 7DA7C147 79C42F8B 7E7496EC
8087C791	74437DAB 7E93D6AD 7E621779 74BFA162 77CF5863 751C3D81 78F9A9FA
