7C85869B	Wide angle Earth sensor
0F713B3B	Observations of the diffuse X-ray background below 0.2 keV and constraints on simple models for its spatial distribution
07D4406F	Detection of the second eclipsing XRB in M33 by Chandra
63DF260C	Radio-astronomy antennas for 3 deg K cosmic radiation measurements
7A548A2E	Views of ocean processes from the Sea-viewing Wide Field-of-view Sensor (SeaWiFS) mission: introduction to the second special issue
771A29B1	An experimental cone-beam micro-CT system for small animal imaging
76E27D07	Thermoacoustic CT scanner for breast imaging: design considerations
76D9AF8D	Scatter correction for cone-beam computed tomography using moving blocker strips
7ACAF5C5	Novel star identification algorithm utilizing images of two star trackers
03D6BE00	Limited scanning arrays and hybrids
0645D859	The first light of the Infrared Imaging Magnetographat Big Bear Solar Observatory
612A5A3C	Far Infrared Fourier Spectroscopic Observation of the Earth’s Atmosphere from Spacelab
099BBC3B	Statistical Study of CMEs with and without Distinct Low Coronal Signatures
006B2B08	A Sinfoni View Of Circum-nuclear Starburst Rings
76091924	Foveated endoscope objective design to combine high resolution with wide field of view
00C3EB7E	X-ray Observations of Embedded Young Stars in L1630
77EA7F6E	Evaluation of temporal stability and spatial uniformity of blackbody thermal reference sources
7E6CEAE8	First results of IBIS/ISGRI Cygnus X-3 monitoring during INTEGRAL PV phase
0AA155DD	The Baseline Design of the LSST Camera
77A8ABFD	Simple 180° field-of-view F-theta all-sky camera
79058CC0	Analysis of LBT LINC-NIRVANA simulated images of galaxies
03D2F3B3	Hard X-ray Bursts by INTEGRAL in 2003-2004 (Chelovekov+, 2006)
637D5CE2	Numerical simulation of the anisotropic scattering of the gamma-ray burst at the top of the atmosphere as a probe to measure its polarization
80DC2930	Far-ultraviolet objective spectra of comet P/Halley from sounding rockets
78B0A7E8	Effect of the frequency content and spatial location of raw data errors on CT images
7C4D0230	The GTC 10 m telescope
77A14AB5	Luminosity distributions within rich clusters — II. Demonstration and verification via simulation
7B61205B	Lobster eye optics for nano-satellite x-ray monitor
24A73353	Rotation and Translation of Vehicles: Some Aspects of Their Dissociation
6228DA68	Large-format CCD Photometry of the Globular Cluster M5
5CDBB215	Multicamera imaging for three-dimensional mapping and positioning: Stereo and panoramic conical views
7C1E9D89	Comparison of imaging laser radars based on range gating under different weather conditions
0C5CDED4	DEVELOPED TECHNIQUE FOR AUTOMATIC POINT CLOUD TEXTURING USING MULTI IMAGES APPLIED TO A COMPLEX SITE
78C054FF	Impact of scene changes during data acquisition in Fourier spectroscopy
00F4B0E7	Observational Cosmology with a Small Telescope: A Search for Amplification Bias
78E9B4D4	Technical Note: The Relationship Between Magnification and Field of View for Simple Magnifiers
7E34C085	Consideration of glare from daylight in the control of the luminous atmosphere in buildings
233445B0	BEDEUTUNG DER SICHTVERHAELTNISSE FUER DEN FAHRZEUGLENKER UND DIE INSASSEN
64288426	Swift/XRT Observations Confirm that IGR J17091-3624 is in Outburst
800CF6E9	Near-field second-harmonic microscopy of thin ferroelectric films
7C70BCFD	Starfire optical range long-wavelength infrared acquisition camera: initial performance report
7CC66746	Strong Lensing by a Node of the Cosmic Web. The Core of MACS J0717.5+3745 at z=0.55
5BE20293	An effective scatter correction method based on single scatter simulation for a 3D whole-body PET scanner
752D9491	Third-generation naval IRST using the step-and-stare architecture
272E93A7	ANALYSE DU MILIEU PHYSIQUE ET DE SON INTERACTION AVEC LE PROJET: PAYSAGE
629808C8	A VO-compatible Information System for 3D Fabry-Perot Data
5DAEF664	Research Steps Towards Human Sequence Evaluation
59BB5294	SkyMapper and the Southern Sky Survey a Resource for the Southern Sky
7667FF32	How to Identify and Separate Bright Galaxy Clusters from the Low-frequency Radio Sky?
7E020809	Development of the ASR-PET for small animal imaging
777F62F5	Advantages of a new subnanometer aspheric profiling technique with respect to the unique requirements of EUV lithography mirrors
777614E3	Satellite-instrument system engineering best practices and lessons
7E1C2BCB	A simple and accurate method for lens calibration
769657D6	The narrow angle camera of the MPCS suite for the MarcoPolo ESA Mission: requirements and optical design solutions
77D3165A	Application of polarization interferometers for Thomson scattering
757CEF9C	Aerosol scattering and absorption modulation transfer function
79B6F992	Pinhole Solar Monitor tests in the Basilica of Santa Maria degli Angeli in Rome
78D8B70A	Extension of Laboratory-measured Soil Spectra to Field Conditions
77279D48	A ten-year monthly data set of outgoing longwave radiation from Nimbus-6 and Nimbus-7 satellites
610A1B33	Wave propagation and the formation of fine auroral structure: New constraints derived from high-speed imagery
62FD448D	Weak lensing mass reconstruction of MS1008.1-1224
08990F98	X-ray experiment on Prognoz-9 artificial Earth satellite
21881D4C	FORTSCHRITTE DER VERKEHRSPSYCHOLOGIE (1)
78119D71	Preliminary simulation studies on a cylindrical PEM scanner using GATE
78D72676	Calculations for and laboratory measurements of a multistage labyrinthine baffle for SMEI
23B062A2	Fahrtauglichkeit und Fahrpraxis bei Personen mit neurologisch bedingten Sehstoerungen
7DF03460	Automatic change detection in an indoor environment
02D31DA4	LSST: from Science Drivers to Data Products
127119A8	Exploring the Moon at the Microscale: Analysis of Apollo Samples with the Multispectral Microscopic Imager (MMI)
60DC0F90	Hard X-ray Imaging Sky Survey (EXIST-LITE) From a ULDB Mission
7B90FD3B	Improved Multiplexed Image Reconstruction Performance Through Optical System Diversity Design
0B95F31B	Preliminary Balloon Flight Results with Prototype TIGRE Gamma-Ray Instrument
77B6ED68	Meteor trail advection and dispersion; Preliminary lidar observations
60F99CAE	Collective Transport in Two-Dimensional Magnetic Bubble Arrays Subject to Random Substrate Pinning
76381A4C	A Two-Exposure Technique for Ice-Embedded Samples Successfully Reconstructs the Chlorocruorin Pigment of Sabella spallanzanii at 2.1 nm Resolution
8087C791	Diffusion‐weighted Imaging Abnormalities in the Splenium after Seizures
7985641D	On-orbit radiometric validation and field-of-view calibration of spaceborne microwave sounding instruments
60BDCFBC	Optical Observations of XTE J1810-197 and SGR 1806-20
5DFD24E7	OSIRIS: Status and Science
75C915FD	Position-dependent scatter response functions: will they make a difference in SPECT conducted with homogeneous cylindrical phantoms?
78BC90F4	The Imaging Vector Magnetograph at Haleakala : III. Effects of Instrumental Scattered Light on Stokes Spectra
7889564F	Inertial microfluidics for flow cytometry
75BD6428	In-flight evaluation of a fiber optic helmet-mounted display
7524CBE1	A Reflection Goniometer for the Microscope
81B9710A	T-SPECT: a novel imaging technique for small animal research
0C1A55CF	On the fly localization and mapping using a 360 ? Field-of-View Microwave Radar Sensor
750BF446	A magnitude limited stellar X-ray survey and the F star X-ray luminosity function
091C94D5	A LUT APPROACH FOR BIOPHYSICAL PARAMETER RETRIEVAL BY RT MODEL INVERSION APPLIED TO WIDE FIELD OF VIEW DATA
5EDAE29E	Astrophysics Motivation behind the Pierre Auger Southern Observatory Enhancements
0824B9A0	Investigation of Surface Wave Blindness in Microstrip Phased Array Antennas,
059FBB72	SPEAR Far UV Observations of the Interstellar Medium
790FF096	Intercalibration of SUMER and CDS on SOHO. III: SUMER and CDS GIS
78CA11EC	Extreme-Ultraviolet Emission in Abell 1795, Abell 2199, and the Coma Cluster
775C31B8	Development and performances of very long stripe-filters for a multispectral detector
63B69213	Motor protein and microtubule mechanics: Application of a novel high-resolution optical trapping technique
7063C83B	Joint Efficient Dark-energy Investigation (JEDI): a Candidate Implementation of the NASA-DOE Joint Dark Energy Mission (JDEM)
7C5AE4CA	On Prospects For An Extremely Large Optical/Infrared Array Telescope
7AFADCB2	Laser-and-holographic measuring complex of FSPC GIPO
093ADF68	Checking the Pointing Accuracy of Air Fluorescence Detectors with Star Light
78D33616	Model of backscattering light and signal light for atmospheric range-gated imaging systems
7F71FC3B	Fast spin-echo MR in hippocampal sclerosis: correlation with pathology and surgery.
76A90616	Development and preliminary field evaluation of a field-of-view near-real-time 3D stack plume model developed for the measurement attributes of remote optical sensors
60ADEFAC	Implementation of the GNAT Network Design and System Configurations
02A3234B	MESSENGER X-Ray Spectrometer Observations during the Second Mercury Flyby
7E09EBFB	Automated lateral sectioning for Knife-Edge Scanning Microscopy
107AD62C	Günümüzde Kullanõlan Optik ve Sayõsal Küresel Fotogrametri Teknikleri (Digital Spherical Photogrammetry Techniques Recently in Use)
6282E4F1	The LAMOST Spectroscopic Survey of Milky Way Stars (LEGUE)
025538C7	The Advanced Gamma-ray Imaging System (AGIS): Topological Array Trigger
79C77E59	Kepler Eclipsing Binary Stars. II. 2165 Eclipsing Binaries in the Second Data Release
76B73763	Einstein's aberration experiment
640D8905	The High Resolution Imaging Channel of the SIMBIO-SYS instrument on board the BepiColombo mission to Mercury
76E12A09	Experimental tests of a mass‐angle spectrograph with poloidal ion optics
0C82038C	An Advanced Ground-Based 1.6mum DIAL for Daytime Measurements of Vertical CO2 Concentration Profiles in the Atmosphere
75FA3567	FUSE attitude control: target recognition and fine guidance performance
620F3DCA	Extreme ultraviolet lithography: A few more pieces of the puzzle
75CBBF0B	Deep submicron microcontact printing on planar and curved substrates utilizing focused ion beam fabricated printheads
77973BC3	Uniqueness and reconstruction in magnetic resonance–electrical impedance tomography (MR–EIT)
7534A301	An automatic GUI adjustment method for mobile computing
7FAD6518	Design and measurement of an active array antenna for an airborne X-Band SAR/MTI radar
7573EE68	Integral Field Spectroscopy of the Quadruply Lensed Quasar 1RXS J1131-1231: New Light on Lens Substructures
79B829F8	Imaging lidars for space applications
77218189	A novel design of a high performance passive millimeter-wave imager for security
623FCA64	Collimated projection systems - More realistic flight simulation
79876E32	Autoclavable Two-Piece Noncased Wide-Angle Contact Lens System for Vitrectomy
09B1EF18	A balloon borne telescope for planetary observations with a fine pointing technology
77670C09	A Multichannel Wide FOV Infrared Radiometric System
6016F435	Large Halos of Missing Baryons Around Galaxies
7DB5E467	An electronic travel aid for navigation of visually impaired persons
76E564DE	Design and Modeling of Omni-directional Vision System Applied in Autonomous Soccer Robot
63662ADB	Measurements from linear array camera images
76FC2F36	Infrasound - the cause of strong Polar Mesosphere Winter Echoes?
7551B3FE	Theoretical modeling of a detection system based on optical coherence contrast
7ABBDB5D	Optical design of the infrared camera for the Galileo Telescope (TNG)
78CFD5F1	Mosaic array cameras for NEO and space debris
84AC6872	RGB 레이저 가시화를 위한 축대칭 구면 f-θ 렌즈 설계 및 프로젝션응용
61036605	High-Resolution with Large Ground-Based Optical/IR Telescopes
00056171	SMALL SCALE DYNAMICS IN THE QUIESCENT CHROMOSPHERE AS SEEN IN NST DATA
058E9164	Spotlight: Directing Users''Visual Attention on Large Displays
76F8357B	A convenient and practical means for studying light and color minima in any part of the retina
7D618B83	Dense Optical Reference Frames: UCAC and URAT
7C8899E9	Investigation of Thirty Meter Telescope wavefront maintenance using low-order Shack-Hartmann wavefront sensors to correct for thermally-induced misalignments
76FB24DA	Decomposing non-rigid cell motion via kinematic skeletonization
7E31DC4D	Torso and heart dimensions of cardiac SPECT patients
7EE8830F	Stellar populations in the central region of the barred spiral galaxy NGC 4900
620CEFF4	LCOGT Follow-up Of SuperWASP Extrasolar Planet Candidates
80FCC317	A post-beamforming 2-D pseudoinverse filter for coarsely sampled ultrasound arrays
786CE6A7	Three-dimensional dynamic deformation monitoring using a laser-scanning system
766F4D38	Specimen-induced aberrations and adaptive optics for microscopy
7438732C	A targeted sparse readout for multi-anode photo-multipliers and optically isolated crystals
78794FD2	Evaluation of flow characteristics of soft-tissue vascular malformations using technetium-99m labelled red blood cells
786CE6A1	Space-based visible all-reflective stray light telescope
784B04BE	Regional alterations in cerebral growth exist preoperatively in infants with congenital heart disease
760E069B	Very High Energy Particle Astronomy with All-Sky Survey High Resolution Air-Shower Detector (ASHRA)
7B2A34DB	Fermi Gamma-Ray Space Telescope: High-Energy Results From the First Year
77CFF22C	Three-dimensional imaging of stem cell distribution within tissue engineering scaffolds using angled fluorescent laminar optical tomography (aFLOT)
03264B79	The Chandra Field around LS I+61303: Source Identification and Analysis
8005C98C	X-ray fluorescence study with pixellated CZT radiation sensors
7ADD30F4	Adaptive beamspace focusing for direction of arrival estimation of wideband signals
