7F4E0361	7D3A7782 5DB3358F 68F82583 7B28088E
59EC2620	80725C7C 81B221EB 116573F5 7DF2479A 70699CCA 79825579 5AA5E72E 7F9D10E8 5D79BE9E 5CC9468D 7795143A 6E7D3CE3 04C8BD54 0B179CCE 812362FA 2E1C9F56 221A5177 057DBD88 7E15C6CC 03F5EF53 5D6978DA 7F4C4BF7 7551C5E8 81A928AB 610AD750 7E7D048D 5C55C09E 7D4C32EC 5D978A06 7808183B 5A8FD982 07638C4B 600D2D4A 80A158B4 7B38BDBA 7AD112BD 7A1118EB 05D70993
7F233C6B	6CD9F508 76C90E35 79EF599D 765DAC65 7901F2A1 7BF00DC9 7F5C630C 5861726B 78017E56 770BA31B 7A54DB77 811807FF 7F94B6B9 7E6F1552 5D828556
053DC317	786B1CDC 02F27994 7F762D89 68FBE28B 7698751A 7E9F08BE 7F48983A 5EE2F3FF 7FCBB5BD 7719E97D 7D1B664E 791FDAB8 7EF92FBA 806E7361
7CF78BA1	7E2038F6 7D68EEEB 814EE478 7899123D 7EF9097B 7FE65BD9 7F774BD9 7999D46C 7AC15506 75FAB18D 80EA4643 7F15814E 7F6746ED 8077EDF6 81320F34 5BDBD9E2 78E92E38 7FE9DF6F 78D9F09C 7D132CD2 59A36E9F 7D69F367 8019F592 5B096C9D 7D62157F 7D0F95D4 80846D63 7DB4F4E6 7A7FD3E9 7557A1E8 81475F4B 7E4BB835
58B410B3	7E1B88D8 7DE72A61 7F4CBB48 7E4B8249 63EA4F79 80D7976C 81528E02 79416470 70128864 5CE8A7AE 5EBBBF44 7FBBF02A 8179049F 81163150 7F70E674 7EA3B7BC 7D634906 7D776D32 0B534C4B 7EB5F6BC 5BBD8080 805BF373
7992383A	79D6BE92 7A4B4010 5DD4C6CD 081BC2C2 7A9537A7 0F35C2A8 77264BAA
817049A7	7FDC84E3 5AEDBC53 7DA7EFDC 75317587 8133FC37 7D900E48 6F12D577 7CC299B6 5EF30BAA 75DAC72C 074CED68 5832949C 807B3BD0 7D4BED33
7F883A83	7D69F367 7A614DD1 7987F282 058B4AD3 584C2C08 7D17846D 5CDD62E4
7E196210	79F06982 7E42E328 7E10D225 7F89E995 7BE39583 7E163F59 80B0F31B 0AE6CD45 59A7B144 81052849 7E751ECA 7ADD2DC3 80C0E86A 7F6631EE 7FE24AD1 7D1B664E 6767C47C 7DE791F5 621C8E9E 783ABED1 7F762D89 5C458635 81366ECB 5EDA9C10 7DDC1D52 7698751A 7DD83B01 7E751047 8039002C 7DB31DDD 7707F84B 7D0CAC76
727D7813	7DAC0829 7A8124DE 777A1D6A
5EAAB398	7DE7A38F 78760042 13C1E375 7FBE8234 08DAECDC 5B64C274 6F439BAF 7880F054 5F927AFF 78E58EB3 7B8F89C2 5CF4A239 76499286 58FFAD45 0DBC0887 58E386B3 7F18B9ED
8097F1BD	7E10E75A 791D0922 7764ADCB 7C0F86E2 5F3787BB 815C7A45 753DF320 006E0C28 61B1A771 77D5EFE7 7ABA4D6E 7EC0AB76 79B84543 7848A3F6 7E796507 75860CE6 5EA1AE7C 7CCD0F6C 7676365C 7C9DBC76 7FAF1FEC 814CF7CD 7674BEBB 0214509B 7F8ABEF4 5CFBE036 75192101 793BB81D 5F141E5C 76348EE1
