794848A1	The absorption spectrum of C2HD between 9 000 and 13 000 cm-1
79806C3B	Competing hydrogen bonding in methoxyphenols: The rotational spectrum of o -vanillin
7E5BDBC7	Lowpass temporal filter using motion adaptive spatial filtering and its systolic realization
7A7E2358	Improved fast fractional-Fourier-transform algorithm
7DF335BB	Analysis and minimization of L/sub 2/-sensitivity for linear systems and two-dimensional state-space filters using general controllability and observability Gramians
7AE6E5F8	Microwave spectrum of (D2O)2
591B52AF	Left invariant evolution equations on Gabor transforms
7AA67521	Line mixing in the ν 6 Q branches of self- and nitrogen-broadened methyl bromide
7C8432F0	Scale and projection invariant pattern recognition
806F60F0	Mica p()lytypism: Identification and origin
79977182	A Study on the Leakage Error in the Spectrum of Acoustic Intensity
7E564185	On the correlation and scattering functions of the WSSUS channel for mobile communications
77746D98	The Fractional Orthogonal Derivative
7AC2A6AA	Improved synthetic discriminant function performance using Fresnel lens-encoded binary phase-only filters
8173DC14	A Novel Algorithm for Linear Fractional Convolution
77738DA6	Non-commutative morphology: Shapes, filters, and convolutions
7803D9D3	Impulse response of an infinitely long thick strip plate
7736BFD4	On bandlimited signals with fractional Fourier transform
80AF77E9	Optimal Control of Spatially Distributed Systems
77436796	Internal Rotation of the Hydroxyl Group in Isopropanol and the Chirality of the Gauche Form: Fourier Transform Microwave Spectroscopy of (CH 3 ) 2 CHOD
7D708B31	Intersector correlations: a quantitative approach to switched beams' diversity performance in wireless communications
7715CFD8	Fundamental solutions for transient heat transfer by conduction and convection in an unbounded, half-space, slab and layered media in the frequency domain
7764A036	Stratospheric and mesospheric pressure‐temperature profiles from rotational analysis of CO2 lines in atmospheric trace molecule spectroscopy/ATLAS 1 infrared solar occultation spectra
7E0FB15B	Sharp convolution and multiplication estimates in weighted spaces
80BA036D	Modeling of space-charge phenomena in multi-turn tracking
7D3DD0F1	Computation of Diffusion Function Measures in $q$ -Space Using Magnetic Resonance Hybrid Diffusion Imaging
79F78F1B	Fourier transform intracavity laser absorption spectra of the 6ν1 band of CHD3
77EF8EC6	Microwave spectrum, barrier to internal rotation of CF 3 , structure, and ab initio calculation of 1,1,1,2,2-pentafluoropropane
7CC04F23	Brain-wave representation of words by superposition of a few sine waves
7D9BB4D7	On the coefficient quantization of the Fourier basis
5ABE32F9	Signal averaging of photoacoustic FTIR data: I. Computation of spectra from double-sided low resolution interferograms
75FC96A3	Conformational analysis of the jet-cooled peptide mimetic ethylacetamidoacetate from torsion-rotation spectra
80603E80	A comparison of two extensions of the matching pursuit algorithm for the harmonic decomposition of sounds
7D4D8E60	The zebrafish lens proteome during development and aging
7AF33873	Star products for SL(2)
7EF2EF6D	Novel Reversible Integer Fourier Transform With Control Bits
7B588FD7	3D seismic response of a limited valley via BEM using 2.5D analytical Green's functions for an infinite free-rigid layer
7F37528F	The Power of Convex Relaxation: Near-Optimal Matrix Completion
7701205E	Hierarchical encrypted image watermarking using fractional Fourier domain random phase encoding
7F840A21	6E-5 High Frequency Surface Waves Scattered in Microstructured Phononic Crystals
7D6C694A	Spectral evaluation of ultrasonic flaw echoes using Wigner distribution
753EE964	Excitation of Radial Ion Motion in an rf-Only Multipole Ion Guide Immersed in a Strong Magnetic Field Gradient
7D943FD8	Non-convex priors in Bayesian compressed sensing
7CFDD47D	On-line blind multichannel equalization based on mutually referenced filters
7744A2E2	Infrared measurements of several nitrogen species above the South Pole in December 1980 and November-December 1986
7FBDE5FF	Application of random and pseudo-random sampling for tracking moving objects
78D5432C	Comments on "Application of FFT and the conjugate gradient method for the solution of electromagnetic radiation from electrically large and small conducting bodies"
7E6E619E	Fiber-Optic Grid Interferogram Shape Sensing System
7A9494B5	Comparison of quantal, classical, and semiclassical behavior at an isolated avoided crossing
762BC5DF	Highly accurate FTIR observations from the scanning HIS aircraft instrument
806659B4	Phase correction in Fourier transform spectroscopy: subsequent displacement correction and error limit
80627259	Efficient algorithms for multichannel extensions of Itakura-Saito nonnegative matrix factorization
79D44943	Non-referential, self-compared shape defect inspection for bond pads with deformed shapes
8101F653	Wigner-Ville distributions for detection of rotor faults in brushless DC (BLDC) motors operating under non-stationary conditions
774E31E3	GESPAR: Efficient Phase Retrieval of Sparse Signals
7E2E9C8C	Discrete fractional Fourier transform based on orthogonal projections
761C8B28	3-D acoustic modeling by a Hartley method
77C03033	Structure projection retrieval by image processing of HREM images taken under non-optimum defocus conditions
7E6D850D	Computation of voltage sag initiation with Fourier based algorithm, Kalman filter and Wavelets
7F105908	Fourier-transform method of phase-shift determination
7CA69C77	Fourier-transform Raman spectroscopic study of frankincense and myrrh
7ADE57F5	Rotational spectra, conformational structures, and dipole moments of thiodiglycol by jet-cooled FTMW and ab initio calculations
7D4541C7	Integrated Sensing and Processing- Acoustic Resonance Spectrometry (ISP-ARS) in Differentiating D-Tagatose and Other Toll Manufactured Drugs
7BF4DE09	Implementation of quantum gate operations in molecules with weak laser fields
77A23E4E	Extended probe method for linkage discovery over high-cardinality alphabets
7F437BA0	A Novel Image Authentication Robust to Geometric Transformations
7792AAF1	Application of X-ray photoelectron spectroscopy and fourier transform IR-reflection absorption spectroscopy to studies of the composition of Langmuir-Blodgett films
7D40AB15	Lloyd’s mirror as a laser wavemeter
7A7C8E58	Robust monolithic ultraviolet interferometer for the SHIMMER instrument on STPSat-1
7813E850	High-resolution infrared and theoretical study of the fundamental bands ν 2 , ν 4 and ν 9 and the c -Coriolis interacting dyad ν 5 , ν 14 of 1,3,4-thiadiazole
79F447B7	Rotational spectra of isotopic furan-(argon) n , n = 1,2, complexes and their vibrationally averaged structures
750CA45A	Signal reconstruction from Fourier transform sign information
688C04E0	Analysis of transient viscoelastic response of asphalt concrete using frequency domain approach
7DB8C86C	Rotation, scale and translation invariant image watermarking using Radon transform and Fourier transform
77D16BED	Two‐dimensional Fourier transform ESR spectroscopy
76469961	Mellin-Fourier series and the classical Mellin transform
71BC8939	Multilayer Hadamard Decomposition of Discrete Hartley Transforms
79DBA9F2	Vibrational spectra of l -arginine nitrates
7F32101A	Scene variability and perception constancy in the visual system: a model of pre-processing before data analysis and learning
5E57897A	Weighted Bandwidth–Power Product Optimization in Downlink Femtocell Networks
7C8642F1	An efficient method for dynamic magnetic resonance imaging
7A347AB9	Vibrational spectra and normal coordinate analysis on structure of chlorambucil and thioguanine
7E011EEE	Effects of Spectral Amplitude and Phase Errors on Interpretability of Images
755AD761	Continuum quantum systems as limits of discrete quantum systems. IV. Affine canonical transforms
7F431009	Three-dimensional coherence imaging in the Fresnel domain
7F0DA77B	An efficient maximum entropy technique for 2-D isotropic random fields
786862A7	Study of rotational and vibrational relaxation of the CO2- 3 ion in molten alkali carbonates by Raman spectroscopy
797C0007	A Spectral Method for a Nonpreemptive Priority BMAP/G/1 QUEUE
7F855E88	Fourier Transform Emission Spectroscopy of ScH and ScD: The New Singlet Electronic States A 1 Δ, D 1 Π, E 1 Δ, and F 1 Σ −
815608ED	An Augmented Lagrangian Method for Total Variation Video Restoration
79A7BB65	Rotational spectrum of styrene observed by microwave Fourier transform spectroscopy
5946104F	Inversion of 2D planogram data for finite-length detectors
7B90C871	An algorithm for computing the mixed radix fast Fourier transform
79F7B88A	Temporal backward projection of optoacoustic pressure transients using Fourier transform methods
76B6C034	The wigner distribution function and its optical production
769AAFB7	Multicriteria optimality for iterative encoding of computer-generated holograms
76008DBA	Multi-Scale Landscape Analysis (MSLA) — A method to identify correlation of relief with ecological point data
5CE0D141	Solution and cost analysis of general multi-channel and multi-stage filtering circuits
7603612A	Fourier transform infrared spectroscopic study of coke deposits on a Cr 2 O 3 Al 2 O 3 catalyst
7856265E	OC-seislet: Seislet transform construction with differential offset continuation
8140B60B	Orthogonal Fourier–Mellin moments for invariant pattern recognition
795787D2	Multiconlitron: A General Piecewise Linear Classifier
7F4BBC8C	Solving the state assignment problem for signal transition graphs
6FEC9539	Separation of variables and the computation of Fourier transforms on finite groups, I
121F1DCD	The secondary structure of type I collagen N-telopeptide as demonstrated by Fourier transform IR spectroscopy and molecular modeling
7C0064D3	Salient Region Detection and Analysis Based on the Weighted Band-Pass Features
7DCEAE9F	An efficient and optimal algorithm for simultaneous buffer and wire sizing
7E4C8A54	Distortion of pulsed signals in microstrip transmission lines using short-time Fourier transform
7D5A2699	Fast algorithms for 2-D circular convolutions and number theoretic transforms based on polynomial transforms over finite rings
7CA2D990	Multiple channel optical correlator via rotating grating on LCTV
7E42BE57	Direct determination of exciton homogeneous and inhomogeneous linewidths in semiconductor quantum wells with two-dimensional fourier transform spectroscopy
77D6CEE6	On the computation of the polar FFT
810C8A1F	PETCAM—A Power Efficient TCAM Architecture for Forwarding Tables
78DA1280	Convergence to diffusion waves of the solutions for benjamin-bona-mahony-burgers equations
7A63F99C	Spectral estimation: An overdetermined rational model equation approach
78028017	Energy Eigenvalues and Periodic Orbits for the Circular Disk or Annular Infinite Well
