7D6DFE9C	Information not present<--Multi-agent segmentation for 3D medical images
63E4FB93	Information not present<--A Method for Sonar Image Segmentation Based on Combination of MRF and Region Growing
754B3DE9	IEEE Transactions on Circuits and Systems Ii: Analog and Digital Signal Processing<--Time-referenced single-path multi-bit ΔΣ ADC using a VCO-based quantizer
7588D026	International Conference on Image Processing<--Segment-based image classifcaton using Layered-SOM
7D53354D	Computer Vision and Pattern Recognition<--Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation
762A7933	Information not present<--Segmentation of image using watershed and wavelet transform
7F5D2A41	Information not present<--Interactive walkthroughs using "morphable 3D-mosaics"
7B088908	Information not present<--An image segmentation algorithm using genetic strategy
75802528	Information not present<--A region-specific QIM-based watermarking scheme for digital images
58B34D41	Journal of Machine Vision and Applications<--Probabilistically Semantic Labeling of IR Image for UAV
77F59E87	Journal of the Acoustical Society of America<--Ultrasonic harmonic image segmentation
75958369	Pattern Recognition<--Image segmentation using laser radar data
783112DD	International Conference on Computer Vision<--Geodesic active regions for supervised texture segmentation
7F2121D0	Information not present<--Semiautomatic 3D-segmentation of live-3D echocardiographic images
808E9FB4	International Conference on Image Processing<--Fast and accurate texture-based image segmentation
78AF2E9C	Expert Systems With Applications<--Modified artificial bee colony based computationally efficient multilevel thresholding for satellite image segmentation using Kapur’s, Otsu and Tsallis functions
7D66ECD1	Computer Vision and Pattern Recognition<--Recognition using regions
7A17AE87	Measurement Science and Technology<--Yarn image segmentation using the region growing algorithm
7D92ECD1	IEEE Transactions on Medical Imaging<--Deformable boundary finding in medical images by integrating gradient and region information
5E07E2EE	International Conference on Robotics and Automation<--Sensor fusion for semantic segmentation of urban scenes
7E8AFD39	IEEE Transactions on Geoscience and Remote Sensing<--A MRF model-based segmentation approach to classification for multispectral imagery
76BE721F	International Journal of Computer Vision<--Kernel Density Estimation and Intrinsic Alignment for Shape Priors in Level Set Segmentation
716C42F4	International Conference on Image Processing<--Digital watermarking using shuffling
80DD9E38	Rundbrief Der Gi-fachgruppe 5.10 Informationssystem-architekturen<--Gradient Threshold Based Image Transition Region Extraction and Segmentation
76070AB6	Pattern Recognition<--Image segmentation by iterated region merging with localized graph cuts
70B302A3	European Conference on Computer Vision<--Star Shape Prior for Graph-Cut Image Segmentation
8006580F	Computer Vision and Pattern Recognition<--Graph cut based image segmentation with connectivity priors
8064C0D7	Computer Vision and Pattern Recognition<--Connected Segmentation Tree — A joint representation of region layout and hierarchy
5BB4E9F2	Information not present<--Satellite image segmentation based on different objective functions using genetic algorithm: A comparative study
811B4BD1	Information not present<--A Low-Power Strategy for Delta-Sigma Modulators
7D2A29EF	IEEE Transactions on Pattern Analysis and Machine Intelligence<--Hidden Markov measure field models for image segmentation
76854C77	Journal of Machine Vision and Applications<--The interpretation of laser radar images by a knowledge-based system
72286762	Computer Vision and Pattern Recognition<--Towards unified depth and semantic prediction from a single image
8220B77E	IEEE Transactions on Pattern Analysis and Machine Intelligence<--Region-Based Convolutional Networks for Accurate Object Detection and Segmentation
7E204DC5	Computer Vision and Pattern Recognition<--From contours to regions: An empirical evaluation
7E5B25FF	Graphical Models \/graphical Models and Image Processing \/computer Vision, Graphics, and Image Processing<--Image segmentation in pyramids
814ED62B	Information not present<--Hybrid Image Segmentation Using RPCCL Clustering and Region Merging
81482B20	IEEE Transactions on Image Processing<--A simple unsupervised MRF model based image segmentation approach
7B781C61	Pattern Recognition<--A survey of graph theoretical approaches to image segmentation
