3316C1E9	Geoffrey Mazeroff A
76580E9D	Diagnosis of lung cancer based on metal contents in serum and hair using multivariate statistical methods
7A186C73	Autohydrogenotrophic denitrification of drinking water using a polyvinyl chloride hollow fiber membrane biofilm reactor
764BE92C	Dynamical friction, secondary infall, and the evolution of clusters of galaxies
76B2EE38	Infall Regions of Galaxy Clusters
7F3DF9F5	Analysing, classifying and displaying time series of images pixel- by-pixel: the package ADDAPIX
82930923	The Text Mining Handbook: Clustering
7C130AC6	Reducing Hierarchical Clustering Instability Using Clustering Based on Indiscernibility and Indiscernibility Level
7FF2C2FD	Classification of Polarimetric SAR Images using Radiometric and Texture Information
7D20CE0C	A hierarchical clustering based pattern recognition scheme for power system security assessment
80B3EBB0	Analysis of gender-specific atherosclerosis susceptibility in transgenic[hCETP]25 DS rat model
029A434A	Ward's Method
7DE3E112	Discriminative training for hierarchical clustering in speaker diarization
5F21AE98	A Heuristic Algorithm for Dynamic Task Allocation in Highly Parallel Systems
759AA47D	A Collision of Subclusters in Abell 754
78CDE220	Effect of cerebral protection strategy on outcome of patients with Stanford type A aortic dissection
59C75B16	An efficient protocol for authentication and initial shared key establishment in clustered wireless sensor networks
79F196C2	Altered gene expression in rat mesenteric tissue following in vivo exposure to a phosphodiesterase 4 inhibitor
80E8D16F	Unsupervised classification of complex clusters in networks of spiking neurons
6128096E	Investigating the suitability of self-organizing maps to analyze high-dimensional water quality data sets
7870AC2A	Hierarchical Formation of Galaxies with Dynamical Response to Supernova-Induced Gas removal
09CA221B	Disappearance of hierarchical clustering?
79655867	A multiobjective approach to MR brain image segmentation
4A4AC2D3	Application of chemometric tools for the investigation of chromatographic behaviour in Supercritical Fluid Chromatography
5E5CC024	An Intelligent Aide for Interpreting a Patient's Dialysis Data Set
08B5C6F2	The Fate of Intra-Group Medium
7B5E2CD1	Energy-Efficient Clustering Scheme using Candidates Nodes of Cluster Head
8167910A	Probabilistic Available Transfer Capability Calculation of Wind Farm Incorporated Power System
804B0E5E	Efficient text-independent speaker verification with structural Gaussian mixture models and neural network
7605C9AE	Hierarchical Cluster Analysis of Environmental Pollutants through P450 Induction in Cultured Hepatic Cells
79393100	Scaling laws in gravitational clustering for counts‐in‐cells and mass functions
800CD45C	A hybrid neural network approach to cell formation in cellular manufacturing
7689EF8A	Object-oriented software architecture recovery using a new hybrid clustering algorithm
5EF26DE4	Cluster Analysis for CTBT Seismic Event Monitoring
77B9A441	Using HCA and TOPSIS approaches in personal digital assistant menu–icon interface design
78DCA096	Gene expression profiling of copper-induced responses in the intertidal copepod Tigriopus japonicus using a 6K oligochip microarray
7855145A	Use of remote sensing in ecological research: preliminary results
79FBE08F	An Evaluation of Structural Descriptors and Clustering Methods for Use in Diversity Selection
80571BAC	Clustering Ensemble based on the Fuzzy KNN Algorithm
7A8E27BE	Statistical analysis for the hydrogeological evaluation of the fracture networks in hard rocks
78E0484E	Evaluations of unsupervised methods for land-cover/use classifications of landsat TM data
75B90621	Drinking patterns are associated with variations in atherosclerotic risk factors in French men
7844A107	Empirical study of exchange patterns during software peer review meetings
7AEE120D	A score system for quality evaluation of RNA sequence tags: an improvement for gene expression profiling.
80B0B9B8	BRCA1/2 Mutation Status Influences Somatic Genetic Progression in Inherited and Sporadic Epithelial Ovarian Cancer Cases
80938CC8	Nearby groups of galaxies. I. The NGC 1023 group
7BE3E0AF	Applying Hierarchical Clustering to Discover the Typical Process Route
59087F0A	An efficient hierarchical clustering method for the multiple constant multiplication problem
80845B3E	Physical activity and mental well-being typologies in corporate employees: A mixed methods approach
75C8B206	Community detection with punished similarity
7D767737	USING THE AGGLOMERATIVE METHOD OF HIERARCHICAL CLUSTERING AS A DATA MINING TOOL IN CAPITAL MARKET 1
752F3582	A Numerical Renormalization Solution for Self-Similar Cosmic Structure Formation
76FF7A1D	Deciphering the porcine intestinal microRNA transcriptome.
7C2F8816	Learning single-issue negotiation strategies using hierarchical clustering method
77425395	UNDERSTANDING THE STRUCTURE OF STEREOTYPES OF WOMEN: VIRTUE AND AGENCY AS DIMENSIONS DISTINGUISHING FEMALE SUBGROUPS
38A4CFA0	An evaluation of Fourier transforms infrared spectroscopy method for the classification and discrimination of bovine, porcine and fish gelatins
6EB25A53	Adaptive clustering of stock prices data using cascaded competitive learning neural networks
76A7D81C	DCT fingerprint classifier based group fingerprint
7C1854CB	Coupled behavior analysis for capturing coupling relationships in group-based market manipulations
62941DBD	Seismic Anisotropy and Mantle Flow Across the Mariana Subduction System
744306E1	Morphological Observation on Longidorus crassus Thorne, 1974 (Nematoda: Longidoridae) and Its Intraspecies Variation
81618348	Referential hierarchical clustering algorithm based upon principal component analysis and genetic algorithm
75819DFC	Voice Classification by Hierarchical Clustering
75678465	Using concept mapping to develop a conceptual framework of staff's views of a supported employment program for individuals with severe mental illness.
7EF29B41	Systematic Trans-Genomic Comparison of Protein Kinases between Arabidopsis and Saccharomyces cerevisiae
633B71D0	Joint formation of bright quasars and elliptical galaxies in the young Universe
5EB19FDD	DASCA: A Degree and Size based Clustering Approach for Wireless Sensor Networks
7E3F4C2C	Mining Gait Pattern for Clinical Locomotion Diagnosis Based on Clustering Techniques
81696BE5	SPANBRE: An Efficient Hierarchical Clustering Algorithm for Spatial Data with Neighborhood Relations
75698A94	Time-resolved metabolomics reveals metabolic modulation in rice foliage
5FA6B8C9	The Association between Chromaticity, Phenolics, Carotenoids, and In Vitro Antioxidant Activity of Frozen Fruit Pulp in Brazil: An Application of Chemometrics
7FCAF0A4	Identification of carboxypeptidase E and γ-glutamyl hydrolase as biomarkers for pulmonary neuroendocrine tumors by cDNA microarray
7FAE76EA	Progressive clustering of networks using Structure-Connected Order of Traversal
7BEEE29D	Divisible Rough Sets based on hierarchical clustering
5C20B184	The fundamental properties of clusters of galaxies.
5E22EAC1	Observable Signatures of Cosmic Reionization and the End of the Dark Ages
769450E3	Validation of Language Subtypes in Learning Disabled Children.
7D0AAE4B	Heating of the ICM and cluster scaling relations
7E206BBA	Artificial Multilevel Boundary Element Preconditioners
7612AD49	Elemental abundance survey of the Galactic thick disc
75C577AD	Preferences, Specialization, and Management Attitudes of Trout Anglers Fishing in Tennessee Tailwaters
7A5B87C3	Ideation and evaluation methods applied to land-use planning
78F25E15	Towards image retrieval for eight percent of color-blind men
7871869F	Gene expression of lung squamous cell carcinoma reflects mode of lymph node involvement
09E729BC	Formaci�n de c�mulos globulares en escenarios de agregaci�n jer�rquica
7C07E112	Identifying multi-view patterns with hierarchy and granularity based multimodal (HGM) cogntive model
81495390	Adapting indexing trees to data distribution in feature spaces
7B4BB005	Effect of multi-word features on the hierarchical clustering of web documents
7D89E8E7	Acoustic Emission Signal Classification in Condition Monitoring Using the Kolmogorov-Smirnov Statistic
7BDA24ED	Detecting and recognizing tables in spreadsheets
802F7D42	Cirrhotic patients are at risk for health care-associated bacterial infections.
1914D5C1	Industrial Info. 幹細胞研究における細胞イメージアナライザーArrayScan VTIの応用例
7C3E82CD	Semi-hierarchical correspondence cluster analysis and regional geochemical pattern recognition
75AB4707	The Epoch of Galaxy Formation
07BA40D2	Cancer outcome prediction by cluster-based artificial immune networks
7D60C20A	Epidermal Growth Factor Receptor and Transforming Growth Factor-β Signaling Contributes to Variation for Wing Shape in Drosophila melanogaster
760C89D2	Artificial neural network technology for the classification and cartography of scientific and technical information
76A0814E	An research on ranking problem and improvement of the grey cluster
