7EA5FF47	80CD0E24 58E1E37F 817A782C
7F68E9A6	7C4A65AE 7E67D8D9 7F612DD6 5CFBEC12 76FCFFB0 7F0391CF 76C1A746
76C1B9CF	7C7DFF2D 7F766BBF 70185E10 7FBC303E
8023C3D2	842447EC 7866F971 79C0EEF9 7A145138 5A487564 7ECFAD9B 79B30C42
7FBF1FB6	7B294E48 7CF8A6FC
7E7B8C14	7F381B24 698CA760 776BB62D 7DE170E9 5CFBEC12 7F8B8865 7F69C9C5 0044771B 0500845D 271322C8 5E77E358 785FBE17 7B835D17 7DF7E0FE 7E1BDC6E 221B88CE 7CE82B93 7B24BB74 5A807C94 5B9C58B5 78332970 7E1811ED 800A3B52 8118B836 5F123079 7F447ED1 0133EB7B 7921BF83 8135F728 75FA44E9 7FCF3DB5 59EA59AD 7E4A2885 7E807875 23CFB346 7C0357AB 759F5F4A 75D26FC0 753AF27A 80700961 5BB36109
7E3F2CBA	77FC6B9E 8083DFB0 8177E87A 7D5367E8 7B3E51AC 7C0D6B64 58724D00 7D2B81B1
7E387F78	7E734F25 7EFEA986 043A3726 5E394056 81052849 805187F1 76A30409 5D63D748 7949077A
59919D8F	7E59E580 8005E065 052F0E0A 5E1B6FB2 81E8FAB3 0810DB39 084B9411 0842082F 781078D4 801BAFEA 7CA002A7
7F2E6605	7E1B9796 808D32ED 62EEB92B 7919CE91 5ED717FF
7E0CFDC7	715EA462 7607337E 0271EEE5 80FC2EDF 7ABBAC46 8088C9A7 7F41F826 04BA4BB1
7F11AD62	7C7DFF2D 7E7C3295 09D28F6A 5F857B74 052593A2 7D3A8D5B 7B005781 7698058B 7F9A9251 6B1F9515 01692CA2 7CA89D80 7DD9E5EF 7DEF716B 7E62E547 8109FC39 803BD377 5AF082BB 81578AE3 7F0F35FE 7C37FFDB 8094A537 09D773F1 7F32A494
7E17FD2D	7B7EE6C2 803DCE7E 02362507 0ADDAB15
7EF5865C	5A94C1A2 803820CA 77B08336 78641831 7CA002A7 0941B2DB 7E3A2F3F 7F4D4D2E 7DE5DC4B 75BFBCE6 7532D0AE 7A8E1AFC 7B9443E2 7E441E35 800ED194 7DFD63A1
7EBC35EA	80023DC2 7532D0AE 7AE6ADDE 7603F48B 78B5AECE 76E0DAA6 7FFCC7FD 760C96D6
83C62396	76E01420 7672ED0C 800A3B52 7D5F23F6 7BD8C65F 5C70AD85 7FFCF562 5CCFF8E3 81725217 8118B836 79D53B05 02270D27 7B98D747 5BB36109 0A81B92A 774C6923 79B8D07D
5E54B82F	7F2F9558 7D5F23F6 02EAD18B 800A3B52 59E41CE4 7D9274DD 0025F21B 7EBE7433 091D3750 7EF6416B 7E254CE7 7983C3E9 0C4334D9 8010B5B1
77F1FEA0	79BF40DE 8077345F 7FEE4FA3 7E7ABE10 58FFDE3F 80EA28A4 7E6F8469
7D88D178	5B9A0D4D 5B9C9F0A 5BB36109 776016AA 793C3EBD 79933C38 7F716CC2 7DE545E0
78564EA1	7D55215C 8078CA68 80C79F7C 7B562276 805C53D1 7BE5376B 80E463E5 79FC03E8
7E215E7E	7F53A6AC 757F40F5 062C280A 5ABE6380 80BA7B2F 6B4B9548 793D297A 5AF082BB 817A782C 76334727 0C02FACE
7D69BF26	7F612DD6 7DD156BE
8085C784	807850BE 7F655473 7FA7E63E 7FEB3902 7D5C0C2E 7D0C5D8D 7D7F76E2 7E837BB3
7D4955F7	7D948CB6 7FC56929 7EEF8F9A 75A9B5D5 7D4D6F4F 80F7F114 597E50E4
7D53A3A6	804C6864 7F6E34F7 389BAC54 7E9451CA 7D1AED5D 5ACF0393
814C466F	7D06F095 77C4459B 7FA25AAF 0BE4C356
7BD5A32B	6C6474AF 760587ED 597D3C7D 07E8A1E7 5ED61CB7 802C543C 5BD3A1D6 054C5725 053BEAC9 801016C7
80D50E36	7DD7F5E7 5F9C17AE 7F957489 5A7A092A 5D6AC20D 7FF2214A 5DB75BA5 06840778 7D3C521F 79B93FEE 7D02C3C9 613B0E36 815AB0D9 5B21CD66 7D8B768F 594D4F4C 016022BA 7929A6F8 0815B0D2 7FEBBD2E 8060641C 7B180EA8 7D39C40E 7E9DAE50 7D379A7D 7DDF7BC0 806553AE 59A5ED32 5D8062A4 7BA9DCEA 73908F22 7EA5FCF7 7FCF1AA6 015241CA 03402002 80A66386 81E8FAB3 7B7A35AD 7E246B61 7F5EE3F7 8090FAD7 0D3C4422 7E153E5F 8048EF1C 734722EE 805E25EB 7890A084
0058E1F8	758EA4D9 7E818605 747FB619 77F0EE35 75F62520 0035EE53 81410DFB
791B8763	77FD6F3B 7C0472F0 800DD077 5E895583 7FD364EF 7546E7E7 78C007E1 802CDBFE 750F41F3 7D9DCEC8 783D7919 75C57E55 258A62C6 7F7E960C 77A701CF 77125148 80E080D2 7968983B 75FC5B8E 7654AC63 7814AEC9 76CD65C5 7868435B 7A997786
75E38116	7D5A6228 811C3C17 75DBAE22 7948132A 7D44D326
7D8297A1	7418179B 7E744E50 5E8EA1AD 7EE9B230 7B5FEB41
78A6BB30	7CB60ACC 7E38848B 7F612DD6
81267ACA	6243ACA7 5AF0AB65 7AA78732 6144F713 79402B9A 7FB604EE 80EEECB5
7D8AEF45	78CE72F8 7B42CFA5 7C94F063 7D805EC2 809138D8 78981632 7B1642EE 60CBA698 7C2938BE 77371CBF 7DB8AA3E 777A2D35 7AB76945 7B6C513B 75B715FD 7AAF768E 7FA0D615 80F5278B 7AC318F9 7C47E1CF 77E5F05E 79A448C5 7AEB315F 7ACF37F4 75187AD5 79F888B0 7B87E58F 79C4ABF4 7656C07F 7B544992 78E7C912 7B367030
