7FAB472E	7A257281 76F8E2F7 7E82D131 77271972
7DC14022	80A486CF 7867DFC5 805DE22B 7E0E2D77
7DA7E0BE	093B91AA
80814541	7D9701E9 091D3750 7F20D2D9 7F64E986 0A2D2CE8 806AA833 00E5E558 7F80304B
79AB3AC3	7CF37685 7921121F 759EFEB0 7D01C6CB 5F569EAF 7CF61BB7 79E4C8E8 7D85452C 803D0D0B 75254995
7BF8825E	7CB001BC
5C17C3A7	7C8E08A9 7FDB8BC6 7BE3D448 7FD04227 78BEC5EE 7CA002A7 5BB0F5DA 8204B7DE 7D330407 80F5FE11 7DA25227 587F0F1E 754497D9
7A579245	7EE0AE0C 8036DED6
7F44644C	7ED1C89D 5EA15954 7F2CBBD9 8001F4B2 81F5D14E 24353799 790D9660 774F1D52 113A2FBF 7A8B3872 7E6AAE5F 7532D0AE 7E6953C0 7E97D4BB 79A27E3F 76FB4A23 095E2C75 59393F07 7CB24595 7DA54949 7E015B04 775F074A
7E0608E2	7A73C01F 7E985048 7F9272E8 7B34E46B 7A5C5785 7E93370C 8130BE42 807E5BD1 7E436BB6 69F2D67C 5A9A1417
7ED3BC8B	7FD01F89 79B3C142 7E6DD805 8085FFEB 5BC32549 7FF21078 7E1C6512 5A01E2E8 8124D3B4
7B2D404D	781C09ED 7A1E0C11 7BEEEF65 809470A4 77CCFCC5 78D9BC09 7AD6D4D0 7AE4AEBC 80A1D96F 7645EE89 7773F027 78646C46 62A6F3E3 7AC7C280 77A252BD 7C8E169F 75F2DF13 776E2C50 78BA113C 7530A9A8 7AB04806 79DEBA8D 7CFF4F3D 7F166CBB 7AD323B0 771EF79F 7AE8F98C 7D614FC1 7AAE2AC1 84BD900B 7F511F3D 77552699 7900ACCF 77543575 78B0B8E9 7CB61322
7F11AD62	7C7DFF2D 7E7C3295 09D28F6A 5F857B74 052593A2 7D3A8D5B 7B005781 7698058B 7F9A9251 6B1F9515 01692CA2 7CA89D80 7DD9E5EF 7DEF716B 7E62E547 8109FC39 803BD377 5AF082BB 81578AE3 7F0F35FE 7C37FFDB 8094A537 09D773F1 7F32A494
766D924C	75430042 5FDFF204 09CC0FC3 7DEB64D1 0491F541 79CE0F88 79449321 80D38C2B 6CD0CF0F 827906F7
7D770658	6E6AA6CD 7F966FF8 5CEB9F7C 81037F1C 7ECAAAEB 7F637B4F 800620F7 7A0C2D30
7FD7CD57	7F612DD6
7A1EE095	76D143BD 7BC6AAD1 7E0A7023 05400595 800A3B52 7CE62797 0941EED5 7C475484 7F7A77C4 7B68074D 797A47F6 80DCF689 805E0C2E 804398E0 80FC01CB 7A83FAF1 7E6D9958 7C047153 7EDF8173 7B369870 7C62EE40 77EFB0A2 75D58416 7620446C 75AE2094 0ADE677E 816C4F54 58CF2ED4 78A500E5 7A606E34 8133E0CD 7763BBA6 750C701B 7B44F2EC 7AE61940 76E104CD 7D6E4F22 806C989D 7BF1431B 7C42C137 814E7710 782E2E09 785FDC51 7C6343A9
085DE10E	78CA1158 78E8076D 7AAF768E 80183952 80DA3DF1 7DEF9B7D 803F7D4B 7BFE6AF4 7662E764
7E9A03A7	75EA8C5E 7BEF069C 768AFAD6 80B31EDF 5C90FB67 81709057 77F6BBD4 808500BB 810B0930 808F844C 7E434DF8 81763F54 7F8C5B1D
7E96374A	7BE6601A 7681B6F7 7BB2CA0D 61DBB847 04000ECE 774C9D88
7E4CEA8F	7EFB9D0B
7D88D178	5B9A0D4D 5B9C9F0A 5BB36109 776016AA 793C3EBD 79933C38 7F716CC2 7DE545E0
75316D1B	7FD4B592 7D3A52A1 7BE2F0D6 585BC7B3 113A2FBF 80DC5F3C
7DEAE6B7	5DB1C3C2 7FF6A790 09F419F1 7F2A69DC 7E168E20 805B69D7 6075B1A8 03B1C1CC 09900D2D 67C9A92F 71EB199B 812444C9
7D53A3A6	804C6864 7F6E34F7 389BAC54 7E9451CA 7D1AED5D 5ACF0393
7D49EAA1	7D410FA7 7B21AD8A 796B17E7 3ACF0402 7E363232 39D66F9D 7D2A20D5 7C9FC56D
78519986	5847E151
8042E671	00707603 7DE430D4 7FE8A376 59CAE492 585021B4
7BE0FF08	8071050E 766832EF 7CF4AB38 7E083A56 7EBC4EB7 7F177916 7DA2F416 84EE5AFA 2D9C2CD1 7D05C1CE 809B4D40 7145E11F 7F946A0B 08EDD5B2 5E8765E7 0BC34B42 7DFC7761 5A3F0EA6 7D9D6097 7DD6DEDC 767EAD43 78D08C04 7EDDBDE8 5A868A25 7E753F1C 5C814471 75375FAB 77D425DF 0AB38ACE 7D50635A 7F86079E 7F81CDA2 71212026 7FA0E62F 8027B02C 7C381EF6 5A5D0934 6FF5E762 5D715A0C 5CFD14C2 77F361C2 7D0AEDC3 786C0F3D 80FFB07D 8116B7CD 76746651 5BABF415 7F823FC6
777374F1	7D1D9F5A 8212FFA2 7E3BB467 810F5DF2
0058E1F8	758EA4D9 7E818605 747FB619 77F0EE35 75F62520 0035EE53 81410DFB
7F241B75	5C072D3D 80695910 80146C6C 7EE92108 7921BF83 5B801D32 7853CF1B 786F78FE
7F5F9EF3	7B372BBC
