08220318	Perimeter Security Post 9/11
76D45C06	Fractal analysis for morphological description of corn roots under nitrogen stress
77343662	Colluding Fingerprinted Video using the Gradient Attack
605D70AE	Fingerprint fuzzy vault using hadamard transformation
15082ABB	Segmentation of Palmprint into Region of Interest (ROI): A Survey
5F0AA33B	Improving the binding of electronic signatures to the signer by biometric authentication
75D2C30D	Management Strategies of Network Users Oriented to the Whole World
727B73ED	Optimum plot size for banana trials
8140E4FC	Biometric Palm Prints Feature Matching for Person Identification
360C74BC	Delineamentos ótimos para experimentos farmacocinéticos
5BEF585B	A two-factor protection scheme for MCC fingerprint templates
5F5E5E4A	Fast identification of individuals based on iris characteristics for biometric systems
77CA69DA	Biometric Security Solutions
7A98AD73	Finger multibiometric cryptosystems: fusion strategy and template security
85CE9902	Improved Authentication scheme using password enabled Persuasive Cued Click Points
790249B7	Biometric recognition in telecom environment
759787BF	Angular features analysis for gait recognition
7DFF1C83	Client based wireless LAN indoor positioning
0E489396	A Practical Method for Generating Digital Signatures Using Biometrics(Network)
79514DB9	Sub-Microwatt Analog VLSI Trainable Pattern Classifier
7681E8F9	BotDigger: A Fuzzy Inference System for Botnet Detection
7EC9A74C	Hybrid Skin Detection Algorithm for Face localization in facial Expression Recognition
80BC5594	Recognising faces in unseen modes: A tensor based approach
7BDFEDA2	A novel fingerprint matching scheme combining graphical model and thin plate spline model
772352C2	Spectrometric microbiological analyzer
846E6C91	Chemical and explosives point detection through opaque containers using spatially offset Raman spectroscopy (SORS)
811194AB	Functioning of open systems of the organism at activity of environmental factors
7AD1DD20	Tensor-Based Active Appearance Model
74B778B5	Android端末におけるタッチ操作に基づく個人識別 : 被験者数や特徴数の影響 (バイオメトリクス)
76A98F3D	AlGaN-based deep-UV LEDs for fluorescence sensing
7E44D743	A DRM System Implementing RFID to Protect AV Content
7E2EDE07	Hematology of sea-level and high-altitude native Sonoran deer mice
7B965FF9	Colour differences in paprika pepper varieties (Capsicum annuum L) cultivated in a greenhouse and in the open air
79748D3A	Capturing-Resistant Audiowatermarking based on Discrete Wavelet Transform
78BBDD24	The determination of ethanol in blood and urine by mass fragmentography
216E5D29	Binary Line-Pattern Algorithm for Embedded Fingerprint Authentication System(Image/Visual Signal Processing)( Digital Signal Processing)
76974E1D	Supervised retinal biometrics in different lighting conditions
7CC6BBC8	Success in National Cyberdefense
77D72D4F	A virtual doctor prototype for quick diagnosis and secure health information exchange
7A681FC2	Static signature recognition based on left-to-right hidden Markov models
22F9AEB7	TWIC costs dip, but delays remain
73407BBC	Biometrics and counter-terrorism: the case of gait recognition
093F2A88	Décrire les performances de reproduction des troupeaux laitiers et projeter leur évolution
7A9814F3	Digiti Sonus v2: New Interface for Fingerprint Data Sonification using Hand Motion
7F3B7BBB	A Study on the Effect of ROI Masks on Face Recognition System Using Digital Recorder
76BE1A60	Innovations in Seniors’ Education at the Czech Technical University in Prague Faculty of Transportation Sciences
7E7456EE	Indoor Fingerprinting Geolocation using Wavelet-Based Features Extracted from the Channel Impulse Response in Conjunction with an Artificial Neural Network
773FFF9A	Wolf Attack: Algorithmic Vulnerability in Biometric Authentication Systems
78122F6C	“Solutions for RFID Smart Tagged Card Security Vulnerabilities”
6F93F38F	On the security of the SARI image authentication system
771B5A75	Multimodal biometrics: state of the art in fusion techniques
649E6011	Authentication system based on computer generated hologram
7EDF2B54	EAT-by-LIGHT: Fiber-Optic and Micro-Optic Devices for Food Quality and Safety Assessment
7B8F6E70	Distributed-interval type-2 fuzzy set based recognition algorithm for IDS
77941966	ANN based fingerprint image ROI segmentation
7C2C26B1	Location, Location, Location
771385D9	Remote object authentication: confidence model, cryptosystem and protocol
762D00CA	Fingerprinting Ovalbumin - Simulant of protein toxins in extremely-wide frequency range
7C8CA646	Polarization-enhanced invariant fingerprint verification/identification system
78C92077	A generic framework and runtime environment for development and evaluation of behavioral biometrics solutions
7F6D30B0	Illumination influence on iris identification algorithms
65832A76	Near Field Communications Technology and Applications: Accessibility
7A878140	Human and Computer Evaluations of Face Sketches with Implications for Forensic Investigations
7BAB6846	Data sharing reveals complexity in the westward spread of domestic animals across Neolithic Turkey
7E3495EE	Blind source separation based on moments matching
7F98632F	Monocular 3-D Gait Tracking in Surveillance Scenes
0475395D	Meadia roseni, a new synaphobranchid eel from the coast of Taiwan (Anguilloidea: Synaphobranchidae)
7A4BAFA1	The pterion in Turkish male skulls.
7C955C53	Vitality detection from biometrics: State-of-the-art
782AE1D5	Research and design of auto guard against theft based on fingerprint identification
7B527DDA	Image quality guided approach for adaptive modelling of biometric intra-class variations
7E74C116	Learning methodology of innovation architecture using case example of development of contactless palm vein pattern biometric authentication technology
7B59453B	A continuous GA+LDA for training set enhancement in illumination and scale invariant face recognition
7B3D43C7	Tuning the strength of chemical patterns for directed self-assembly of block copolymers
7C3E8F27	Pattern Recognition Comparative Analysis Applied to Fingerprint Indoor Mobile Sensors Localization
8150A9EA	Architectural synthesis: integrating multiple architectural perspectives
83A9BAD5	Image mosaicing algorithm for rolled fingerprint construction
7D04E605	A scalable Wi-Fi based localization approach
2E556A0E	Biorhythms and space experiments with nonhuman primates
806FBFBD	Limitations of quantum advice and one-way communication
79047411	Influence of quality of images recorded in far infrared on pattern recognition based on neural networks and Eigenfaces algorithm
7641CADF	Development of oil hydrocarbon fingerprinting and identification techniques
59EA752B	Grobner Bases Method for Biometric Traits Identification and Encryption
7AA957A6	A Non‐metric Procedure for Transforming Dissimilarities to Euclidean Distances Useful in Numerical Taxonomy and Ecology
09B2A999	Biometric Authentication Using PKI
31BACAFE	Development of a new noninvasive method to determine the integrity of bone in vivo
77AE5E2E	A Study on the Effects of Fatigue Driving and Drunk Driving on Drivers’ Physical Characteristics
773F7E9F	Ultrasound time mapping based human face identification system
7637E1EE	Geometric facial comparisons in speed-check photographs
75B90E2B	How to detect Edgar Allan Poe's 'purloined letter,' or cross-correlation algorithms in digitized video images for object identification, movement evaluation, and deformation analysis
38AFE0F4	Genetic Suspects: Base assumptions? Racial aspects of US DNA forensics
7777E724	Novel method of regional facial geometric feature recognition to Chinese human face
7C25664E	WIFI-Based Indoor Positioning System
7EC3DEAB	Game Metrics and Biometrics :The Future of Player Experience Research
3CBE47FC	The rhesus monkey (Macaca mulatta) as a flight candidate
58F65CC3	Latent identity variables: biometric matching without explicit identity estimation
7B7405DE	Multi-purpose biometric performance grading scheme
7695A826	Statistical discrimination of sex in Melanoides tuberculata (Gastropoda: Thiaridae)
3BB67F04	Efficient Biometric Template based Authentication Scheme for Grid Environment
79275DA2	Good practices for Long-Term Key Management in a Public Key Infrastructure
7C3AF2AE	BiSpectral contactless hand based biometric system
75564845	The Study of Biometrics Technology Applied in Attendance Management System
779AE530	An approach of cryptographic for estimating the impact of fingerprint for biometric
7B5DD4FA	Bidimensional empirical mode decomposition for biometric analysis and Iris recognition
7B6C3B60	A controllable sensor management algorithm capable of learning
260E7DE5	Security : port credential going nationwide
