7F1A1204	7C3A80EF 7D6DB019 791B6623
7FE97A95	80DD088B 7F3D83B3 7F562E14 80A72FB1 7FCD9A71 8169AE37 750E67EB 7765FBE3 7FAF35FE 7FC6EE97 79662E09 7D352AE8
7E9A9E02	795E008A 79484CF8 767509B0 7F2016AC 8162CE00 7B44D7AF 7EF8EF96 80370169 7FD9FD05 8032D8EB
789DB808	77D6B2C3 769C3EC2 78F5DC87 7F92C8DC 77BFA017 7890031B 7A6BD2E5 7905078E 7C179F9F 7854092E 82DE7CA8 7D457325 7B1770AC 767F61D6 7F6F7BF8 78CFCA07 7F241864 0B926B79 7797DB13 7C45C21D 7628C855 79E37FD8 7A25AAEC 763F056C 7E153AED 7CAA61EF 7267D250 7D459B04 782699A7 7AD61169 7E3C7371
7BDFE95C	794AA3AC 78FA4344 04649F29 7A13FB09 80FCC4F1 807F86B9 76CD5A10 80F30015 76A91815 75A720EC 7BA0DAA1 7B529E0B 7B550F73 7966B984 5BC76FF8 7C318E9C 773CA175 75AED187 78366D80 7A158AA7 7AE22F64 75E84342 80C245E7 80560384 5BFA5AFD 7B2FFEB1
7E266394	7ECB3CD3 7A8AD1EE 7F062E94 755C17DB 7F549BC2 81038634
7DF5EED6	7EF71755 7B8FF46C 79E25398 7DD4F34E 7EFE8DF4 7C0EB59F 635A2C24 8048FF5A 7565ED88 7A5B9CDA
7E18AE27	7E6836FB 8066DFFE 77902DF7 7DEC9FEC 81521C88 79A4A9DC 7B4F8561 79622C15 80E0E824 80AA39B3 7B6AB7BD
7E6B1F2D	77A793E1
76DD01D6	7CBA0EA6 7F70048F 755035CE 7B7944A3 7A7414DD 7E97BCEB 78348EA1 8038A29C 77291C68 80946A4A 7872B7BF 7ADB3B7B 75A2A035 7DEAC893 7D1C08CD 74980327 7A94F391 7AE453C1 7956E6E5 7B91577B 77C58AC5 792EBC92 5C14253B
7D944731	8132C00C 5C1B4DB3 7F08493C 7CAB6DFA
7CFCE99E	760197B1 7CE894E0 7EEC1A52 7C158133 7D213769 7F912F66 75F1C1EB 759C6308 805E896D 75F4D04A 7AA2604F 6DFEE512 70967650 7A1C9F43 7F1BC7F3 810A25B1 7555D3C3 7A7AC7C0 7F1DFC9F 78CF5C1D 7CC93074 771D67C0 764713BA 8144014F 6DE1FB57 789727AF 7DA3DB7B
7F242D93	07D6C172 7AC2F8B7 7D7ED865 756B7A1A 7618D205 791A06C3 7C76B6A7 7948AD04 81CD2A25 76B15B9D
78FC75A6	7FC020A7 7E8FACB6 7757D886 81637465 80278E61 5D32018B 8009981F 78D642D5 7F739379 79ECF137 75106B5F 7E173D69 7544C1C6 7DEC4D1E 780F256F 7B9F163B 7F2C319D 751AA217 7694313E 8060A21F 7EF56FE6 8078B44F 7F9F090E 76E0A588 78D85E92 77907794 7F6AD895 7E5CECDB 80FABF0D
5D4D6E45	7CD2BC80
